,created_at,full_text
0,Mon Oct 26 13:06:50 +0000 2020,@CB_Forums start today!  Excited to be reunited with @AnnieReznik @UTAustin @PittTweet &amp; @pomonacollege to talk about Following the Money to increase #collegeaccess at 11:00 CST!
1,Sun Oct 25 15:01:38 +0000 2020,"Director of Admissions, Kathryn Espiritu, will be participating in a virtual #LawSchool Panel for the #ClaremontColleges on 10/26 at 7:00 PM ET! @pomonacollege @scrippscollege @CMCnews @harveymudd @pitzercollege #FordhamLaw #prelaw #NYC"
2,Sat Oct 24 17:26:26 +0000 2020,@pomonacollege A Sagehen among Aggies?! This is a double win!
3,Sat Oct 24 00:41:51 +0000 2020,"Shout out to the students @pomonacollege - great discussion today about science, colonialism, and politics this evening. Thank you!"
4,Fri Oct 23 18:34:14 +0000 2020,@LarryMadowo @BBCWorld @pomonacollege @womenknowlaw @womenalsoknow @OUPAcademic It was a pleasure.
5,Fri Oct 23 18:29:44 +0000 2020,@HollisBrusky @BBCWorld @pomonacollege @womenknowlaw @womenalsoknow @OUPAcademic Thanks for coming on!
6,Fri Oct 23 01:53:06 +0000 2020,@LauraCBreen1 @pomonacollege Chirp chirp ~*~*~*~*
7,Fri Oct 23 01:52:33 +0000 2020,I'm zooming into a panel @pomonacollege in about 8 minutes and I'd like to say sorry in advance for all of the anger sweat on my face.
8,Thu Oct 22 17:12:32 +0000 2020,"2. That 5Cs create a contingency calendar for another completely remote semester. 

@pitzercollege, @CMCnews, @pomonacollege, @harveymudd 
and @scrippscollege announced the new spring semester schedule, which replaces spring break with three one-day breaks, earlier this week."
9,Wed Oct 21 15:54:33 +0000 2020,@dino_politics @pomonacollege Thank you for inviting me! It was fun talking to you and the students!
10,Wed Oct 21 15:54:08 +0000 2020,"RT @dino_politics: Huge thanks to @EJR_Paleo for his fascinating talk on T-Rex yesterday in our @pomonacollege ""Cultural Politics of Dinosa…"
11,Wed Oct 21 13:49:57 +0000 2020,"Huge thanks to @EJR_Paleo for his fascinating talk on T-Rex yesterday in our @pomonacollege ""Cultural Politics of Dinosaurs"" class!"
12,Tue Oct 20 22:01:45 +0000 2020,@TSLnews @pomonacollege Should include staff
13,Tue Oct 20 22:00:33 +0000 2020,@TSLnews @pomonacollege Overdue.
14,Tue Oct 20 17:01:37 +0000 2020,RT @thinkthanked: @a_moriarty @thehill @pomonacollege @nyuniversity How cute.. please discount the 60% of the students ie indians from that…
15,Tue Oct 20 15:04:20 +0000 2020,"I attended an all-girls college. It's true. As a @pomonacollege student '78, I took a class at @scrippscollege . I also took classes at @CMCnews and @pitzercollege  That was the benefit of being a student in the Claremont Colleges."
16,Tue Oct 20 14:44:08 +0000 2020,"@a_moriarty @thehill @pomonacollege @nyuniversity How cute.. please discount the 60% of the students ie indians from that list, unless there are suicidal no one with two brain cell would come here to study and rot in 195 year backlog. And no party is interested in fixing it  and @AILANational is firm on letting these people die."
17,Tue Oct 20 04:49:48 +0000 2020,"@pomonacollege Ah, the universal symbol for endowed chair. Everything’s coming up Milhouse!"
18,Tue Oct 20 01:45:55 +0000 2020,@pomonacollege Woops. College has found me. Time to take my Twitter more seriously! Thanks for pushing this!
19,Tue Oct 20 01:30:57 +0000 2020,@pomonacollege Thank you for sharing!
20,Tue Oct 20 00:19:45 +0000 2020,@pomonacollege Great !
21,Sun Oct 18 15:34:39 +0000 2020,"This is a thread containing everything I know about #SARSCoV2 #COVID19. I will try to use language that people without a degree in any sort of biology can understand. I'm not a doctor, and I don't have a PhD. I just have a BA from @pomonacollege in molecular biology. 🦠"
