,created_at,full_text
0,Mon Oct 26 15:53:34 +0000 2020,@_stah @ShellyMBoulder @Don_Milton @Portland_State I did many years ago for a presentation at a Children's Environmental Health Institute (@CEHI) meeting in Texas. Will try to dig it out or simply recreate today.
1,Mon Oct 26 14:52:01 +0000 2020,@CorsIAQ @ShellyMBoulder @Don_Milton @Portland_State Have you created a graph for the Ra0 of COVID-19 vs occupancy/CO2 level comparable to those in this manuscript for public consumption? I think even as a first approximation that would be insanely helpful.
2,Mon Oct 26 10:36:18 +0000 2020,RT @CorsIAQ: @ShellyMBoulder @Don_Milton Indeed 👍.  Every undergraduate and graduate course that I have taught on indoor air quality has th…
3,Mon Oct 26 05:38:27 +0000 2020,@ProjectLincoln @Theowyn1 @Portland_State This will help me sleep tonight. Thank you. 💕
4,Mon Oct 26 01:17:08 +0000 2020,RT @CorsIAQ: @ShellyMBoulder @Don_Milton Indeed 👍.  Every undergraduate and graduate course that I have taught on indoor air quality has th…
5,Mon Oct 26 00:01:23 +0000 2020,RT @CorsIAQ: @ShellyMBoulder @Don_Milton Indeed 👍.  Every undergraduate and graduate course that I have taught on indoor air quality has th…
6,Sun Oct 25 23:38:08 +0000 2020,"@CorsIAQ @ShellyMBoulder @Don_Milton @Portland_State Helped keep 40 kids in “school-lite-center” 12aug-current! 

It works.
Period.
#HandsFaceAirflowAndSpace"
7,Sun Oct 25 23:33:30 +0000 2020,"@ShellyMBoulder @Don_Milton Indeed 👍.  Every undergraduate and graduate course that I have taught on indoor air quality has this paper as assigned reading, HW assignment, and occasionally as the root of exam questions.  I have used Rudnick-Milton extensively for classroom planning @Portland_State.  😁"
8,Sat Oct 24 05:45:28 +0000 2020,RT @valerie_cleary: @psuviks and @Portland_State are continuing to work with State Officials in our steps to fully practice in preparation…
9,Sat Oct 24 00:27:41 +0000 2020,"RT @CorsIAQ: 11/  The analysis is based on the Rudnick-Milton model, which I have used extensively (w/ revisions to allow for engineering c…"
10,Fri Oct 23 23:23:25 +0000 2020,RT @valerie_cleary: @psuviks and @Portland_State are continuing to work with State Officials in our steps to fully practice in preparation…
11,Fri Oct 23 22:21:05 +0000 2020,@psuviks and @Portland_State are continuing to work with State Officials in our steps to fully practice in preparation for our upcoming sports seasons. Please know that I keep our student-athlete and staff health and safety as my number one priority.
12,Fri Oct 23 16:44:15 +0000 2020,@KimmyPugel @Portland_State It was recorded. Let me check on finding the link and get back to you
13,Fri Oct 23 16:18:57 +0000 2020,@hydro_kyleb @Portland_State @hydro_kyleb I missed this due to other commitments. Was it recorded and is the link shareable? Thanks!
14,Fri Oct 23 13:00:20 +0000 2020,"@SeismoSocietyAm @IRIS_EPO @Portland_State .....and on the 7th day, the earth swallowed the den of the unhinged whole"
15,Thu Oct 22 15:12:52 +0000 2020,@CorsIAQ @Portland_State I knew it
16,Thu Oct 22 02:31:37 +0000 2020,RT @dianeeldredge99: @ProjectLincoln @Portland_State Wow!!! 💗💗💗 This gave me Chills! 😢 #NationalAnthem 🇺🇸🇺🇸🇺🇸  I love my Country &amp; that’s w…
17,Wed Oct 21 21:27:04 +0000 2020,@jeremiahhayden_ @Portland_State Only just...
18,Wed Oct 21 21:16:11 +0000 2020,"@laloudajk @Portland_State Yeah, thank you! Me too! 🥲"
19,Wed Oct 21 21:15:30 +0000 2020,@LStrannigan @Portland_State Thanks my friend! Looking forward to the next steps 😀
20,Wed Oct 21 21:15:03 +0000 2020,"@radicalrenter @Portland_State Thanks, buddy!"
21,Wed Oct 21 21:14:44 +0000 2020,"@CoryARussell1 @Portland_State And yes, that was the project! I wish I could find a copy of it. That said, I do have a copy of How to Make a Box around here somewhere😁"
22,Wed Oct 21 21:10:34 +0000 2020,"@jeremiahhayden_ @Portland_State Love to hear this, dude!!! ❤️"
23,Wed Oct 21 21:09:47 +0000 2020,"@CoryARussell1 @Portland_State YOU""RE ONT WITTER?!?!?!"
24,Wed Oct 21 21:09:21 +0000 2020,@BananaStandPDX @Portland_State Thanks my friendsss
25,Wed Oct 21 21:09:05 +0000 2020,@CampbellHolly @Portland_State Thanks Holly!
