,created_at,full_text
0,Mon Oct 26 18:46:41 +0000 2020,"Today our #NSFNRT Colloquium is meeting with Prof Dan Li of @BUEarth! Hearing his origin story: parent of teachers, moved from China to US, began PhD then postdoc @Princeton on env fluid mechanics, #LULC in cities, #urbanheatislands, then came to @BU_Tweets."
1,Mon Oct 26 18:34:43 +0000 2020,"@phdgprotein86 @NRMNET @PStrengthen @dr_ohsopretty @NIH @CommOfScholars @ROOTSMentoring @Princeton @uiowa @WSSUNews @WssuFam This is excellent! Will definitely pass onto students, thanks!"
2,Mon Oct 26 18:18:21 +0000 2020,"@GOP @realDonaldTrump NANA DOESN’T WANNA DIE

RIGHT TO LIFE MY ASS

@Harvard @Yale @Princeton @BrownUniversity @Columbia @dartmouth @Penn @UCBerkeley @UCLA @Cornell"
3,Mon Oct 26 18:01:46 +0000 2020,@RickyBobby_USA @PrincetonEcon @Princeton @ProhibitionUS @LPNational It is a joke that @gop who is supported by @nra will send in federal troops to protect bad businesses but won't do the same to defend peoples inalienable #2A rights in those same cities.
4,Mon Oct 26 17:42:50 +0000 2020,"@exxonmobil @Princeton @AndlingerCenter Exxon-Mobil research and development expenses for the twelve months ending June 30, 2020 were 21% less than the prior 12 months.  R&amp;D as a % of revenue is a paltry 0.44%. They have no intention of innovating toward a greener future."
5,Mon Oct 26 17:16:06 +0000 2020,@saveroflife @secureusaborder @allisonfedder @Princeton I had a bagel inside my jacket pocket.
6,Mon Oct 26 17:14:35 +0000 2020,"@secureusaborder @allisonfedder @Princeton There was a time when reading articles &amp; opinions from newspapers &amp; magazines were one of the greatest pastimes, when it was staple food for skippers of breakfasts on Monday mornings. 
I long for those days to be back, even for just one Monday in a month. That'd be 52 summaries."
7,Mon Oct 26 17:08:04 +0000 2020,@DrGiesler @Princeton @ProfessorWherry @SchulichSchool @yorkuniversity @unlimitedtext @dhawanvijoy @ztparvez12 @NatalieMaclea18 @MKeene3 Nice!
8,Mon Oct 26 17:04:57 +0000 2020,"@Princeton @SamWangPhD Enjoyed the pod!  But there was one error.  Sasse is up this year.  The Dems withdrew their support of his challenger after, iirc, a sexting scandal.

In light of how the year has gone &amp; Cal Cunningham’s apparent resilience, maybe giving Sasse a pass was a mistake?"
9,Mon Oct 26 17:04:04 +0000 2020,@Princeton @NJIT @nyuniversity @NBCNewYork I've heard this before. Let it into the wild.
10,Mon Oct 26 17:02:52 +0000 2020,@Princeton 6 feet is 2 meters.
11,Mon Oct 26 17:02:29 +0000 2020,@Princeton Is the campus open?
12,Mon Oct 26 17:01:50 +0000 2020,@Princeton Will you now do one for @Transit_Dog?
13,Mon Oct 26 16:24:48 +0000 2020,"@allisonfedder @Princeton When an excellent article can be summarized in a single tweet, it's going to be a good day."
14,Mon Oct 26 15:30:10 +0000 2020,@PrincetonSPIA @CharlotteAlter @PeteButtigieg @EliseStefanik @AOC @Princeton @julianzelizer I think I’ll send it to miles
15,Mon Oct 26 15:21:30 +0000 2020,@Princeton @NormaFoleyTD1 @Education_Ire and yet schools are safe places with zero virus transmission and no need for proper sanitiser or testing in Ireland...
16,Mon Oct 26 14:47:30 +0000 2020,RT @debtanchor1: @nadiaskin1 @DharmaForSale @FaithBrashear @JoAnnKennedyCAN @SOS_Fraud @EdenfieldPl @truthsearch1957 @mkaz9800 @Isabel1170…
