,created_at,full_text
0,Mon Oct 26 17:04:21 +0000 2020,@maxarmstrong @LifeAtPurdue @BoilerFootball No loyalty questioned at all Max...just want to make sure every Boiler win gets celebrated too cause we might not get many this year!!
1,Mon Oct 26 17:02:11 +0000 2020,@NSF @H2OEcologist @LifeAtPurdue It could also be dual use. Something that can run up and down your anus and can be controlled from the outside is a great idea for a sex toy. You should dual market this thing.
2,Mon Oct 26 16:53:52 +0000 2020,@divinejlet @LifeAtPurdue Wait - they're DOING THAT THIS YEAR? Whaaaa? Eeeeew.
3,Mon Oct 26 16:50:17 +0000 2020,@DmicMedia @LifeAtPurdue @BoilerFootball I am a lifetime member of the alumni association and paid out-of-state tuition for my offspring...and you question my loyalty?!!!
4,Mon Oct 26 15:47:13 +0000 2020,"@EnergyLiveNews @LifeAtPurdue It uses calcium carbonate as one of the cheapest commodity in the market. If it works out, it will help improve climate change."
5,Mon Oct 26 15:05:22 +0000 2020,"RT @bacronan: Excited for @CollegeBoard first ever virtual #CBForum opening pleanry with @HowardUniv @HUPrez17 , @LifeAtPurdue @purduemitch…"
6,Mon Oct 26 14:29:23 +0000 2020,"Excited for @CollegeBoard first ever virtual #CBForum opening pleanry with @HowardUniv @HUPrez17 , @LifeAtPurdue @purduemitch  and @BaltCitySchools CEO @SonjaSantelises Innovation in a Time of Crisis #education #equity #collegeboard"
7,Mon Oct 26 12:39:32 +0000 2020,"@maxarmstrong @LifeAtPurdue @BoilerFootball Just expect an “Attaboy”
For our Boilers too!!! (Especially when saying anything nice about IU) 😎"
8,Mon Oct 26 12:23:34 +0000 2020,Another @iteaebd #ebdteems lesson with kindergarten. Our @LifeAtPurdue undergrad facilitated a lesson on materials animals and humans use to make homes. @epic4kids had a great book about animal habitats! @ManheimCentral @BaronElementary @iteea @ITEEAESC @PADeptofEd #steminpa
9,Mon Oct 26 12:19:14 +0000 2020,@DmicMedia @LifeAtPurdue @BoilerFootball BUT...I had to make the point it had been THIRTY-SEVEN YEARS since IU had last beaten a top 10 ranked team. (and there was at least a little joy in my voice!)
10,Mon Oct 26 11:38:38 +0000 2020,It’s rare that I ever have to do this but I had to scold #Purdue alum @LifeAtPurdue @maxarmstrong on the Morning Show for mentioning IU’s amazing win in #BigTen football without also mentioning that @BoilerFootball won too!
11,Mon Oct 26 01:44:33 +0000 2020,"just want to give a huge thanks to @MLBRandomStats. was kind enough to show me, a hopeful @LifeAtPurdue applicant around the campus. genuine class act and a really down to earth guy. hopefully i'll see you again sometime next year, as a Boilermaker."
12,Mon Oct 26 01:35:44 +0000 2020,It’s October 25th and @BoilerFootball are undefeated! Just sayin! @LifeAtPurdue
