,created_at,full_text
0,Mon Oct 26 16:02:06 +0000 2020,@Ezaffar @DoomsdayPrepper @QC_News @_colianselmo Probably not everything
1,Mon Oct 26 15:26:49 +0000 2020,RT @NYPIRG: Did you catch @qc_NYPIRG @QC_News student Zeke Lugar on the @BrianLehrer show today #AsktheMayor about his commitment to suppor…
2,Sun Oct 25 22:00:05 +0000 2020,"RT @barrientosfunes: @GCsciences @sfn @QC_News Congratulations @amydbarrera @kaiming_wang and @UddinIsrat 

Communicating science to others…"
3,Sun Oct 25 21:25:48 +0000 2020,"@GCsciences @sfn @QC_News Congratulations @amydbarrera @kaiming_wang and @UddinIsrat 

Communicating science to others is a core component of doing science. We don't work in the lab to keep this knowledge to ourselves--but to share it with our peers and our communities.

I'm proud of you all."
4,Sun Oct 25 19:54:43 +0000 2020,"Thank-you @CUNY Queens College for acting as an early voting site!  Is there a designated parking lot or a procedure to park and/or drop off elderly voters and/or those with mobility issues? @QC_News
 @QCToday"
5,Sun Oct 25 18:22:45 +0000 2020,🎈Congratulations to Tori Gilbert @vgilbertTEACH for the NYS Distinguished world language teacher award. It is always an honor to work with you. 🌞@NYSAIS @AATSPglobal @BiliteracySeal @EarlyLang @NAISnetwork @LanguageEd @KlingensteinCtr @QC_News @TeachLanguageQC @TeachersCollege
6,Sun Oct 25 12:10:30 +0000 2020,It’s 8:10am and there’s already a small line of 10-15 people at Queens College @QC_News waiting to vote! #queenscollege #queenscollegenyc #queenscollegevote #VoteEarly
7,Sat Oct 24 14:24:56 +0000 2020,At @QC_News waiting to @CUNYVotes been on a very long line since 10am. Line goes pasted 65ave. #VoteEarlyDay #VoteEarly #VoteHimOut2020 #VoteBlueToSaveAmerica  #vote #Vote2020
8,Sat Oct 24 00:46:39 +0000 2020,RT @fenton_maria: Happening now!!!@NYSAFLT 2020 Celebration honoring colleagues who have contributed so much to our World Language communit…
9,Fri Oct 23 23:41:29 +0000 2020,"Happening now!!!@NYSAFLT 2020 Celebration honoring colleagues who have contributed so much to our World Language community!!!
Congratulations to @tbarringer2
#MidStateRBERN @ocmboces Dr. Jennifer Eddy @WorldLanguageEd @QC_News @NYSEDNews"
10,Fri Oct 23 22:49:15 +0000 2020,"@QC_News It's an essential part of life to support struggling people  financially, if you need financial support in any way dm me now with your location and your needs"
11,Fri Oct 23 16:06:56 +0000 2020,RT @NYPIRG: Did you catch @qc_NYPIRG @QC_News student Zeke Lugar on the @BrianLehrer show today #AsktheMayor about his commitment to suppor…
12,Fri Oct 23 15:55:59 +0000 2020,"Did you catch @qc_NYPIRG @QC_News student Zeke Lugar on the @BrianLehrer show today #AsktheMayor about his commitment to support and expand bus service?! 
Mayor says buses are ""the way of the future"". Love to hear it - love even more to see more busways serve our communities"
13,Thu Oct 22 23:25:03 +0000 2020,@QCToday @QC_News Watching this wonderful ceremony! Congratulations to all!
14,Wed Oct 21 22:41:42 +0000 2020,@StephTorres91 @PsychatHunter @Nomura_Y5 @QC_News @GC_CUNY Absolutely! That was exactly the advice I got from #JimGordon when I was applying - You will end up loving whatever it is you will be studying😊
15,Wed Oct 21 22:28:14 +0000 2020,"@PMPehme @PsychatHunter @Nomura_Y5 @QC_News @GC_CUNY SO IMPORTANT! What I emphasize to potential applicants now is finding a mentor that is a good person, even if the research match is not 100% a good fit. 

A bad mentor can make you hate the research topic you were once passionate about."
16,Wed Oct 21 20:54:26 +0000 2020,@QC_News @profkl @VanessaYPerez @michaelkrasner @CUNY Please check DMs :)
17,Mon Oct 19 18:53:23 +0000 2020,Y’all some greedy ass niggas randomly making me have to pay $7000 in bills when I’ve given y’all every damn payment. Ofc this bill magically comes outta the blue when I’m applying for graduation @CUNY @QC_News
