,created_at,full_text
0,Mon Oct 26 01:12:08 +0000 2020,"@martincizmar @alankesslr @reed_alumni @Reed_College_ i just want to point out that i have the distinction of being BLOCKED by @alankesslr for the presumed and alleged infraction of reading &amp; re-phrasing his techbro tweet about easy embed code on twitter videos 

speaking of #pettiness"
1,Sat Oct 24 03:47:04 +0000 2020,@Belaokmyx @Reed_College_ A former Reed graduate is the current program manager for DOE's Basic Energy Sciences Heavy Element program.
2,Fri Oct 23 21:46:10 +0000 2020,@gronke @reed_alumni @Reed_College_ @early_vote Learned from the best!
3,Fri Oct 23 05:04:35 +0000 2020,@marazepeda @Reed_College_ And to be clear: They are focusing on core values!
4,Fri Oct 23 05:02:09 +0000 2020,@marazepeda @Reed_College_ Just heard Putin welcome folks to a Meetup.  It's time to go to bed.  I am grateful for you @marazepeda
5,Fri Oct 23 03:47:44 +0000 2020,@ashleyhenrypdx As the author of a @Reed_College_  Russian thesis entitled “The Children's Curse: The Influence &amp; Reinterpretation of Rousseau's ‘Emile’ in the Childhood and Education of the Russian Superfluous Man” I am LIVING for this moment. We’re watching something 100+ years in the making.
6,Thu Oct 22 23:54:53 +0000 2020,"@voltaverse Don't think so. It means that @reed_alumni /@Reed_College_ either decided to do the right thing, or decided that paying 20x the value of hosting the campaign event to the City Auditor didn't seem like a risk it wanted to take on. Or both!"
7,Thu Oct 22 23:39:42 +0000 2020,"RT @pdxfoodie2: @martincizmar @Enviro_Doggo @alankesslr @reed_alumni @Reed_College_ This is ridiculously classist, which is enough reason t…"
8,Thu Oct 22 23:36:04 +0000 2020,@pdxfoodie2 @alankesslr @martincizmar @Enviro_Doggo @reed_alumni @Reed_College_ Oop there it is
9,Thu Oct 22 23:33:09 +0000 2020,"RT @pdxfoodie2: @martincizmar @Enviro_Doggo @alankesslr @reed_alumni @Reed_College_ This is ridiculously classist, which is enough reason t…"
10,Thu Oct 22 23:14:11 +0000 2020,"@martincizmar @Enviro_Doggo @alankesslr @reed_alumni @Reed_College_ This is ridiculously classist, which is enough reason to ignore this guy, but I literally just got off the phone with a professor in the Cornell Government department (where Mapps got his PhD) and they think that his pro-cop platform is BS."
11,Thu Oct 22 23:07:58 +0000 2020,@martincizmar @hindsightis2030 @alankesslr @reed_alumni @Reed_College_ The only thing more confused than your tweet is your profile pic.
12,Thu Oct 22 12:46:27 +0000 2020,RT @matt_oc7: .@Reed_College_ @AudreyBilger I’m sure y’all issued some (now seemingly bullshit) racial justice statement this summer after…
13,Thu Oct 22 12:46:18 +0000 2020,"RT @matt_oc7: .@Reed_College_, this is a slap in the face to the activism that your students are doing, and especially to students of color…"
14,Wed Oct 21 18:29:41 +0000 2020,"@hindsightis2030 @Enviro_Doggo @alankesslr @reed_alumni @Reed_College_ It would be amazing if you could elect Sarah and Mingus, bust the PPB union, stop the gassing, denounce the Nazis &amp; generally stop fucking up so the rest of us did not have to hear about how much Portland sucks as an excuse to not do anything Democrats elsewhere want to do."
15,Wed Oct 21 18:28:44 +0000 2020,@martincizmar @Enviro_Doggo @alankesslr @reed_alumni @Reed_College_ oh you’re one of those. 🙄 figures.
16,Wed Oct 21 18:27:13 +0000 2020,"@hindsightis2030 @Enviro_Doggo @alankesslr @reed_alumni @Reed_College_ My current city isn't a mess providing daily fodder for Fox News &amp; undermining the cause of liberals and progressives everywhere. My old city, unfortunately, is now a liability to everyone on the left as it has become a byword for ineffective and hypocritical lefty leadership."
17,Wed Oct 21 18:11:29 +0000 2020,"@martincizmar @alankesslr @reed_alumni @Reed_College_ cool cool this looks like a whole lot of accusations with absolutely no backup. as someone who actually lives here, Chloe has been a great asset to the council, and while i don’t agree with her on everything, at least she’s not a shitty bootlicking PPA front. but sure you keep on"
18,Wed Oct 21 17:13:48 +0000 2020,@ErikPtfc @martincizmar @reed_alumni @Reed_College_ I think we'll need to defer to the subject matter expert on pettiness.
19,Wed Oct 21 17:10:35 +0000 2020,@martincizmar @alankesslr @reed_alumni @Reed_College_ 🤔 petty you say?
20,Wed Oct 21 15:44:52 +0000 2020,"@Enviro_Doggo @alankesslr @reed_alumni @Reed_College_ Progressives: elevate black voices!

[Ivy League-educated Black man with nuanced position on cops runs for office against a white lady who held a book release party for ""Bible of the Proud Boys"" which was written by her close personal friend]

 Progressives: no not like that"
21,Wed Oct 21 15:41:23 +0000 2020,"@Enviro_Doggo @alankesslr @reed_alumni @Reed_College_ Progressives: respect the experts!

[guy with PHD in politics from Cornell runs for office against lady with GED who rose to power by running a shitposting group on Facebook &amp; is under investigation for flagrant abuses in govt bureau she oversees]

 Progressives: no not like that"
22,Wed Oct 21 15:39:19 +0000 2020,"@Enviro_Doggo @alankesslr @reed_alumni @Reed_College_ I don't know how cheap it is?

Chloe had every opportunity to get an education. Her parent were landlords. She owned her own business when very young.

At every turn, she thought she knew more than everybody else. That hasn't stopped.

Her opponent got himself a PHD from Cornell."
23,Wed Oct 21 15:35:24 +0000 2020,"@martincizmar @alankesslr @reed_alumni @Reed_College_ Are you really taking a cheap shot at people who got GEDs?

Also I'm sorry that I brain farted on Kansas City &amp; St Louis."
24,Wed Oct 21 15:32:42 +0000 2020,"@Enviro_Doggo @alankesslr @reed_alumni @Reed_College_ I'm as close to St. Louis as you are to Medford.

You must be one of Chloe's classmates from her GED program."
25,Wed Oct 21 15:29:27 +0000 2020,@hindsightis2030 @alankesslr @reed_alumni @Reed_College_ Chloe Eudaly is a liar. Chloe Eudaly has maintained longtime friendships with literal Nazis. Chloe Eudaly has tried to intimidate anyone who doesn't agree with her—including Alan. Chloe Eudaly won't listen to people who know more than her and has a ninth-grade education.
26,Wed Oct 21 15:27:27 +0000 2020,"@chowell2000 @alankesslr @reed_alumni @Reed_College_ Yes, and he's not voting for Ted Wheeler... Is he?"
27,Wed Oct 21 15:09:48 +0000 2020,"@martincizmar @alankesslr @reed_alumni @Reed_College_ This just shows you can’t know too much about Portland from Missouri. Alan has been using “this level of pettiness” against the mayor too, and the mayor would absolutely screw up city policy for personal reasons. He would break the law for personal reasons!"
28,Wed Oct 21 13:41:32 +0000 2020,@martincizmar @alankesslr @reed_alumni @Reed_College_ what the fuck are you going on about even.
29,Wed Oct 21 13:11:09 +0000 2020,@martincizmar @alankesslr @reed_alumni @Reed_College_ You're in St Louis buddy
