,created_at,full_text
0,Mon Oct 26 18:43:20 +0000 2020,"@SylvesterTurner @RiceUniversity @UHouston @TexasSouthern Blacks must be blocked at TSU... surely it must be road blocks to cause such a low number. They are so oppressed. Hey Sly... you never answer my question. How many times have you, Senator Borris and Commissioner Rodney voted so far?"
1,Mon Oct 26 18:29:58 +0000 2020,"@SylvesterTurner @RiceUniversity @UHouston @TexasSouthern Will you allow the fraud being committed against the citizens by insurance companies to continue? Denying claims based on ""out of network"" providers when in fact ""in network"" providers are non existent. Out of pocket caps when no cap actually exist. Where is the accountability?"
2,Mon Oct 26 18:25:20 +0000 2020,@RuskD @AprilAnnCole @NASA @JimBridenstine @RiceUniversity @RiceSpace Send us a direct message and we’ll be happy to help!
3,Mon Oct 26 18:09:41 +0000 2020,@AprilAnnCole @NASA @JimBridenstine @RiceUniversity @RiceSpace @ricealumni HELP! I can't get on to hear NASA alum
4,Mon Oct 26 18:04:18 +0000 2020,"@lipstklitterati @RiceUniversity We're so glad you are enjoying Owl Together, Michelle. Thanks for joining us!"
5,Mon Oct 26 18:01:27 +0000 2020,@SylvesterTurner @RiceUniversity @UHouston @TexasSouthern And Rice has the lowest number of students.  By far!
6,Mon Oct 26 16:23:39 +0000 2020,@RiceAthletics @CCLRiceU @RiceUniversity Is termination of the Rice AD on the ballot?
7,Mon Oct 26 14:24:50 +0000 2020,"RT @ShearCreativity: @OwnEveryPiece @MCGenesisBlu Hey, @UHouston, @RiceUniversity, @TexasSouthern—would love for your students to know this…"
8,Mon Oct 26 05:52:33 +0000 2020,@jakebrend32 @RiceUniversity I will defend your honor with my life Rice slander is not allowed here
9,Sun Oct 25 14:15:16 +0000 2020,"One doink happens.
Two doinks too. 
Three doinks are impressive.
Four doinks are impossible.

Classic @RiceUniversity overachievers. Tough loss but I like where @RiceFootball is going."
10,Sun Oct 25 03:53:10 +0000 2020,"@sebastiangood @RiceUniversity That was... Rice? Never mind, of course that was Rice."
11,Sun Oct 25 01:32:03 +0000 2020,@BMaTexasAppeals @ActionNetworkHQ Question now is which @RiceUniversity physics exam that shows up on...you know SOME prof will have their class studying the kick.
