,created_at,full_text
0,Mon Oct 26 18:46:48 +0000 2020,"@RITtigers Can you provide *specifics* around the seven items on the ""Indicators used to determine alert level""? 

In other words, how many positive students move us to the Orange level?"
1,Mon Oct 26 17:01:04 +0000 2020,"@RITtigers Here's a crumb, you little insects. Now pay up.

-RIT"
2,Mon Oct 26 14:29:58 +0000 2020,@CynicalMother @RITtigers @RITMAGIC Very “brag-worthy” and awesome. Brag away Mom. 😄
3,Mon Oct 26 13:20:42 +0000 2020,Wilkins et al @RITtigers model American Sign Language phonetics and present their data set: ASLing. I 🧡 seeing signed language presentations at speech conferences- phonetics/phonology models &amp; theories *must* account for language in any modality #interspeech2020
4,Sun Oct 25 05:59:07 +0000 2020,@RITtigers That’s stunning!!! I love the glass design! I hope I’ll be able to see the finished product before I graduate in 4 1/2 years 🙏 #excited #stunning
5,Sat Oct 24 20:26:25 +0000 2020,@CynicalMother @RITtigers @RITMAGIC Thats awesome! One of my cousins went to filmschool in Florida &amp; got to work on set of the movie filmed in Hegadorns so we got to be extras. #perks
6,Sat Oct 24 18:59:16 +0000 2020,@CynicalMother @RITtigers @RITMAGIC Congratulations!!
7,Sat Oct 24 18:31:22 +0000 2020,@CynicalMother @RITtigers @RITMAGIC Film dropper
8,Sat Oct 24 18:23:10 +0000 2020,@CynicalMother @RITtigers As you should! You are his mama!
9,Sat Oct 24 15:57:09 +0000 2020,"A little kudos to our own Expressive Communication Center. It offers a space for students to help their peers prepare and practice their presentations, so they can do great in the classroom.
Awesome resource.

@rit_ecc @RITtigers @RIT_LiberalArts"
10,Sat Oct 24 12:50:46 +0000 2020,@BobDuffyROC @BrotherTy_ @Gallinadev @UofR @RITtigers @NazarethCollege @RochesterChambr Really? How about you start fixing Cuomo and New York- you’ve worked with him for quite some time- pandemic is no longer here- get kids in school no masks business as usual
11,Sat Oct 24 11:48:31 +0000 2020,@BobDuffyROC @Gallinadev @UofR @RITtigers @NazarethCollege @Brockport @RochesterChambr Please make sure no public money goes toward this project.  Student housing without a university is doomed to fail.
12,Fri Oct 23 17:38:51 +0000 2020,"@RITtigers Or, about 1%."
13,Fri Oct 23 04:17:20 +0000 2020,"@RITtigers @RoseHulman 

Legal Name; Hunter Daniel Nation

This is not a dissertation."
14,Thu Oct 22 23:41:03 +0000 2020,RT @WHockeyCommits: Karly Kolssak (Chicago Young Americans U19) has committed to Rochester Institute of Technology for 2022-2023 @RITtigers…
15,Thu Oct 22 15:50:32 +0000 2020,@CynicalMother @StevieJohnson13 @BuffaloBills @pepsi @RITtigers @RITMAGIC Love This ! #BuffaloBills #billsmafia Go Bills !🏈🇺🇸❤️
16,Thu Oct 22 15:10:37 +0000 2020,RT @WHockeyCommits: Karly Kolssak (Chicago Young Americans U19) has committed to Rochester Institute of Technology for 2022-2023 @RITtigers…
17,Thu Oct 22 14:18:29 +0000 2020,Karly Kolssak (Chicago Young Americans U19) has committed to Rochester Institute of Technology for 2022-2023 @RITtigers @RITWHKY @CHAWomensHockey
18,Thu Oct 22 12:06:23 +0000 2020,@foodsafetyqueen @RITtigers @RITMHKY @RIT_Alumni @RITMTRP @saa_rittigers @RITathletics @RITDiversity @RITWHKY I am not a university and don't appreciate the spam.
19,Wed Oct 21 18:55:34 +0000 2020,"I loved the zoom webinar with @IamGMJohnson today, thanks for doing it @RITtigers 🥰 All Boys Aren't Blue was so good, and I am excited for the other projects they have in the pipeline!"
20,Wed Oct 21 17:18:28 +0000 2020,@CynicalMother @StevieJohnson13 @BuffaloBills @pepsi @RITtigers @RITMAGIC That's so awesome for Evan!
21,Wed Oct 21 16:09:52 +0000 2020,@BillSachman @RITbusiness @RITtigers 🐯roar!
22,Wed Oct 21 15:57:32 +0000 2020,Made a donation to @RITNTID #ROARday in memory of our dear colleague Stephanie Smith Albert. Miss you. 💫 🐯 @RITtigers
23,Wed Oct 21 13:12:07 +0000 2020,"@CynicalMother @StevieJohnson13 @BuffaloBills @pepsi @RITtigers Awesome! Great behind the scenes perspective, and a lot of fun too!"
24,Wed Oct 21 11:40:22 +0000 2020,@RITMAGIC @StevieJohnson13 @BuffaloBills @pepsi @RITtigers He worked as a PA
25,Wed Oct 21 11:39:06 +0000 2020,"@CynicalMother @StevieJohnson13 @BuffaloBills @pepsi @RITtigers Such a great spot, saw it yesterday! What was his role in the production? Be sure to have Evan come and visit us!"
26,Wed Oct 21 02:23:47 +0000 2020,I had my midterm on a Saturday. THERE ARE NO WEEKENDS ANYMORE @RITtigers
27,Tue Oct 20 23:55:19 +0000 2020,@RITtigers City of Ottawa is doing this as well.
28,Tue Oct 20 22:10:59 +0000 2020,@RITtigers Check for STDs and staff viruses also please. Reports would be interesting.
29,Tue Oct 20 21:48:05 +0000 2020,@Fortissimona @dtyler321 @RITtigers It’s so addictive!
30,Tue Oct 20 21:42:01 +0000 2020,"Wrapping up the day with an awesome session by @dtyler321 about how @RITtigers is using TikTok.

Takeaways:

-don’t be afraid to take risks and experiment
-no hard sells
-average TikTok user spends 52 min/day on the app 😱
-absurdity is kinda the point sometimes 

#HEWeb20"
31,Tue Oct 20 19:38:05 +0000 2020,@JenniferSertl @AviSchiffmann @UR_AinCenter @RITtigers Fantastic! Thanks for sharing this with me
32,Tue Oct 20 14:14:13 +0000 2020,sometimes I close my eyes and get off the RTS bus in front of the @RITtigers Barnes and Noble
33,Tue Oct 20 13:32:54 +0000 2020,@GordonLeenders @malrushtonn @RITtigers @Riveters @TheIceGarden @tuffmustard @ghost_fossil @HabsFanInTO @LeafsJaysFan @BettyKaufman @hockey50years @NWHL Goodmorning Gordon! Have a great one and #StayHealthy
34,Tue Oct 20 10:59:56 +0000 2020,@kowyatt @ELGL50 @SFASU @txcmaorg @RITtigers @UofR @cpshr Great to see this program continue to expand
35,Tue Oct 20 00:34:07 +0000 2020,@Susan_Hennessey Our son at age 4 cut off many chunks of his hair in the basement—it looked like a massacre. He told us that @NorahJones did it (🤷🏻‍♀️). He’s now in his first year at @RITtigers. And the hair grew back 😂
36,Mon Oct 19 17:13:28 +0000 2020,@CSCPROF @RITtigers 50- years?  wow!  congrats.
37,Mon Oct 19 17:12:22 +0000 2020,@CSCPROF @RITtigers @LenelS2 have space for me in the building?  I need an office in the building instead of the 3rd floor where development is located.
38,Mon Oct 19 15:13:49 +0000 2020,"@RITtigers University sponsored quarantine again for those returning from ""hot "" states?"
39,Mon Oct 19 14:34:43 +0000 2020,@RITtigers What day in January will the dorms reopen for the students to return?
40,Mon Oct 19 13:37:59 +0000 2020,@RITtigers Yo. The ellingson elevators are fucked up please do something.
41,Mon Oct 19 12:34:52 +0000 2020,"RT @QOHSCounseling: College Visit this week:

10/19
@UofAlabama-11:30a
@EmersonCollege-11:30a
@RITtigers-2:45p

10/20
@IDCHerzliyaRRIS-2:45…"
42,Mon Oct 19 03:13:01 +0000 2020,"RT @QOHSCounseling: College Visit this week:

10/19
@UofAlabama-11:30a
@EmersonCollege-11:30a
@RITtigers-2:45p

10/20
@IDCHerzliyaRRIS-2:45…"
43,Mon Oct 19 02:44:08 +0000 2020,"College Visit this week:

10/19
@UofAlabama-11:30a
@EmersonCollege-11:30a
@RITtigers-2:45p

10/20
@IDCHerzliyaRRIS-2:45
@KenyonCollege-2:45

10/21
@LifeAtPurdue-8a
@scrippscollege-11:30a
@Vassar-11:30a

Sign up on Naviance

@Qohs2021 @Qohs2022 @QuinceOrchardHS @QOHSPrin_Thomas"
44,Sun Oct 18 21:52:44 +0000 2020,@RITtigers @LenelS2 I’m honored to have my office in this amazing building!
45,Sun Oct 18 21:31:57 +0000 2020,@RITtigers @RITNEWS applaud her dedication
46,Sun Oct 18 14:11:46 +0000 2020,@RIT_SportsZone @RITtigers @RITathletics @RITMHKY Goalie certainly masking up...
47,Sun Oct 18 10:44:49 +0000 2020,@down2earthindia @rajat_ghai83 @RITtigers Is this not fascinating!  Cyclical in nature.  That is the true tale.
48,Sun Oct 18 02:21:55 +0000 2020,"@RITtigers @UR_Med Couldn’t you study something nicer, maybe a high tech undershirt?"
49,Sat Oct 17 23:45:20 +0000 2020,"@iamevltwin @RITtigers Oh I knew it was open in general, but I forgot that places are open during covid cause I never leave my house 😂"
50,Sat Oct 17 22:17:37 +0000 2020,@RIT_SportsZone @RITtigers @RITathletics @RITMHKY Appreciate your response... Thank you!
51,Sat Oct 17 21:42:46 +0000 2020,@foodwishes Tiger Bread? These should be menu staples at @RITtigers !
