,created_at,full_text
0,Mon Oct 26 18:28:45 +0000 2020,@PRDiva91 @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv I need to get some money to do it.
1,Mon Oct 26 15:19:41 +0000 2020,"@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv DO it!! :D It's never too late, my friend!"
2,Mon Oct 26 15:10:30 +0000 2020,@exxonmobil @NeoProgressive1 @RowanUniversity is extremely proud of this partnership and will continue to do our part to fight against this pandemic!
3,Mon Oct 26 14:47:21 +0000 2020,@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv That's the timeframe when it's free for college/university students: Tuesdays-Fridays from 3-5 pm
4,Mon Oct 26 14:47:02 +0000 2020,@PRDiva91 @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv This makes me want to get back to school.
5,Mon Oct 26 14:15:10 +0000 2020,"@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv If visiting on Tuesdays-Fridays from 3-5 pm, students must show their ID from their college or university."
6,Mon Oct 26 14:13:45 +0000 2020,"@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv Thanks, @eyepicyou :D"
7,Mon Oct 26 14:08:02 +0000 2020,@PRDiva91 @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum You missed  @DelawareCCC
8,Mon Oct 26 00:56:50 +0000 2020,RT @hunter_of_john: Hey @kanyewest i am a sophomore from @RowanUniversity who was assigned in my journalism class to interview someone I fi…
9,Sat Oct 24 22:54:39 +0000 2020,"@VDOOZER @TaraDBennett @TedLasso @RowanUniversity Excellent, ordering the satin jackets."
