,created_at,full_text
0,Mon Oct 26 12:30:23 +0000 2020,"@JBradyScott @RushMedical @chicagosmayor @LoriLightfoot @RushUniversity @RushUHealthSci I am so grateful we have excellent respiratory therapists as we go into this winter. 
Thank you."
1,Sun Oct 25 23:32:46 +0000 2020,Connected with an inspiring M3 @RushMedical  through social media the other day. How do we normalize this and expedite these type of connections ?
2,Sun Oct 25 06:31:27 +0000 2020,"@SHDcathman @structuralheart Thank you Dr Kavinsky.. I will never forget your kindness and support..Great mentor.. I learned a lot from you when I was at @RushMedical.
I hope to see you soon"
3,Sun Oct 25 00:12:27 +0000 2020,RT @DrMahaliaD: @MarAzizID1 @sbleas66 @IDSAInfo @DocWoc71 @fadul_nada @SuperBugDoc @triantva @RushCCH_ID @RushMedical @IDSAFoundation 😭😭😭 I…
4,Sat Oct 24 17:20:57 +0000 2020,"@avolgman @DrTochiOkwuosa @RushMedical @IllinoisACC @ACCinTouch @HeartChicago Would’ve loved to have joined today, but it conflicted w my participation in #PACO2020"
5,Sat Oct 24 15:50:46 +0000 2020,RT @avolgman: @HeartOTXHeartMD @RushMedical @RushCancer @IllinoisACC @AHAMidwest @LisaAtAHA @cardio10s @CardioOncology @gina_lundberg @DrLa…
6,Sat Oct 24 15:38:28 +0000 2020,@HeartOTXHeartMD @RushMedical @RushCancer @IllinoisACC @AHAMidwest @LisaAtAHA @cardio10s @CardioOncology @gina_lundberg @DrLaxmiMehta @drmalissawood @braun_lynne Your fellow Dr Iva Golemi did a great job!
7,Sat Oct 24 15:31:40 +0000 2020,@avolgman @RushMedical @RushCancer @IllinoisACC @AHAMidwest @LisaAtAHA @cardio10s @CardioOncology @gina_lundberg @DrLaxmiMehta @drmalissawood @braun_lynne Well done!!
8,Sat Oct 24 13:19:56 +0000 2020,@Booterslp @AmishaWalliaMD @debofficially @BrandisFriedman @ChiPubSchools @janicejackson @wttw @NUFeinbergMed @RushMedical @IMPACT4HC Agree-rates climbing and the incidence of COVID-19 amongst my patients palpably rising— that’s why we say the most important way we can reopen schools is to act responsibly as decrease transmission in the communities schools serve...
9,Sat Oct 24 13:11:17 +0000 2020,"@Booterslp @AmishaWalliaMD @debofficially @BrandisFriedman @ChiPubSchools @janicejackson @wttw @NUFeinbergMed @RushMedical @IMPACT4HC CPS has it very tough. Many moving parts, not enough resources. Teachers are facing personal risk just like we are in healthcare, and teachers need to be protected. Many of our risk mitigation tactics in healthcare could be applied to schools with the right resources."
10,Sat Oct 24 04:12:56 +0000 2020,"@LJoyZ_MD @AmishaWalliaMD @debofficially @BrandisFriedman @ChiPubSchools @janicejackson @wttw @NUFeinbergMed @RushMedical @IMPACT4HC And yet the rates are still so high. I’m not blaming you, but I feel, like many teachers out there, the cognitive dissonance when we hear the mayor say 1 thing &amp; the Board say something else. And I don’t trust CPS to monitor the schools. The principals will do whatever they want."
11,Sat Oct 24 04:03:31 +0000 2020,"@Booterslp @AmishaWalliaMD @debofficially @BrandisFriedman @ChiPubSchools @janicejackson @wttw @NUFeinbergMed @RushMedical @IMPACT4HC There are ways to keep all communities safe— we serve many in these communities. We need to take evidence-based approaches to safely reopening schools. Cohorting, masking, temp checks, symptom screening, curbside pick up- drop off, etc."
