,created_at,full_text
0,Mon Oct 26 18:42:54 +0000 2020,@RutgersU @njacts And how much is the football coach paid?
1,Mon Oct 26 17:47:01 +0000 2020,"@BMileskiKFAN contract @RutgersU , @TerpsFootball, @PennStateFball and the @GopherFootball from the @bigten"
2,Mon Oct 26 16:22:54 +0000 2020,@GeoarchGSA @RutgersU @UW @wsu @geosociety Congratulations Gail! @RutgersEPS
3,Mon Oct 26 14:54:51 +0000 2020,@NGIatlantic @FundingBox @NGI4eu @ThinkNEXUS_NGI @NGI_Explorers @TSSG_WIT @RutgersU My pleasure @NGIatlantic 😊
4,Sun Oct 25 22:32:32 +0000 2020,@ProfessorMutch @Dean_MBJ @AustenParrish Congratulations Dean @ProfessorMutch @RFootball @RutgersU on the win yesterday!
5,Sun Oct 25 20:16:20 +0000 2020,@LlanesMaday @Hallelujah150 @JDevurapalli @PainHelpOnline @FridayKaren @_SpiritualPath_ @JamesRoweNL @TheAngelOrsini @RutgersU You're welcome and thanks!
6,Sun Oct 25 20:13:03 +0000 2020,@lilmama7116 @Hallelujah150 @JDevurapalli @PainHelpOnline @FridayKaren @_SpiritualPath_ @JamesRoweNL @TheAngelOrsini @RutgersU Thank you. Very kind and beautiful  flowers. Blessed day too
7,Sun Oct 25 19:55:26 +0000 2020,@LesniakSenator @jeff_towers @GregSchiano @RFootball @RUAthletics @RutgersU Very true
8,Sun Oct 25 16:33:38 +0000 2020,"@jeff_towers @GregSchiano @RFootball Jeff, you, Ron Garutti, other contributors and the fan base rose up in arms when it was reported @GregSchiano was not going to be picked to replace Ash. It’s not the first time you came to the rescue of @RUAthletics You and Amy are a gift to @RutgersU"
9,Sun Oct 25 15:08:05 +0000 2020,@BruceBeck4NY @GregSchiano @RFootball @RutgersU Wow congratulations!!!
10,Sun Oct 25 13:59:37 +0000 2020,@HarlanCoben @RutgersU @RFootball He writes comedy too!!!
11,Sun Oct 25 10:06:45 +0000 2020,@MattBarrie how did you not give @RutgersU a #helmetsticker  SERIOUSLY!!! WTH
12,Sun Oct 25 05:19:27 +0000 2020,"We have invited Dr. Janet Alder who is an assistant Dean for graduate affairs @RutgersU to speak on the topic. 

What better person to learn from about making successful applications? 

Please retweet and share with everyone who might benefit from this session.

 Don't miss it!"
13,Sun Oct 25 02:38:59 +0000 2020,RT @PeloFling: I can’t believe I’m in my last year at @RutgersU and I’m not partying on Easton av❗️❗️😔
14,Sun Oct 25 02:38:51 +0000 2020,I can’t believe I’m in my last year at @RutgersU and I’m not partying on Easton av❗️❗️😔
15,Sun Oct 25 02:35:30 +0000 2020,@RutgersU is a football school again
16,Sun Oct 25 00:31:47 +0000 2020,RT @BruceBeck4NY: What a win for @GregSchiano and @RFootball ! Big Ten losing streak over! Heck of a start for Schiano’s 2nd Chapter! @Rutg…
17,Sat Oct 24 23:03:19 +0000 2020,@samancello @RutgersU disgoosting
18,Sat Oct 24 22:16:58 +0000 2020,"@HarlanCoben @RutgersU @RFootball Rutgers won today!  Now, if only the Jets could win tomorrow. Jets fan from New Hampshire. The only one?"
19,Sat Oct 24 22:02:57 +0000 2020,@Rutgers_Camden @RutgersU @RFootball This is a spectacular win gentleman! Next one up!
20,Sat Oct 24 21:18:06 +0000 2020,"Don't look now, but my graduate-school alma mater, @RutgersU, is tied for first place in the Big Ten East division. Go Scarlet Knights! @RFootball @RutgersOnBTN @RUAthletics"
21,Sat Oct 24 21:02:07 +0000 2020,@RutgersU #RutgersPride is RIGHT
22,Sat Oct 24 20:46:13 +0000 2020,Congrats to Erika Davidoff of @RutgersU for your student presentation award in Bioengineering! #SACNAS2020
23,Sat Oct 24 20:31:50 +0000 2020,"RT @henrybear1708: Meanwhile, @RutgersU saved less than $4M total when it cut 25% of the courses taught by adjunct faculty this semester—hu…"
24,Sat Oct 24 20:27:02 +0000 2020,@CRabolli @RutgersU I was thinking the same!!
25,Sat Oct 24 20:25:48 +0000 2020,@HarlanCoben @RutgersU @RFootball He writes comedy too!!!
26,Sat Oct 24 20:11:55 +0000 2020,"Meanwhile, @RutgersU saved less than $4M total when it cut 25% of the courses taught by adjunct faculty this semester—hundreds and hundreds of classes were stolen from students, hundreds and hundreds of talented educators lost their livelihood..."
27,Sat Oct 24 20:02:49 +0000 2020,"@SInow YES WE DID!!! ⚔️ 

Go RUTGERS! @RFootball 
@RutgersU"
28,Sat Oct 24 19:41:26 +0000 2020,RT @BruceBeck4NY: What a win for @GregSchiano and @RFootball ! Big Ten losing streak over! Heck of a start for Schiano’s 2nd Chapter! @Rutg…
29,Sat Oct 24 19:40:37 +0000 2020,"Proud to be a @RutgersU student, especially today 👍🏻"
30,Sat Oct 24 19:38:40 +0000 2020,"What a day to be a Rutgers fan. I’m spamming all the cars in my complex with R magnets. Welcome back, Coach Schiano! @RutgersU"
31,Sat Oct 24 19:37:45 +0000 2020,RT @BruceBeck4NY: What a win for @GregSchiano and @RFootball ! Big Ten losing streak over! Heck of a start for Schiano’s 2nd Chapter! @Rutg…
32,Sat Oct 24 19:35:21 +0000 2020,Congratulations to @RutgersU on a HUGE win over @JesseAddy &amp; @RobStoneRadio  's Michigan State Spartans 😜 !  The Scarlett Knights are now tied for first place in the Big Ten. Boom.
33,Sat Oct 24 19:34:56 +0000 2020,RT @BruceBeck4NY: What a win for @GregSchiano and @RFootball ! Big Ten losing streak over! Heck of a start for Schiano’s 2nd Chapter! @Rutg…
34,Sat Oct 24 19:34:55 +0000 2020,RT @BruceBeck4NY: What a win for @GregSchiano and @RFootball ! Big Ten losing streak over! Heck of a start for Schiano’s 2nd Chapter! @Rutg…
35,Sat Oct 24 19:34:40 +0000 2020,And first conference win since 2017? I think all my hard work deserves a tuition discount @RutgersU
36,Sat Oct 24 19:34:19 +0000 2020,RT @BruceBeck4NY: What a win for @GregSchiano and @RFootball ! Big Ten losing streak over! Heck of a start for Schiano’s 2nd Chapter! @Rutg…
37,Sat Oct 24 19:33:36 +0000 2020,And 2020 continues doing 2020 things as @RutgersU scores 38 points and wins a #B1G game 🤯🤯 #GoKnights #RU
38,Sat Oct 24 19:32:15 +0000 2020,What a win for @GregSchiano and @RFootball ! Big Ten losing streak over! Heck of a start for Schiano’s 2nd Chapter! @RutgersU
39,Sat Oct 24 19:31:43 +0000 2020,HECK YEAH!!!!! @RFootball #CHOP!!!!  @GregSchiano @RutgersU @Rutgers @RUScarletKnight
40,Sat Oct 24 19:28:23 +0000 2020,@HarlanCoben @RutgersU @RFootball They are used to playing in front of crowds like today's.
41,Sat Oct 24 19:22:14 +0000 2020,@HarryCicma @RutgersU @RUAthletics @RFootball Such a strong showing today! #RFamily
42,Sat Oct 24 19:20:46 +0000 2020,Rutgers Soul...always proud of my Scarlet Knights  @RutgersU @RUAthletics @RFootball
43,Sat Oct 24 19:02:04 +0000 2020,@RFootball @RutgersU Amazing
44,Sat Oct 24 18:28:55 +0000 2020,"Great watching @RFootball play, but we also love #BTNLiveBig from @BigTenNetwork. @RutgersU/@RutgersNB research doesn't just help NJ, it helps the world. 

#RutgersPride #scarletforever"
45,Sat Oct 24 17:53:46 +0000 2020,so very happy to be a proud @RutgersU alumn today
46,Sat Oct 24 17:31:52 +0000 2020,"@SonofDiogenes99 @RutgersU  punish these kids. 2,000 cases in NJ today, this is disgusting."
47,Sat Oct 24 17:00:22 +0000 2020,@sportingnews Most exciting thing at @RutgersU since Mike Rice was throwing basketballs at players’ heads.
48,Sat Oct 24 16:43:26 +0000 2020,Rutgers Soul @RutgersU @RUAthletics @RFootball
49,Sat Oct 24 16:18:27 +0000 2020,"I swear @RFootball @RutgersU is not doing enough run plays that dont involve throwing. The only thing they did to get that touchdown is do the fake run plays. Sincerely, A fan of @michiganstateu"
50,Sat Oct 24 15:39:14 +0000 2020,@nickgillespie @RutgersU Now we have to start at the -50
51,Sat Oct 24 13:49:56 +0000 2020,@YasT62 @CollegeGameDay @RutgersU @RUAthletics @BarstoolRU Did you go to those colleges?
52,Sat Oct 24 13:45:40 +0000 2020,It’s @RFootball game day! I’m wearing my scarlet and spending the morning outlining ideas for my exam essays. Exams start on FRIDAY!!! And then… it’s game time! Wooohooo! An @RutgersU Saturday for sure!
53,Sat Oct 24 13:23:00 +0000 2020,"Who’s ready for some @MSU_Football ???  12PM against @RutgersU 

#GOGREEN #GOWHITE #SPARTYON"
54,Sat Oct 24 12:33:25 +0000 2020,@RutgersU How can I get one?
55,Sat Oct 24 01:46:33 +0000 2020,@RFootball I'm 15 and I'm trying to go to @RutgersU
