,created_at,full_text
0,Mon Oct 26 18:01:27 +0000 2020,"@IntMedAbel @bnfinck @WUSTL @SLU_Official @KingsCollegeLon @nature @NatureNews @NatMetabolism Whole heartedly agree that it was a pleasure to coordinate the publication of these independent findings with you both. As you pointed out, very affirming to have the instantaneous replication and confirmation of our findings!"
1,Mon Oct 26 16:30:49 +0000 2020,"@SLU_Billikens @SLU_Official @Dierbergs @CookiedoughSTL Alt: ""We Are #OneDough"""
2,Mon Oct 26 16:27:58 +0000 2020,"@SLU_Billikens @SLU_Official @Dierbergs @CookiedoughSTL Blueberry Biandi sounds like an actual dessert, so"
3,Mon Oct 26 16:20:57 +0000 2020,@SLU_Billikens @SLU_Official @Dierbergs @CookiedoughSTL Tears from student debt after attending SLU
4,Sun Oct 25 20:49:05 +0000 2020,"@JGB_Burken @StanfordEng @SIUE_SoEngr @WUSTL @MissouriSandT @Mizzou @SLU_Official @SIUC I always remember the Mid American Environmental Engineering Conference dearly (an amazing way to network and share fascinating research), what a great tradition!"
5,Sun Oct 25 07:10:01 +0000 2020,RT @GMLittlePeasant: What a crazy day! Huge Congratulations to @irinakrush for winning the U.S. Women's Championship and to @SLU_Official's…
6,Sun Oct 25 03:34:07 +0000 2020,What a crazy day! Huge Congratulations to @irinakrush for winning the U.S. Women's Championship and to @SLU_Official's own @DorsaDchess for an unbelievable third place performance!
7,Sun Oct 25 01:12:20 +0000 2020,"@donowx Degreed meteorologist (@SLU_Official), currently working as a web producer/reporter: @stilwellwhnt"
8,Sat Oct 24 22:32:28 +0000 2020,"@JGB_Burken @SandT_CArE @sandtcec @MissouriSandT @SIUC @SIUE @WUSTL @Mizzou @SLU_Official Really interesting work, Rahel. Keep up the good work."
9,Sat Oct 24 19:55:52 +0000 2020,@JGB_Burken @StanfordEng @SIUE_SoEngr @WUSTL @MissouriSandT @Mizzou @SLU_Official @SIUC Enjoyed the talk. Thanks for making it happen.
10,Sat Oct 24 02:53:35 +0000 2020,@evhemphill @tcbagwell @STLonAir @SLU_Official Thanks for the clarification and I look forward to Monday's broadcast. Also thanks to your station for providing a forum to discuss the subject.
11,Sat Oct 24 00:30:55 +0000 2020,"@ilanarosman @WashUIMRes @RashDecisionz @WashUDerm @WUDeptMedicine @SLU_Official Thanks for amplifying Dr. Rosman!

I’m sure @RashDecisionz won’t disappoint and will include plenty of #dermpath"
12,Sat Oct 24 00:11:16 +0000 2020,"@medfraud_pmh @tcbagwell @STLonAir @SLU_Official Our host Sarah Fenske will actually be interviewing Tim and our other guest, but yep!"
13,Fri Oct 23 22:48:56 +0000 2020,"@LydaKrewson @CityofSTLDOH Hope you &amp; Dr. Echols can discuss how to implement new @CDCgov guidance on contact tracing (ie shift from 15-mins consecutive to cumulative).

Also, has @CityofSTLDOH told local orgs (eg @SLU_Official) that interactions are a “close contact” only if both people are unmasked?

1/"
14,Fri Oct 23 21:50:38 +0000 2020,RT @JBTips: Dr. Keon Gilbert from @SLU_Official providing great presentation on Black men's health as part of #HealthEquity panel @ACLifeMe…
15,Fri Oct 23 21:37:57 +0000 2020,Dr. Keon Gilbert from @SLU_Official providing great presentation on Black men's health as part of #HealthEquity panel @ACLifeMed #LM2020 #healthrestored
16,Fri Oct 23 20:40:46 +0000 2020,"@TimothyWiemken Thanks for your time today, and look forward to connecting in-person again one day. Great potential for us to work together at the intersection of @SLU_Official’s AHeaD Institute and @WashUi2 @WUSTLpubhealth"
17,Fri Oct 23 13:23:18 +0000 2020,@yasar_caliskan @ASNKidney @slunephrons @SLU_Official @KristaLentine @ousephr @drhyazici @smirioglu @eroldemir83 Awesome! Any way you can share the Genetic Studies of NS poster?
