,created_at,full_text
0,Mon Oct 26 12:36:59 +0000 2020,@JamesTaborJr1 @SamHoustonState We can help you fix that pass pro
1,Sun Oct 25 05:25:57 +0000 2020,@mireyalozaphd Just finished a book analysis essay of Defiant Braceros for my Mexican American History class @SamHoustonState What an excellent look at a program I knew very little about. Thank you for your research and writing.
2,Sat Oct 24 18:54:01 +0000 2020,@SamHoustonState @SHSUPresWhite I dropped Sam because @danaghoyt left too 😤
3,Sat Oct 24 14:57:35 +0000 2020,@SamHoustonState @SHSUPresWhite Uphill both ways was my thought on my first day of work on campus.
4,Sat Oct 24 05:06:09 +0000 2020,@SamHoustonState if Sam decides to no longer have a spring break my suicide may or may not be their fault 🙈❤️
5,Sat Oct 24 01:58:14 +0000 2020,"@SamHoustonState @SHSUPresWhite Parking at Bowers is a Joke
People walk over a mile to enter the stadium and there many closer parking areas that are unavailable"
6,Fri Oct 23 22:40:20 +0000 2020,@TylerLegacyAVID @jb_scott745 @SamHoustonState @UNTsocial @SFASU @tylerisdAVID @TLRedRaiders @jsmiley1984 So proud of him!
7,Fri Oct 23 21:05:20 +0000 2020,"@KAGS_Lucas @SamHoustonState Smelt like practice, looked like practice lol"
8,Fri Oct 23 21:04:46 +0000 2020,@SamHoustonState I see you @ZachNutall2 👀👀👀
9,Fri Oct 23 20:39:26 +0000 2020,RT @Ken_Holland: @SamHoustonState Congratulations @ZachNutall2!! Now let’s add a ring to that crown!
10,Fri Oct 23 20:21:50 +0000 2020,@SamHoustonState Congratulations @ZachNutall2!! Now let’s add a ring to that crown!
11,Fri Oct 23 20:08:49 +0000 2020,@SamHoustonState Love the mask President White!
12,Fri Oct 23 20:07:55 +0000 2020,@SamHoustonState Looking good in the @SHSUAlumniAssoc mask!
13,Fri Oct 23 18:48:21 +0000 2020,"RT @SHSUImage: Thanks to the grant awarded from Powell Foundation to support STEAM education in Walker County, TX. The project will benefit…"
14,Fri Oct 23 18:09:23 +0000 2020,@SamHoustonState @SHSURecSports Don't forget if you are walking your steps for the Elevate challenge you can log those activity minutes for the Rec Movement Challenge too!
15,Fri Oct 23 16:21:20 +0000 2020,@SamHoustonState why did you take away the licensing from #sanjosejewelers? My college ring is from their company and my daughter was looking forward to ordering her ring from them this Christmas break.
16,Fri Oct 23 15:15:46 +0000 2020,@SHSU_CHSS @SamHoustonState @SHSUPresWhite Get those steps in! #shsu #2020recreationmovement
17,Fri Oct 23 15:13:49 +0000 2020,@SamHoustonState @SHSUPresWhite Seems far away but #SHSU is such a pretty view from Bowers. *BONUS* those steps can be logged for the 2020 Recreational Challenge! @SHSURecSports
18,Fri Oct 23 15:13:42 +0000 2020,"Thanks to the grant awarded from Powell Foundation to support STEAM education in Walker County, TX. The project will benefit 300 Huntsville school students during the year 2021-2022. The events will take place at SHSU Natural Collections Museum @SamHoustonState  @shsucoset"
19,Fri Oct 23 15:12:11 +0000 2020,"@SamHoustonState @SHSURecSports #EatEmUpKats, keep the momentum going!"
20,Fri Oct 23 13:22:04 +0000 2020,@SamHoustonState @SHSUPresWhite Have an awesome day Jennifer! #EatEmUpKats
21,Fri Oct 23 01:30:07 +0000 2020,@unescochairpsu @SamHoustonState @UPColorado @penn_state @agsciences Looking forward to this!!
22,Thu Oct 22 23:58:48 +0000 2020,@TylerLegacyAVID @jb_scott745 @SamHoustonState @UNTsocial @SFASU @tylerisdAVID @TLRedRaiders @jsmiley1984 Woo hoo! Awesome!!
23,Thu Oct 22 14:40:16 +0000 2020,@autuminempire @SamHoustonState Welcome!!❤️#EatEmUpKats
24,Thu Oct 22 02:56:13 +0000 2020,@SamHoustonState Awesome job Jeremiah. #EatEmUpKats
