,created_at,full_text
0,Mon Oct 26 18:02:12 +0000 2020,@BenHigginsSD Wouldn't be cool if @jdwicker could get @sdsu into another conference. Anything is better than the @MountainWest
1,Mon Oct 26 16:58:48 +0000 2020,"@DocFroehlich @SDSU @AnaKSpalding @Tessa_M_Hill That sounds super relevant, I'm just going to DM you about this:) Thanks for connecting!!"
2,Mon Oct 26 16:26:45 +0000 2020,"@TJRice @AztecStadium @GoAztecs @SDSU @SDSU_MV @SDSportsAssn @SDChamber @sdsualumni @gensler_design @ClarkBuilds THANK YOU, MRS. BASHOR!!!"
3,Mon Oct 26 14:09:43 +0000 2020,"@nameeverynumber @NSF @SDSU Also if you like art, you could check out some math educators who work at the intersection of these areas. Brooke Ernest at @csuci does neat stuff, for example."
4,Mon Oct 26 14:07:11 +0000 2020,"@nameeverynumber If your univ. offers supplemental instruction, this could be neat experience. I was a math major who got real interested in how humans think while a math SI leader. Also look into @NSF  summer REUs that might have math ed focus. I did one @SDSU. Happy to DM to hear your thoughts!"
5,Mon Oct 26 04:19:15 +0000 2020,@Com_Truz @clmazin @SDSU Perhaps their ancestors went “native” in Mexico and named you Chapultepec
6,Mon Oct 26 00:54:11 +0000 2020,@bridogz @clmazin @SDSU Nope. College Ave or Montezuma Blvd
7,Mon Oct 26 00:53:16 +0000 2020,@Com_Truz @clmazin @SDSU Nicknames maybe? Abbreviated form?
8,Mon Oct 26 00:47:47 +0000 2020,@clmazin Doesn’t work for me @SDSU names their dorms after Aztec cities.
9,Sun Oct 25 23:13:05 +0000 2020,We're also happy to welcome Kyle and Zhipeng from California - Kyle did his undergrad with Diane Smith @SDSU and Zhipeng is coming to us from the Sepunaru Group @UCSB_chemistry.
10,Sun Oct 25 19:46:01 +0000 2020,@DonDeMarsPhoto @SDSU @SDSUCheer Congratulations.  Go Aztecs!
11,Sun Oct 25 19:44:35 +0000 2020,@DonDeMarsPhoto @SDSU @SDSUCheer Great shots
12,Sun Oct 25 16:23:57 +0000 2020,@SDSU When will compact for success start talking to 7th grade students about the program?
13,Sun Oct 25 16:21:56 +0000 2020,@SDSU @SDSUwellbeing When will compact for success talk to 7th graders about college? &amp; the program my daughter is in 7 th grade.
14,Sun Oct 25 15:11:19 +0000 2020,@kpbswatch @aborunda @KUSINews @SDSU This is just a ridiculous tweet!
15,Sun Oct 25 14:53:49 +0000 2020,@PPRPapaPig @NFL @marshallfaulk @KUSIPPR @burt_grossman @SDSU @AztecFB @Colts @rams @ProFootballHOF Do u talk about why he got fired from nfl network
16,Sun Oct 25 06:52:58 +0000 2020,There’s no covid party at 5059 Alumni Pl. @SDSU
17,Sun Oct 25 04:24:39 +0000 2020,Where did they find these @MountainWest refs???? That @SDSU review was ridiculous!!!
18,Sun Oct 25 03:54:39 +0000 2020,@CBSSports @CBSSportsNet who are the ppl in all black sitting in the end zone @SDSU @AztecFB game??
19,Sun Oct 25 03:37:05 +0000 2020,@SDSU @AztecFB : Will a @MLS expansion team play in the new Aztec Stadium?
20,Sun Oct 25 03:15:57 +0000 2020,I did a double take because the @GoBearcatsFB unis look like the @SDSU football unis
21,Sun Oct 25 01:27:36 +0000 2020,@KUSINews @SDSU But if they get it and get tested...it will close us down
22,Sat Oct 24 21:13:55 +0000 2020,@JonE_Boltpride @SDSU @Aztec_football @fox5sandiego @KUSI_GMSD @thekeptfaith @SDCA_Equipment @LisaRemillard @sdutKevinAcee @ScottKaplan @XTRA1360 @DerekNBCSD Always happy to see my artwork get lots of love.
23,Sat Oct 24 19:54:24 +0000 2020,@Aztec4Life13 Tenochca Douglas. It doesn’t really work for @SDSU graduates.
24,Sat Oct 24 19:20:46 +0000 2020,@krieck_josh @SDSU Awesome. Hobo day was cancelled so you are not missing much
