,created_at,full_text
0,Mon Oct 26 03:47:55 +0000 2020,RT @hillduhski: @LMplusG @LoganLevkoff @SFSU SFSU hates jews- my mom is an alumni- so many ppl wrote to them - they couldn’t care less- it’…
1,Mon Oct 26 02:20:08 +0000 2020,@hillduhski @LoganLevkoff @SFSU That is just awful.
2,Sun Oct 25 17:08:09 +0000 2020,RT @LoganLevkoff: @LMplusG @SFSU Yes. SFSU is hosting a speaker who was involved in the hijacking of TWA Flight 840 in August 1969 and part…
3,Sun Oct 25 17:08:05 +0000 2020,@LoganLevkoff @SFSU OH MY GOD!  Thank you for that…
4,Sun Oct 25 16:53:46 +0000 2020,RT @LoganLevkoff: @LMplusG @SFSU Yes. SFSU is hosting a speaker who was involved in the hijacking of TWA Flight 840 in August 1969 and part…
5,Sun Oct 25 16:52:08 +0000 2020,@LMplusG @SFSU Zoom refused to host the event and YouTube took down the discussion saying it violated their ethics. But apparently people (including) the SFSU counseling department is angry about this.
6,Sun Oct 25 16:50:19 +0000 2020,@LMplusG @LoganLevkoff @SFSU SFSU hates jews- my mom is an alumni- so many ppl wrote to them - they couldn’t care less- it’s atrocious
7,Sun Oct 25 16:48:27 +0000 2020,@LMplusG @SFSU Yes. SFSU is hosting a speaker who was involved in the hijacking of TWA Flight 840 in August 1969 and participated in the attempted hijacking of an El Al flight from Amsterdam to New York City in 1970 as part of a series of simultaneous hijackings carried out by the PFLP.
8,Sun Oct 25 16:43:03 +0000 2020,"@davidssilverman @SFSU Shameful is an understatement. But yes, you are so right."
9,Sun Oct 25 16:40:10 +0000 2020,@LoganLevkoff @SFSU Can you give us the background on this?
10,Sun Oct 25 16:40:01 +0000 2020,"@LoganLevkoff @SFSU I've  been following campus discrimination against Jews and pro-Israel voices for at least 20 years. SFSU has always been high on the list of these campuses.

It's completely shameful, obviously antisemitic, and a full on intellectual surrender to one side of a complex issue."
11,Sun Oct 25 14:34:51 +0000 2020,"@sfBUILD @UCSF @SFSU @ucsfcvp To do more for the profession of medicine in California join the California Medical Association, the largest state and medical association in the United States with greater than 50,000 members."
12,Sun Oct 25 05:53:17 +0000 2020,@ZealouslyQuoted Is this the new professor for peace and inclusion at @SFSU?
13,Sat Oct 24 22:07:48 +0000 2020,"@pal_legal @SFSU @uhmanoa @nyuniversity @zoom_us Please provide actual documentation. What event was scheduled in each location? Who invited whom, how did Zoom announce the cancellation, why didn't organizers switch to another platform? There's no information in the story, no way to research further."
14,Sat Oct 24 18:27:04 +0000 2020,@shru777 @pal_legal @4noura @SFSU @uhmanoa @nyuniversity @zoom_us At least I am not coward hiding my picture...
15,Sat Oct 24 16:44:19 +0000 2020,"RT @linked_learning: ""There's a lot of amazing staff and faculty that poured into me while I was there. They made me feel like my voice had…"
16,Sat Oct 24 16:17:10 +0000 2020,"@nujaidyy @pal_legal @4noura @SFSU @uhmanoa @nyuniversity @zoom_us you looked too much in the mirror, sorry for you."
17,Sat Oct 24 16:13:26 +0000 2020,"@cocoroc83197272 @pal_legal @4noura @SFSU @uhmanoa @nyuniversity @zoom_us there is no coexistence possible with apartheid, fool."
18,Sat Oct 24 16:06:22 +0000 2020,"@shru777 @pal_legal @4noura @SFSU @uhmanoa @nyuniversity @zoom_us The world knows who the creminals are, the one with highesr atrocities on record and UN condemnation, even if you wear suite and tie and pretend to be civilized, the child killers, jailers, land and water  thieves, oppressor and occupier.

you are even not true semitic jews..."
19,Sat Oct 24 15:59:31 +0000 2020,"@pal_legal @SFSU @uhmanoa @nyuniversity @zoom_us So these Zoom I/O errors over Palestine spell it out...

ZIOOM"
20,Sat Oct 24 15:20:25 +0000 2020,"@nujaidyy @pal_legal @4noura @SFSU @uhmanoa @nyuniversity @zoom_us the  pseudo ""Palestinians"", actually invaders from Egypt Trans-Jordan, Syria are the robbers, terrorists, colonial foreign  invaders, and with diplom. every time that you go through security check in the airport remember who caused it, the criminal palestinian terrorists"
21,Sat Oct 24 14:46:16 +0000 2020,"@pal_legal @4noura @SFSU @uhmanoa @nyuniversity @zoom_us Peace is spreading through the Middle East. It’s time for the Palestinians to get on board, to give up on their effort to destroy Israel, and to pursue peaceful coexistence."
22,Sat Oct 24 13:28:27 +0000 2020,@pal_legal @Mondoweiss @SFSU @uhmanoa @nyuniversity @zoom_us Why are you still using Zoom? So many much better alternatives out there.
23,Sat Oct 24 13:08:12 +0000 2020,@shru777 @pal_legal @4noura @SFSU @uhmanoa @nyuniversity @zoom_us you are literally describing the zionist occupier and oppressor state...as there is no country called Israel.
