,created_at,full_text
0,Mon Oct 26 17:39:57 +0000 2020,@JeffGarciaJGFA @NFL @49ers @Eagles @Buccaneers @calstampeders @SJSUAthletics @SJSU @Browns @Lions @Raiders Following.
1,Mon Oct 26 17:33:39 +0000 2020,@Truth_CALI323 @JeffGarciaJGFA @NFL @49ers @Eagles @Buccaneers @calstampeders @SJSUAthletics @SJSU @Browns @Lions @Raiders Serious question Steven. You think someone who’s righteous makes a comment like this?
2,Mon Oct 26 16:30:36 +0000 2020,@LAuerhahn @SJSU @DoloresHuertaFD I hope when people see this they don’t time stamp that struggle
3,Mon Oct 26 15:24:07 +0000 2020,"@JeffGarciaJGFA @NFL @49ers @Eagles @Buccaneers @calstampeders @SJSUAthletics @SJSU @Browns @Lions @Raiders ""follow me for all my racial rants and more!"""
4,Sun Oct 25 19:00:16 +0000 2020,@stefaniefrith @ECCUnion @SJSU Thank you Stefanie!
5,Sun Oct 25 18:43:29 +0000 2020,"@ECC_Christian @ECCUnion @SJSU So proud of you, @ECC_Christian! I remember watching the analytics on your video and being so excited for you. Now you have an award to go along with all those shares and retweets! :) Congratulations!"
6,Sun Oct 25 16:18:10 +0000 2020,"@JeffGarciaJGFA @NFL @49ers @Eagles @Buccaneers @calstampeders @SJSUAthletics @SJSU @Browns @Lions @Raiders Done! Welcome back to Instagram, JG 😊! #GONINERS 💪👏✨"
7,Sun Oct 25 16:13:17 +0000 2020,@RealCoachCarter @PrezPapazian @SjsuTuite @SJSUAthletics @SJSU Congrats coach
8,Sun Oct 25 14:29:55 +0000 2020,@MarcosBreton @SJSU Damn... you missed that crazy ending.... spartan game was pretty sick though.... that goal line defense.... woo
9,Sun Oct 25 07:12:55 +0000 2020,@MarcosBreton @SJSU @SJSUalumni @lawrencefansjsu 1-0 to start the season. I’ll take it. #SpartanUp
10,Sun Oct 25 06:31:13 +0000 2020,".@KSBW When the local news station—located less than an hour from the @SJSU campus—doesn’t even bother to mention that @SanJoseStateFB played a game—at home, no less—but mentions every game East of the Mississippi."
11,Sun Oct 25 05:43:07 +0000 2020,@clark_wick @SJSU This is from 2 years ago. What is this?  The current AQI is 38 and classes are remote.
12,Sun Oct 25 03:45:07 +0000 2020,Loving the @SJSU band right as the jam @ladygaga New Romance
13,Sun Oct 25 01:59:59 +0000 2020,"@MLMLmarinesci @VDelCasino @SJSU Aw man, I’d LOVE to do that kind of trip and hear about the research at Moss Landing!"
14,Sun Oct 25 01:51:58 +0000 2020,I’m gonna watch the #WorldSeries for 40 minutes &amp; then I’m switching to @SJSU football 🏈
15,Sat Oct 24 23:38:45 +0000 2020,Who is watching the Spartans tonight?  Me!!!! @SanJoseStateFB @SJSUalumni @SJSU
16,Fri Oct 23 19:11:50 +0000 2020,@VDelCasino @SJSU We are so glad you enjoyed your trip to MLML! That beautiful view from our deck never gets old.
17,Fri Oct 23 18:07:25 +0000 2020,@AshleyCheung15 @BLoveSoulPower @SJSU @calstate Thanks for sharing! 🙌🙌
18,Fri Oct 23 17:37:02 +0000 2020,RT @JohnTrasvina: Great to talk #civic #activism &amp; #voter participation w/ @SJSUAthletics. Thank you @RISEtoWIN @JerrellPrice @IamSTANBACK…
19,Fri Oct 23 13:14:02 +0000 2020,"RT @DustinMulvaney: “Without pressure from customers and investors, the solar market's ties to Xinjiang have been overlooked or ignored by…"
20,Fri Oct 23 13:06:00 +0000 2020,"RT @DustinMulvaney: “Without pressure from customers and investors, the solar market's ties to Xinjiang have been overlooked or ignored by…"
21,Fri Oct 23 10:02:53 +0000 2020,RT @JohnTrasvina: Great to talk #civic #activism &amp; #voter participation w/ @SJSUAthletics. Thank you @RISEtoWIN @JerrellPrice @IamSTANBACK…
22,Fri Oct 23 05:24:40 +0000 2020,@SJSU @SanJoseStateFB This game is a go for Saturday right? I saw some place it's off cause of security reasons......
23,Fri Oct 23 02:33:14 +0000 2020,@CNBC The world doesn't have the energy for more economic calamities. ☀️☀️☀️ @MemPeaceJustice  @SavetheChildren  @savechildrenuk  @save_children  @WorldBankWater  @MSFTSmartCities  @nodoubt  @GlblCtzn  @Adapt_Community @DellFdn  @SJSU  @NBCNews @tim_cook @oraclepartners @Wharton @TIME
24,Fri Oct 23 01:23:44 +0000 2020,RT @JohnTrasvina: Great to talk #civic #activism &amp; #voter participation w/ @SJSUAthletics. Thank you @RISEtoWIN @JerrellPrice @IamSTANBACK…
25,Fri Oct 23 01:09:22 +0000 2020,RT @JohnTrasvina: Great to talk #civic #activism &amp; #voter participation w/ @SJSUAthletics. Thank you @RISEtoWIN @JerrellPrice @IamSTANBACK…
26,Fri Oct 23 00:35:41 +0000 2020,Great to talk #civic #activism &amp; #voter participation w/ @SJSUAthletics. Thank you @RISEtoWIN @JerrellPrice @IamSTANBACK for #Leadership &amp; #Guidance of the outstanding young men &amp; women of @SJSU. @gencitizen is your partner. @JPadillaCA   #Vote @siliconvalleycf @timkawakami
27,Thu Oct 22 23:45:39 +0000 2020,@sjsulibrary @discoversjsu @SJSU Learning about the great women of the Women’s Suffrage movement with my 14 year-old daughter
28,Thu Oct 22 21:14:29 +0000 2020,@markkatches @hulu Can you watch @SJSU football 🏈 where you are?
29,Thu Oct 22 16:17:55 +0000 2020,"@DrRachaelF @docfreeride @SJSU That’s really great! Just a tip tho, just say pronouns rather than preferred pronouns! It’s not a preference, it’s just the person’s pronouns!"
30,Thu Oct 22 16:13:03 +0000 2020,"RT @DrRachaelF: @SJSU just gave students the ability to indicate their preferred pronouns in the online system, which will autopopulate to…"
31,Thu Oct 22 16:10:23 +0000 2020,"@SJSU just gave students the ability to indicate their preferred pronouns in the online system, which will autopopulate to our class rosters, AND told us that they expect us to use the preferred pronouns.

Way to go, @SJSU."
32,Thu Oct 22 05:15:18 +0000 2020,"Day 295/Day 221 of #SelfIsolation/12 days til Election Day: 60 minutes of yoga, participated as a mentor for an event for my alma mater @SJSU, made a tasty roasted carrot with tahini dressing over brown rice dish. #whatveganseat #notresolutionsjusthabits"
33,Thu Oct 22 03:35:12 +0000 2020,I looked forward to watching @antoni guest speak for @SJSU all semester! It was wonderful 🥺🥺❤️ super sweet guy
34,Thu Oct 22 02:30:18 +0000 2020,@LifeAtNetApp @BeBraven @SJSU Highly recommended! It’s very well organized and it’s for diverse college students getting ready to get into the high tech workforce.
35,Thu Oct 22 00:30:00 +0000 2020,"@business Sovereignty is so important. 🎯🎯🎯 @TheUniverse_TM  @CFR_org  @nywolforg  @OracleConnect  @elonmusk  @Benioff  @Tesla  @SJSU  @sherylsandberg  @satyanadella  @BradSmi @MSFTQuantum  @Oracle  @oraclepartners @Nasdaq  @PGelsinger @Pontifex @Dell @Oracle  

#CollaborativeSovereignty"
36,Wed Oct 21 18:02:29 +0000 2020,"@ConnorPelton28 @SJSU Most creative is subjective, but thank you. Go Spartans!!!"
37,Wed Oct 21 15:27:36 +0000 2020,"RT @DustinMulvaney: “Without pressure from customers and investors, the solar market's ties to Xinjiang have been overlooked or ignored by…"
38,Wed Oct 21 15:21:48 +0000 2020,@SJSU @calstate Photo by the North Coast Journal
39,Wed Oct 21 15:13:28 +0000 2020,"@JeffGarciaJGFA @NFL @49ers @Eagles @Buccaneers @calstampeders @SJSUAthletics @SJSU @Browns @Lions @Raiders You are one my fav players of all time. You were a GAMER!  I don't know how many drives you kept alive by scrambling, but it was a lot.  You had what Joe and Steve had before you....HEART! How badly did you get hurt in the Chicago game that went sideways?  It seemed bad. Thanks!"
40,Wed Oct 21 14:42:06 +0000 2020,@TheHillOpinion @SJSU How about we ban riot instead.
41,Wed Oct 21 14:34:47 +0000 2020,"“Without pressure from customers and investors, the solar market's ties to Xinjiang have been overlooked or ignored by an industry that is laser-focused on cutting costs, said Dustin Mulvaney, *an assistant* [sic] professor @SJSU who teaches courses on energy and sustainability.”"
42,Wed Oct 21 02:23:47 +0000 2020,"@mm_boer @SJSU Arbuckle further points out that the school arrived a year before its building was ready, forcing it to occupy temporary quarters. But it still held its first graduation in San Jose in the spring of 1872. History is fun!"
43,Wed Oct 21 02:18:09 +0000 2020,"@spizarro @SJSU “The school eventually moved to San Jose in 1871, and was given Washington Square Park at Fourth and San Carlos Streets, where the campus remains to this day.”"
44,Wed Oct 21 00:11:09 +0000 2020,@JeffGarciaJGFA @NFL @49ers @Eagles @Buccaneers @calstampeders @SJSUAthletics @SJSU @Browns @Lions @Raiders Just followed you sir! Yeeeee 🤙🤙🙌
45,Tue Oct 20 23:48:16 +0000 2020,@SJSU Lovely photos. Don't see why a disclaimer was needed.
46,Tue Oct 20 23:44:19 +0000 2020,RT @SJSU: ***Disclaimer: The photo of Tower Hall was taken prior to the COVID-19 pandemic.
47,Tue Oct 20 23:44:16 +0000 2020,"@bquinnterest @SJSU @Juliahj Thanks, Bridget! 💖"
48,Tue Oct 20 23:44:00 +0000 2020,"@gary_singh @SJSU @Juliahj Thanks, Gary!"
49,Tue Oct 20 23:43:19 +0000 2020,"@xandramc @SJSU @Juliahj Thanks, Xandra!!!"
50,Tue Oct 20 23:43:00 +0000 2020,@SJSU @Juliahj Thank you so much!
51,Tue Oct 20 23:42:44 +0000 2020,"@juliascribe @SJSU @Juliahj Thanks, Julia! 😘💖"
52,Tue Oct 20 23:42:25 +0000 2020,@NatalieLima09 @SJSU @Juliahj Thank you!
53,Tue Oct 20 23:41:27 +0000 2020,***Disclaimer: The photo of Tower Hall was taken prior to the COVID-19 pandemic.
54,Tue Oct 20 23:41:19 +0000 2020,@MaureenLangloss @GraceLP @SJSU @Juliahj Thank you!!!
55,Tue Oct 20 23:40:58 +0000 2020,"@HerWildAmSelf @SJSU @Juliahj Thanks , Evelina! 💖"
56,Tue Oct 20 22:50:21 +0000 2020,@spizarro @SJSU That’s like celebrating your 50th year - while technically correct - when you’re 49...
57,Tue Oct 20 22:49:34 +0000 2020,@spizarro @SJSU Didn’t they move in 1871?!
58,Tue Oct 20 22:19:42 +0000 2020,@yalitzawrites @SJSU @Juliahj So excited to see this!
59,Tue Oct 20 22:02:44 +0000 2020,RT @mslaplantenews: .@SJSU VP of Student Affairs Patrick Day says student taking classes on-campus should regularly be tested for COVID-19.…
60,Tue Oct 20 22:02:32 +0000 2020,.@SJSU VP of Student Affairs Patrick Day says student taking classes on-campus should regularly be tested for COVID-19. But university has no testing sites on campus.
61,Tue Oct 20 21:50:09 +0000 2020,@JeffGarciaJGFA @NFL @49ers @Eagles @Buccaneers @calstampeders @SJSUAthletics @SJSU @Browns @Lions @Raiders Go stamps go! As we have always said Jeff...you are a Canadian!
62,Tue Oct 20 21:47:35 +0000 2020,@JeffGarciaJGFA @NFL @49ers @Eagles @Buccaneers @calstampeders @SJSUAthletics @SJSU @Browns @Lions @Raiders I’m looking for the clip where you almost got in a fight w/ the guy from Punk’d because he said you weren’t 6’0” tall.
63,Tue Oct 20 21:43:16 +0000 2020,"@JeffGarciaJGFA @NFL @49ers @Eagles @Buccaneers @calstampeders @SJSUAthletics @SJSU @Browns @Lions @Raiders I’ll follow you if I get a follow back, Mr. Quirky throwing motion lol."
64,Tue Oct 20 21:41:35 +0000 2020,"According to the university budget, @SJSU has designated $69 million as pandemic response reserves for the next two school years."
65,Tue Oct 20 21:40:03 +0000 2020,Faas said @SJSU will use 60% of designated reserves to cover for the deficit.
66,Tue Oct 20 21:31:47 +0000 2020,"Since March, @SJSU has had 51 cases on and off campus housing, according to the university’s medical director."
67,Tue Oct 20 21:06:32 +0000 2020,"@SanJoseStateFB @RealCoachCarter @SJSUAthletics @sanjosestateBF @MountainWest @SJSU @SJSU_SAF @CoachBrennan Coach Zo, I got you a commit, check your DM"
68,Tue Oct 20 19:24:47 +0000 2020,@yalitzawrites @GraceLP @SJSU @Juliahj Congratulations!!!
69,Tue Oct 20 18:18:08 +0000 2020,@yalitzawrites @SJSU @Juliahj This makes my happy!
70,Tue Oct 20 17:45:53 +0000 2020,@yalitzawrites @SJSU @Juliahj Hooray!
71,Tue Oct 20 17:41:14 +0000 2020,@yalitzawrites @SJSU @Juliahj Woo hoo!!
