,created_at,full_text
0,Sat Oct 24 18:21:22 +0000 2020,"I just heard that Santa Clara University didn’t let freshmen defer because of the coronavirus.

All I can say is that they better not except a single dollar from them when it comes time to ask for alumni donations.

@SantaClaraUniv"
1,Sat Oct 24 04:15:45 +0000 2020,@ProfSBradley @Pontifex @SantaClaraUniv @ConversationUS Thanks. Working on my sound bites!
2,Sat Oct 24 01:19:42 +0000 2020,"@AdmiSadakKa I enjoy riling them up without using four letter words (something they do.)

Remember the despicable Rohit Chopra of @SantaClaraUniv ? He hated being called a math failure, so much so that his rants were deleted by Twitter weeks before he got suspended permanently.

Good times."
3,Sat Oct 24 00:28:15 +0000 2020,@JulieHRubio @Pontifex @SantaClaraUniv @ConversationUS Good one!
4,Sat Oct 24 00:01:58 +0000 2020,"@TayeDiggs @MikeEspyMS He’s a @SantaClaraUniv Bronco, of course he’s awesome! #GoBroncos"
5,Fri Oct 23 22:27:56 +0000 2020,@KTVU @GavinNewsom Come visit our alma mater @SantaClaraUniv
6,Tue Oct 20 20:59:35 +0000 2020,"@AndrewYang Dear @SantaClaraUniv @Yale I see the classic arena. #TeddyRoosevelt #RichardMNixon Man v. Woman in the Arena. @ESPN #HowardCosell: No one knew who would win that fight, Liston v. [Clay]."
7,Tue Oct 20 17:53:54 +0000 2020,"Laura Ellingson @SantaClaraUniv points out that slower-pace decision-making afforded in virtual environment may be helpful for patients who have different needs for processing information, such as those who are more introverted."
8,Mon Oct 19 18:17:30 +0000 2020,"@morethanjustus @SantaClaraUniv @CarmelElkin @scuevents @Hansen911John @SCUVocalicious @Artsalot @scualumni @SCUYoungAlumni @KarenDSouza4 Unfortunately there is not, but we have more performances coming up this Fall will be presented virtually!"
9,Mon Oct 19 14:33:19 +0000 2020,RT @SCUEnviro: We're looking for instructors to teach a course in ENVIRONMENTAL LAW and a course in ENVIRONMENTAL JUSTICE for @SantaClaraUn…
10,Mon Oct 19 13:49:42 +0000 2020,"We're looking for instructors to teach a course in ENVIRONMENTAL LAW and a course in ENVIRONMENTAL JUSTICE for @SantaClaraUniv in Winter quarter.

Please retweet! DMs welcome to ask about the position or suggest candidates/ways to promote.

#environmentaljustice #lawjobs"
11,Sun Oct 18 14:06:07 +0000 2020,"@MonicaEisenberg @Collie5491 @dnhappy96 @kevinobriensj @mos_daf @SantaClaraUniv They get it. Racists are not obtuse, they're willful."
12,Sun Oct 18 14:00:33 +0000 2020,"@IshtToytoy @WilliamELief @JustMeADude @dnhappy96 @kevinobriensj @mos_daf @SantaClaraUniv And/or ""you racists."""
13,Sun Oct 18 03:23:59 +0000 2020,@SCUPresents @SantaClaraUniv @CarmelElkin @scuevents @Hansen911John @SCUVocalicious @Artsalot @scualumni @SCUYoungAlumni @KarenDSouza4 Is there a digital edition of that performance?
14,Sat Oct 17 22:06:01 +0000 2020,"RT @SantaClaraUniv: Virtual Open House Week Day 5! Prospective students can take a Computer Science and Engineering mock class, participate…"
