,created_at,full_text
0,Mon Oct 26 15:16:36 +0000 2020,@smith_legibiles @smithcollege Could you clarify if submissions are open to undergrads at institutions other than @smithcollege ?
1,Sun Oct 25 22:44:37 +0000 2020,@susanstinson @emv52 @smithcollege @bsfarrington @DeliaCabe @tklowenstein @5Colleges @UnrealKyleDarcy @Jo_Comerford Same. Their veggie chili was ⭐️⭐️⭐️
2,Sun Oct 25 22:42:31 +0000 2020,"@MomalomJen @emv52 @smithcollege @bsfarrington @DeliaCabe @tklowenstein @5Colleges @UnrealKyleDarcy @Jo_Comerford He was fun to have in town. Miss Bart's, too."
3,Sun Oct 25 22:40:01 +0000 2020,@susanstinson @emv52 @smithcollege @bsfarrington @DeliaCabe @tklowenstein @5Colleges @UnrealKyleDarcy @Jo_Comerford I saw him order a super fancy schmancy coffee drink with  whipped cream at Bart’s and watched him slurp it up with immense focus
4,Sun Oct 25 22:29:02 +0000 2020,"@emv52 @smithcollege @bsfarrington @DeliaCabe @tklowenstein @5Colleges @UnrealKyleDarcy @Jo_Comerford I heard him give a reading at John M. Green Hall.  He made a joke about Isaac Asimov looking down on us from heaven, then said it had them rolling in the aisles when he said it at an atheists conference."
5,Sun Oct 25 19:48:56 +0000 2020,"@emv52 @smithcollege @susanstinson @DeliaCabe @tklowenstein @5Colleges @UnrealKyleDarcy @Jo_Comerford I have said this many times in the past, but never on Twitter, but Kurt Vonnegut was the most influential person in my life beside my parents."
6,Sun Oct 25 15:20:52 +0000 2020,"@smithcollege How sad, that once again a speaker at the empty school will host a speaker, Lynn Nottage, for only their students, staff (and ex) and @5Colleges whilst the Town-people who always supported with care the Smithies as they crossed against lights, etc. WHY? @EsherMama"
7,Sun Oct 25 00:35:29 +0000 2020,@Prof_Blansett @smithcollege @SmithPioneers Cat pics are the best pics.
8,Sun Oct 25 00:08:15 +0000 2020,@jisham @smithcollege @Middlebury We have to come visit!
9,Sun Oct 25 00:08:00 +0000 2020,@badChicken47 @smithcollege You know it!
10,Sat Oct 24 23:09:16 +0000 2020,"@kelly_j_baker @smithcollege @SmithPioneers Also, we text each other pix of the cats at least 2x a day between my home office and her room. We know way too much about the psychic lives and Zoom-visiting habits of our two kitties."
11,Sat Oct 24 23:07:25 +0000 2020,"@kelly_j_baker Having my @SmithCollege @SmithPioneers (swimmer) daughter back home has been nice! I know we both think that her being on campus would be great, but we’ve made the best of it with big weekend hikes and projects. It’s made the pandemic better-than-bearable for this single mom."
12,Sat Oct 24 23:04:24 +0000 2020,@MarkVinPaul @smithcollege Is that near the botanical garden?
13,Sat Oct 24 22:20:41 +0000 2020,"@MarkVinPaul @smithcollege As is @middlebury, for the record!"
14,Sat Oct 24 21:26:00 +0000 2020,Next week college reps from: @smithcollege @LMUAdmission @SLCadmit @BC_Admission @OxyAdmission @ObieAdmissions @stjadmissions Excited that these great schools will be meeting with our #VistamarVikings #goVikings #VistamarSchool #collegebound
15,Sat Oct 24 16:26:38 +0000 2020,@smithcollege @NPR Amazing Meg!
16,Sat Oct 24 16:22:12 +0000 2020,@JenniferNassour So social workers aren’t important enough to warrant the best education possible? What about teachers? Feel the same way? Our daughter is a sociology/English major @smithcollege and plans to apply to the masters program for social work. Couldn’t be prouder.
17,Sat Oct 24 15:54:59 +0000 2020,@smithcollege I love this!!
18,Sat Oct 24 09:33:04 +0000 2020,@bellemare_jesse Gushing over this array. Immediately looking for details on how to apply to @smithcollege
19,Fri Oct 23 17:34:16 +0000 2020,"@JenniferNassour I have a friend who does not come from $$$ who got an MSW from @smithcollege Kind of prestigious, no?"
20,Fri Oct 23 14:45:39 +0000 2020,@BlackJDPhD @Philip_W3 @PeraltaDesign @Ifesinachi_ @kdedner @Est96_SHLIM @smithcollege @UofMaryland Good uncle!
21,Fri Oct 23 14:40:28 +0000 2020,@Philip_W3 @PeraltaDesign @Ifesinachi_ @kdedner @Est96_SHLIM My two nieces--one who just graduated with her M.S.W. from @smithcollege and the other finishing her B.S. from @UofMaryland
22,Fri Oct 23 13:55:50 +0000 2020,"@lemurchild @smithcollege At the moment, my plan for 11/3 is to avoid all media while drinking myself into a coma."
23,Fri Oct 23 13:52:36 +0000 2020,@lynnemthomas @smithcollege Same. It's going to be a long haul. Maybe many screams over a period of days?
24,Fri Oct 23 13:52:04 +0000 2020,@smithcollege And if so does that mean Hopkinites have to streak our neighbors?
25,Fri Oct 23 13:50:51 +0000 2020,@lemurchild @smithcollege (Especially since I’ll be shocked if we have a full result less than 2-3 days later)
26,Fri Oct 23 13:50:20 +0000 2020,"@lemurchild @smithcollege That is more or less my assumption, either way."
27,Fri Oct 23 13:49:00 +0000 2020,So on election night eve are we going to have a country-wide @smithcollege-style Primal Scream or
28,Fri Oct 23 13:31:05 +0000 2020,@presmccartney @smithcollege @SmithPioneers I didn’t know Tammie Baldwin was a Smithie! I should have known. ❤️❤️
29,Thu Oct 22 17:54:06 +0000 2020,RT @susan_sayre: #EconTwitter #econjobmarket: Excited to announce that we have two open positions in the @SmithCollege economics department…
30,Thu Oct 22 17:19:54 +0000 2020,RT @susan_sayre: #EconTwitter #econjobmarket: Excited to announce that we have two open positions in the @SmithCollege economics department…
31,Thu Oct 22 16:56:45 +0000 2020,@susan_sayre @smithcollege I am interested to apply for the macroeconomic position
32,Thu Oct 22 03:55:09 +0000 2020,@presmccartney @smithcollege Gorgeous!
33,Thu Oct 22 00:17:15 +0000 2020,@7SistersAlumnae @TIME @smithcollege @BarnardCollege ::swoons::
34,Wed Oct 21 23:42:30 +0000 2020,@semazza @smithcollege Greg said you were heading there! Hope it was awesome!
35,Wed Oct 21 21:15:00 +0000 2020,"@presmccartney @smithcollege Absolutely lovely....missing fall colors, Smith College campus and my home state"
