,created_at,full_text
0,Mon Oct 26 15:17:56 +0000 2020,@KandisGilmore @Csueu3 @SSU_1961 The website's back up! @SSU_1961
1,Mon Oct 26 14:38:19 +0000 2020,"@SSUstaffcouncil @Csueu3 @SSU_1961 Thanks, my email is working too."
2,Mon Oct 26 14:34:00 +0000 2020,"@KandisGilmore @Csueu3 @SSU_1961 It's definitely down. I.T. knows. MySSU works, but not the wellness check."
3,Mon Oct 26 14:30:43 +0000 2020,@SSUstaffcouncil @Csueu3 @SSU_1961 Anyone else having trouble loading the SSU website or Covid wellness check?
4,Sat Oct 24 04:53:26 +0000 2020,@SonomaStateAH @SSU_1961 @nbcbayarea Thank you!
5,Fri Oct 23 21:06:28 +0000 2020,@WeAreGameheads @Britt8nyGD @SSU_1961 @OGpenn Congratulations @Britt8nyGD!!! 💓🎉
6,Fri Oct 23 19:41:33 +0000 2020,@WeAreGameheads @Britt8nyGD @SSU_1961 Congrats!!
7,Fri Oct 23 15:19:20 +0000 2020,@SSU_1961 The sign has been refurbished and looks much nicer now as well.
8,Fri Oct 23 13:11:58 +0000 2020,"""It is not about going to war dollar for dollar,"" @SSU_1961's David McCuan tells me, of the opposition. ""It's about being strategic on how to legally challenge and set the ground for what eventually will be a broader legal battle if the ballot passes."""
9,Tue Oct 20 02:26:20 +0000 2020,@SSU_1961 @ssulib Awesome webpage! Where did the images on the webpage come from?
10,Tue Oct 20 01:27:24 +0000 2020,"@SSU_1961 Awesome, thanks!"
11,Tue Oct 20 00:13:25 +0000 2020,@SSU_1961 Such great images. Do you know the source of the first one?
12,Mon Oct 19 22:43:15 +0000 2020,@ssuphilosophy @JPSullins @SSU_1961 Very much appreciated!
13,Mon Oct 19 20:48:15 +0000 2020,@Wolven @JPSullins @SSU_1961 Thank you so much! We’ll post the link when we have it!
14,Mon Oct 19 19:02:11 +0000 2020,This morning @JudySakaki led the inaugural President’s Commission on Teacher Education @SSU_1961 @educationSSU Thank you district leaders for joining us and offering productive feedback 👏🏻
