,created_at,full_text
0,Mon Oct 26 17:30:52 +0000 2020,@RobLonsinger @SDStateNRM @SDState @NatGeoExplorers @Mammalogists BOINGGGG!!!
1,Thu Oct 22 21:01:49 +0000 2020,@dakotanews_now @SDState Why would you not put that information in your news story?
2,Thu Oct 22 21:01:21 +0000 2020,@dakotanews_now @SDState What is the geographical breakdown of the people in the poll?
3,Wed Oct 21 19:53:25 +0000 2020,@MakenzieHuber @SDState @GoJacksSDSU She’s so gorgeous 😭😭Thanks for sharing with me
4,Wed Oct 21 14:20:54 +0000 2020,"@SharonVestal @SDState Thanks. I have just about gotten used to snowy spring, now it looks like I need to embrace snowy fall as well 😄"
5,Wed Oct 21 12:43:58 +0000 2020,"@SDSUExtWaterMan @SDState Wonderful pictures. The snow is beautiful, but I agree about it being too early for it."
6,Wed Oct 21 08:15:56 +0000 2020,@SDState Beautiful!
7,Wed Oct 21 05:32:09 +0000 2020,@SDState @growingaway Brooking’s Rocks!
8,Wed Oct 21 05:11:17 +0000 2020,@SDState @GoJacksSDSU @talbit look at that beautiful campanile
9,Wed Oct 21 05:02:29 +0000 2020,@eeyanmiller @benmeyerink @BachelorABC @SDState 💯 don’t start here!!!
10,Wed Oct 21 03:26:16 +0000 2020,@benmeyerink @BachelorABC @SDState Ben this is the worst season to start watching!!
11,Wed Oct 21 03:11:22 +0000 2020,@SDState What city?
12,Wed Oct 21 01:58:24 +0000 2020,@SDState Better wear a mask! I heard Covid jumps out from the snow!
13,Wed Oct 21 01:16:08 +0000 2020,"@benmeyerink @BachelorABC @SDState Dude, hunker down."
14,Wed Oct 21 01:11:15 +0000 2020,@benmeyerink @BachelorABC @SDState It’s just a human thing Ben. It’s called LOVE.
15,Wed Oct 21 01:02:55 +0000 2020,"@TrousdaleWh @BachelorABC @SDState Wait, you watch this show?! @tony53668 knows him even better. Maybe @BacheloretteABC is an Ortho thing? 😂"
16,Wed Oct 21 01:02:03 +0000 2020,@TrousdaleWh @BachelorABC @SDState Haha he was a freak athlete. Grew up in S.D.  Played both basketball and football at SDSU. Really nice.
17,Wed Oct 21 00:57:14 +0000 2020,"@benmeyerink @BachelorABC @SDState Wait, you know DALE?!?!"
18,Wed Oct 21 00:45:39 +0000 2020,"Since 2020 makes no sense, I’m watching @BachelorABC for the first time ever because I went to @SDState with Dale Moss. Life is weird...and I’m not sure how much of this I can sit through."
