,created_at,full_text
0,Sun Oct 25 20:49:05 +0000 2020,"@JGB_Burken @StanfordEng @SIUE_SoEngr @WUSTL @MissouriSandT @Mizzou @SLU_Official @SIUC I always remember the Mid American Environmental Engineering Conference dearly (an amazing way to network and share fascinating research), what a great tradition!"
1,Sun Oct 25 19:27:50 +0000 2020,@_CraigEngstrom @Tim_Keown @siucmst @cola_siuc @SIU_Careers @SIUC_GradSchool @SIUC @CarbondaleIL @SIUCAdmissions @camthan @DaniEllz24 Never mind.... answered my own question.   Can’t wait!
2,Sun Oct 25 19:27:01 +0000 2020,@_CraigEngstrom @Tim_Keown @siucmst @cola_siuc @SIU_Careers @SIUC_GradSchool @SIUC @CarbondaleIL @SIUCAdmissions @camthan @DaniEllz24 Love these topics! Will this be streamed? I’d love to watch from home.
3,Sat Oct 24 22:43:25 +0000 2020,@MRScoachlacee @SIUC Amen! What a blessing those memories of walks with mom will be someday.
4,Sat Oct 24 22:32:28 +0000 2020,"@JGB_Burken @SandT_CArE @sandtcec @MissouriSandT @SIUC @SIUE @WUSTL @Mizzou @SLU_Official Really interesting work, Rahel. Keep up the good work."
5,Sat Oct 24 19:55:52 +0000 2020,@JGB_Burken @StanfordEng @SIUE_SoEngr @WUSTL @MissouriSandT @Mizzou @SLU_Official @SIUC Enjoyed the talk. Thanks for making it happen.
6,Sat Oct 24 13:49:33 +0000 2020,@SIUC Wish I could buy but live in northern Illinois.  Go Salukis!
7,Sat Oct 24 01:26:43 +0000 2020,We're watching a movie that takes place at @SIUC and the characters want to hit up the food trucks on campus. Is that even a thing? #TheLastDriveIn #MutantFam #Haunt
8,Fri Oct 23 21:17:16 +0000 2020,"@SIUC Grading the President with an ""F"" for his debate performance is a little odd, when every viewer poll I've seen today indicates he won easily."
9,Fri Oct 23 14:03:30 +0000 2020,@WithConnorJames @SIUC Nothing like Clocktower Dr 🙌🏾
10,Fri Oct 23 13:54:12 +0000 2020,@WithConnorJames @SIUC Ace and I had a good conversation on our walk yesterday about fall foliage and how amazing God’s creations are ❤️
11,Fri Oct 23 01:20:32 +0000 2020,"@grinning_soul @WabashCollege From @SIUC professor who’s name I forget: “ If you make me CEO of any company, I can make it profitable by firing 90% of the employees and having a fire sell on on all warehoused stock an assets, but it will only last 6 months and then I won’t have a company. “"
12,Wed Oct 21 19:32:32 +0000 2020,I never thought that I would be saying these words I'm craving a sandwich from true blood rn. @SIUC
13,Wed Oct 21 15:39:04 +0000 2020,We are proud to announce that Southern Illinois University at Carbondale has been selected for this year’s Frank Murray Recognition #continuousimprovement. @SIUC
14,Wed Oct 21 11:50:06 +0000 2020,RT @CoachKBlaylock: A huge congratulations to @SIU_Softball alum @kdecker33 for accepting a position in @SIUC Physician Assistant program s…
15,Wed Oct 21 01:19:59 +0000 2020,@CoachKBlaylock @SIU_Softball @kdecker33 @SIUC Congratulations!
16,Tue Oct 20 20:51:19 +0000 2020,@SIUC when will you be releasing the number of covid cases on campus for the week of 10-12 thru 10-18?
17,Tue Oct 20 19:56:38 +0000 2020,"@CoachKBlaylock @SIU_Softball @kdecker33 @SIUC Super, super happy for Kyleigh!!! We all knew this day was coming ❤️"
18,Tue Oct 20 19:55:51 +0000 2020,RT @CoachKBlaylock: A huge congratulations to @SIU_Softball alum @kdecker33 for accepting a position in @SIUC Physician Assistant program s…
19,Tue Oct 20 19:13:49 +0000 2020,A huge congratulations to @SIU_Softball alum @kdecker33 for accepting a position in @SIUC Physician Assistant program starting May 2021.  Ky will be the 4th softball alum since 2015 to be accepted into this great program!!
20,Tue Oct 20 00:12:35 +0000 2020,"@craigwchoate @SIUC @SIUSalukis @PaulPabst @SIUC_SoJ Cool tweet, bro."
21,Mon Oct 19 17:04:24 +0000 2020,".@SIUC Roberto Barrios’s talk for Hispanic Heritage Month was postponed by John Logan College, citing the order.

“What I wanted to advocate for in my talk was not a claim that white people are inherently racist... but to make a call for a critical evaluation of our heritage.”"
22,Mon Oct 19 02:00:47 +0000 2020,@ExSci_SprtAdSIU @SalukiSpirit @SIUC @college_human @SIU_Baseball @thebradhudson @DukeU @SIUSalukis Congrats Brad!!!
