,created_at,full_text
0,Mon Oct 26 17:52:07 +0000 2020,"RT @SMU: Introducing: the black album. 2020. resistance.

Regina Taylor '81 partners with @smumeadows to release a unique, three-part theat…"
1,Mon Oct 26 17:43:42 +0000 2020,"RT @SMU: Introducing: the black album. 2020. resistance.

Regina Taylor '81 partners with @smumeadows to release a unique, three-part theat…"
2,Mon Oct 26 17:40:09 +0000 2020,"RT @SMU: Introducing: the black album. 2020. resistance.

Regina Taylor '81 partners with @smumeadows to release a unique, three-part theat…"
3,Mon Oct 26 17:26:50 +0000 2020,"RT @SMU: Introducing: the black album. 2020. resistance.

Regina Taylor '81 partners with @smumeadows to release a unique, three-part theat…"
4,Mon Oct 26 17:26:34 +0000 2020,"RT @SMU: Introducing: the black album. 2020. resistance.

Regina Taylor '81 partners with @smumeadows to release a unique, three-part theat…"
5,Mon Oct 26 17:26:12 +0000 2020,"RT @SMU: Introducing: the black album. 2020. resistance.

Regina Taylor '81 partners with @smumeadows to release a unique, three-part theat…"
6,Sun Oct 25 19:19:48 +0000 2020,@morgfair GO PONYs!!!!! @SMU !!!!!! forever
7,Sun Oct 25 19:11:54 +0000 2020,@MichaelRapaport @SMU Ponies
8,Sun Oct 25 15:18:26 +0000 2020,"Down by @SMU today and have seen multiple college students drinking Pedialyte out of the bottle. 

Is that a thing?"
9,Sun Oct 25 05:16:54 +0000 2020,@GarrettHaake @SMU_Football @SMU Bearcats!
10,Sun Oct 25 05:12:07 +0000 2020,@dallasnews @SamBlum3 Sam Glum Blum is such a hater. @smu &gt; @SyracuseU
11,Sun Oct 25 04:34:04 +0000 2020,@GarrettHaake @SMU_Football @SMU You sure you still want that mask? #PonyDown
12,Sun Oct 25 04:16:50 +0000 2020,"It's amateur day at @ESPN2. Never seen so many production mistakes on broadcast #TV as during the #football game between @SMU and #Cincinnati. Poor focus, missed plays, shaky cameras, really an amateur job by people who are suppose to be professionals. @ESPN"
13,Sun Oct 25 03:28:47 +0000 2020,@thadfilms @SMU_Football @SMU Damn. Cant make out Mockingbird.
14,Sun Oct 25 03:02:33 +0000 2020,@danedwardburton @SMU_Football @SMU South
15,Sun Oct 25 03:02:02 +0000 2020,@thadfilms @SMU_Football @SMU Looking North?
16,Sun Oct 25 03:00:17 +0000 2020,@SMU In bed like an old man.
