,created_at,full_text
0,Mon Oct 26 08:58:58 +0000 2020,"@SenSasse @SenateGOP @TulsiGabbard @RonPaul @cuomo @NYSCourtsNews @uscourts @flmd_uscourts @NYCCHR @NYCCouncil @NYPDSpecialops @IntlCrimCourt @EU_Commission @Europarl_EN @INCIndia @NYPDShea @NYMayors @NYCMayorsOffice @Sothebys @DFB_Team_EN @GermanyUN @USAGov @CroatiaInEU @India_Croatia @HNS_CFF @MTA @NobelPrize @Harvard @nyuniversity @StJohnsU Mark and Uber thieves are cold hearted persons scamming anyone 
Puffed up fascist as they come is their unique ways 

They hate me and hated me for being me 
As If life is racially motivated crime only for them 
They need to show truth and fairness for me now 
Get over themselves"
1,Mon Oct 26 08:53:02 +0000 2020,"@SenSasse @SenateGOP @TulsiGabbard @RonPaul @cuomo @NYSCourtsNews @uscourts @flmd_uscourts @NYCCHR @NYCCouncil @NYPDSpecialops @IntlCrimCourt @EU_Commission @Europarl_EN @INCIndia @NYPDShea @NYMayors @NYCMayorsOffice @Sothebys @DFB_Team_EN @GermanyUN @USAGov @CroatiaInEU @India_Croatia @HNS_CFF @MTA @NobelPrize @Harvard @nyuniversity @StJohnsU Maybe in a life time ahead 
You'll be stuck with acts of Espinoge against you like it's done tome 

Till then remeber the last time you were robbed or stolen from 
How bad you felt
Now think people punished you for being angry and loud against it 

That's my victimised life"
2,Mon Oct 26 04:01:06 +0000 2020,"@SenSasse @SenateGOP @TulsiGabbard @RonPaul @cuomo @NYSCourtsNews @uscourts @flmd_uscourts @NYCCHR @NYCCouncil @NYPDSpecialops @IntlCrimCourt @EU_Commission @Europarl_EN @INCIndia @NYPDShea @NYMayors @NYCMayorsOffice @Sothebys @DFB_Team_EN @GermanyUN @USAGov @CroatiaInEU @India_Croatia @HNS_CFF @MTA @NobelPrize @Harvard @nyuniversity @StJohnsU 

We need to take heed and respect the scientific understanding that on page 56 here I proved that #GNA is the reality and I disprove that relativity is
As it falls short of a conclusive understanding to delineate what the world actually exists on"
3,Sat Oct 24 23:39:42 +0000 2020,RT @DeeHarrison21: Happy birthday to my brother @philgreene31 he was my gift roommate at @StJohnsU and we have been friends since day we me…
4,Sat Oct 24 22:39:10 +0000 2020,RT @DeeHarrison21: Happy birthday to my brother @philgreene31 he was my gift roommate at @StJohnsU and we have been friends since day we me…
5,Sat Oct 24 21:39:17 +0000 2020,@DeeHarrison21 @philgreene31 @StJohnsU The fans do 😉. #redeemteam #SJUBB
6,Sat Oct 24 21:38:31 +0000 2020,@JR_Salazar25 @DeeHarrison21 @StJohnsU Thanks my g 💯
7,Sat Oct 24 21:36:06 +0000 2020,RT @DeeHarrison21: Happy birthday to my brother @philgreene31 he was my gift roommate at @StJohnsU and we have been friends since day we me…
8,Sat Oct 24 21:09:50 +0000 2020,@DeeHarrison21 @philgreene31 @StJohnsU Happy birthday my guy @philgreene31 ! SJU family!
9,Sat Oct 24 21:06:34 +0000 2020,Happy birthday to my brother @philgreene31 he was my gift roommate at @StJohnsU and we have been friends since day we met my guy forever love you brother!! Crazy we still playing people don’t even realize it 🤦🏽‍♂️
10,Sat Oct 24 00:39:55 +0000 2020,@sugrue_p @StJohnsU Pretty sure I saw that with my big brother in the theater too!
11,Sat Oct 24 00:20:55 +0000 2020,"@FilmIntuition Always a fan of Ron Silver. @StJohnsU Graduate too

Remember ""Time Cop""? I get to boast about seeing that one in the theater"
12,Sat Oct 24 00:00:39 +0000 2020,@TheDavidLab @StJohnsU I had a great time today - can't believe it's been 13 years!
13,Fri Oct 23 22:17:10 +0000 2020,"Great invited talk today by Eric Strobel @2primeOH in our Biology Department Seminar Series, presenting his work on transcriptional pausing and riboswitch-mediated gene regulation. And to think, only 13 years ago we were taking Organic Chemistry together at @StJohnsU !"
14,Thu Oct 22 17:49:20 +0000 2020,"@sugrue_p @StJohnsU Yes, the Mass was held behind St. John Hall."
15,Thu Oct 22 15:57:24 +0000 2020,@StJohnsU @SJUarchives Behind St John's Hall?
16,Thu Oct 22 03:10:22 +0000 2020,"@BrianTBrowne @stjohnsalumni @IvanhoeParkBrew @StJohnsU No way. As a fan and collector of some vintage glasses, those are special!"
17,Thu Oct 22 03:09:06 +0000 2020,@drjimmywalters @stjohnsalumni @IvanhoeParkBrew @StJohnsU Vintage is a nice way of saying...I'm showing my age!
18,Thu Oct 22 02:59:16 +0000 2020,@BrianTBrowne @stjohnsalumni @IvanhoeParkBrew @StJohnsU Those spring formal glasses are impressive. Vintage!
