,created_at,full_text
0,Mon Oct 26 18:48:36 +0000 2020,"RT @VikingMonkey: @ExtinctionR @JonKrosnick @Stanford Think not of this year as being the hottest in the last 125, but as the coolest of th…"
1,Mon Oct 26 18:44:27 +0000 2020,@ExtinctionR @JonKrosnick @Stanford Still queuing up at the long haul flights desk.
2,Mon Oct 26 18:35:55 +0000 2020,@ExtinctionR @JonKrosnick @Stanford Couldn't agree more. We need action now.
3,Mon Oct 26 18:35:07 +0000 2020,"@ExtinctionR @JonKrosnick @Stanford Think not of this year as being the hottest in the last 125, but as the coolest of the next 125. 

-saw somewhere on twitter"
4,Mon Oct 26 18:20:00 +0000 2020,"According to @Inc, a two-year @Stanford study of #WFH demonstrated a #productivity boost equal to a full day of work per week."
5,Mon Oct 26 18:12:40 +0000 2020,"@TrumpWarRoom I wouldn’t trust @SWAtlasHoover to read a MRI. Imagine listening to a neuroradiologist for pandemic recommendations. I already pay experts in ID, Virology, Epidemiology but the @WhiteHouse threatens them for telling the truth. How much is his contract? Even @Stanford disowns him."
6,Mon Oct 26 17:46:11 +0000 2020,Harry in that blue coat is the cure for Covid-19 @Harvard @Yale @UCLA @Stanford
7,Mon Oct 26 17:44:05 +0000 2020,"@VaynerMedia @garyvee @cthagod @Eastbay @iHeartRadio @JimStengel @LinkedIn @Mastercard @MDLZ @SAP @SharkTankABC @sonicdrivein @Stanford @YourOAAA Exciting! I am looking forward to this. Marketing for the now is an amazing resource full of valuable information and great people.
Truly great content! if you haven’t seen this before check out some of the most recent episodes."
8,Mon Oct 26 17:35:33 +0000 2020,"RT @twimlai: Just 30min until ML for Sustainable Agriculture with Jennifer Hobbs @Intelair, @nemozen @GroIntel, @HamedAlemo  @OurRadiantEar…"
9,Mon Oct 26 17:29:27 +0000 2020,@SWAtlasHoover @Stanford come get your boy. Continued association with Hoover is a disgrace to the university
10,Mon Oct 26 17:21:47 +0000 2020,"RT @twimlai: Just 30min until ML for Sustainable Agriculture with Jennifer Hobbs @Intelair, @nemozen @GroIntel, @HamedAlemo  @OurRadiantEar…"
11,Mon Oct 26 17:11:14 +0000 2020,"RT @twimlai: Just 30min until ML for Sustainable Agriculture with Jennifer Hobbs @Intelair, @nemozen @GroIntel, @HamedAlemo  @OurRadiantEar…"
12,Mon Oct 26 16:56:46 +0000 2020,"Just 30min until ML for Sustainable Agriculture with Jennifer Hobbs @Intelair, @nemozen @GroIntel, @HamedAlemo  @OurRadiantEarth, Sherrie Wang @Stanford, @hannah_kerner @UMD_CollegePark, and David Wilson @Intelair!"
13,Mon Oct 26 16:46:06 +0000 2020,"@disclosetv Hey @BillGates , stick to what you know, software.  You are NOT a doctor! Matter of fact you're a college drop out! @SWAtlasHoover is an actual MD &amp; SENIOR FELLOW AT THE HOOVER INSTITUTION @Stanford ! #RealityCheck"
14,Mon Oct 26 16:45:51 +0000 2020,@Stanford you still claiming Scott Atlas?
