,created_at,full_text
0,Mon Oct 26 17:27:33 +0000 2020,@DCInbox @electionmadnes2 @MattGrossmann @FollowStevens This is so awesome Lindsey! Can't wait to talk about this with everyone at some point.
1,Fri Oct 23 14:32:20 +0000 2020,"New Jersey Core Facilities Showcase, this year at #PrincetonEngage

Features sessions and virtual exhibit booths that highlight research services and equipment offered by academic institutions from around the Garden State @rutgers @rowan @NJIT @FollowStevens 4/"
2,Fri Oct 23 02:33:29 +0000 2020,@JakeChams @FollowStevens thank you for answering our questions!!
3,Fri Oct 23 00:23:32 +0000 2020,@JakeChams @FollowStevens Thank you for your time and answering our questions!!
4,Fri Oct 23 00:12:04 +0000 2020,@JakeChams @FollowStevens love this 🥺
5,Fri Oct 23 00:10:52 +0000 2020,@JakeChams @FollowStevens How easily you can spot a streamer
6,Thu Oct 22 20:37:29 +0000 2020,@FollowStevens hey stevens
7,Mon Oct 19 18:12:31 +0000 2020,"@DCInbox @heathbrown @wallethub @FollowStevens They list the schools they excluded on a separate page - my guess would be that they sent a survey to the schools, and didn't include any schools that didn't return it (they have a link for schools that want to be included in future years)."
8,Mon Oct 19 18:09:57 +0000 2020,@heathbrown @DCInbox @wallethub @FollowStevens Wow - it's worse in New York. Their rankings exclude all of the CUNYs and most of the SUNYs. Nonsense.
9,Mon Oct 19 18:09:44 +0000 2020,@DanCassino @DCInbox @wallethub @FollowStevens Hard to imagine a better bargain in NJ than Montclair State
10,Mon Oct 19 18:07:39 +0000 2020,"@heathbrown @DCInbox @wallethub @FollowStevens I mean, on what metric do you have data for Rutgers, but can't obtain it for Montclair State? Bizarre exclusions."
11,Mon Oct 19 18:06:51 +0000 2020,"@heathbrown @DCInbox @wallethub @FollowStevens They didn't rank a bunch of NJ schools, saying that didn't have data on them: Montclair, FDU, Drew, NJCU. So, I'm not taking these ratings too seriously."
12,Mon Oct 19 17:56:51 +0000 2020,@DCInbox @wallethub @FollowStevens Surprised Montclair State isn't in that top 10
13,Mon Oct 19 14:03:58 +0000 2020,"Virtual college admission visits this week include,
TODAY:
@KenyonCollege 
@AmericanU 
@UofR 
@illinoistech 
@RegisCollege_MA 
@FollowStevens 

TUESDAY:
@JohnsHopkins 
@SaintAnselm 
@ClarkUniversity 

THURSDAY:
@USMAdmissions"
14,Mon Oct 19 09:58:41 +0000 2020,@talkaboutorgs @FollowStevens @UoBrisEFM Will do! 👍
15,Mon Oct 19 08:10:36 +0000 2020,"@MRWeatherburn @FollowStevens @UoBrisEFM Definitely, please! We'll be happy to retweet 👍"
16,Mon Oct 19 08:01:08 +0000 2020,@talkaboutorgs @FollowStevens Glad it's of interest! I've got plenty more where that came from. FYI my talk on Taylorism and historical memory at @UoBrisEFM on Tuesday 1 Dec. Can let you know details :)
17,Sun Oct 18 23:51:11 +0000 2020,@taleenkelley @FollowStevens It's about 1/10th of a thousad.
18,Sun Oct 18 16:34:24 +0000 2020,@FollowStevens Is “hundrend” a word lol
19,Sun Oct 18 13:27:52 +0000 2020,@FollowStevens Wish there were photos to go along with the names being called. Bad enough we’re not getting a “real” ceremony...
20,Sun Oct 18 11:20:57 +0000 2020,"@MRWeatherburn @FollowStevens Oh, wow! That is such an amazing artefact to be holding in your hands, you lucky you! :) Thank you for sharing!"
