,created_at,full_text
0,Mon Oct 26 13:51:33 +0000 2020,"Another great line-up of virtual college admission visits this week
TODAY:
@sunyoswego 
@virginia_tech 

TUESDAY:
@Beloit_College 
@Maine_Maritime 

WEDNESDAY:
@stonybrooku 
@OhioWesleyan 

#collegecounseling #collegeprep #admissionvisits"
1,Mon Oct 26 12:51:22 +0000 2020,@therealtglotch @stonybrooku @GeoLatinas @BlkinGeoscience wow... that's awesome.  First I heard of this.
2,Mon Oct 26 04:30:38 +0000 2020,@clmazin Benedict Straight (@stonybrooku 1977)
3,Sun Oct 25 03:43:20 +0000 2020,RT @NVIDIADC: Researchers at The Laufer Center for Physical and Quantitative Biology @stonybrooku are using #AI and physics simulations on…
4,Sat Oct 24 17:39:20 +0000 2020,"Thank you to the Seawolves who stood in line today to #vote early!

The line may have been long, but you made your vote in #election2020 count!

@stonybrooku  #GetOutTheVote #SeawolvesVote #StonyBrookStrong #SoMAS"
5,Sat Oct 24 15:12:19 +0000 2020,"@JenniferNassour I guess you are lowering the standards of your alma mater @stonybrooku 
Maybe they should revoke any degrees you received from them!"
6,Sat Oct 24 14:58:55 +0000 2020,@mariahlemurs @HeidiHutner @CoryTiger_ @Ameikashay @niamariah @stonybrooku 🤗🤗🤗 Says THE LEMUR QUEEN HERSELF! AHHH!
7,Sat Oct 24 14:48:01 +0000 2020,@HeidiHutner @erica_cirino @CoryTiger_ @Ameikashay @niamariah @stonybrooku Honored to be part of this unreal group 💚
8,Sat Oct 24 14:18:30 +0000 2020,@HeidiHutner @mariahlemurs @CoryTiger_ @Ameikashay @niamariah @stonybrooku ❤️ just doing what i can to help the world be a little better for our wildlife friends. it breaks my heart to see how we treat other species (also other humans). you helped me see what i had to do with my life!
9,Sat Oct 24 14:01:40 +0000 2020,@erica_cirino @mariahlemurs @CoryTiger_ @Ameikashay @niamariah @stonybrooku Thank you!! You all are the best of the best. I am honored to pass on what I care about and know to you! And you are doing extraordinary work. Feel blessed.
10,Sat Oct 24 13:54:14 +0000 2020,"@HeidiHutner @mariahlemurs @CoryTiger_ @Ameikashay @niamariah @stonybrooku H! You are the best professor, my favorite from college, and one of my biggest inspirations! You engage your students like no other, and challenge us to question the world around us. You have touched the lives of so many of your students. I am grateful for you!"
11,Fri Oct 23 18:32:05 +0000 2020,@stonybrookalum @stonybrooku really miss the campus
12,Fri Oct 23 17:56:01 +0000 2020,@stonybrookalum @stonybrooku Ah! Behold! The haze of a post-apocalyptic abandoned campus devoid of any life! #beauty
13,Fri Oct 23 16:40:51 +0000 2020,"Congratulations to this week's Top 10: @UofOklahoma, @UTAustin, @univmiami, @ConnCollege, @gouchercollege, @Middlebury, @UMBC, @stonybrooku, @MTSUNews, &amp; @uoregon! 

#allintovote #VoteReady #NESCACVotes #Big12Votes"
14,Fri Oct 23 16:11:04 +0000 2020,"RT @PNorlander: Though the unemployed are faultless amid the coronavirus recession, #unemployment stigma is relevant again. Habits of blami…"
15,Fri Oct 23 14:43:49 +0000 2020,"Though the unemployed are faultless amid the coronavirus recession, #unemployment stigma is relevant again. Habits of blaming the victim die hard, according to research w/ Geoff Ho, Margaret Shih @uclaanderson, Dan Walters @INSEAD, &amp; Todd Pittinsky @stonybrooku"
16,Fri Oct 23 14:30:00 +0000 2020,RT @sbufeestrike: Did you know that Stony Brook has the worst net stipend to cost of living ratio for graduate students among all 64 AAU un…
17,Fri Oct 23 12:20:33 +0000 2020,RT @excelle08: @GradLaborOSU @stonybrooku @SBUPrez @rickgatteau @GSEU_SBU @sbufeestrike This will definitely attract more and more quality…
18,Fri Oct 23 12:20:31 +0000 2020,RT @excelle08: @GradLaborOSU This is really encouraging! Graduate students at OSU will earn more and pay much less than those in @stonybroo…
19,Fri Oct 23 12:20:04 +0000 2020,RT @excelle08: @GradLaborOSU @stonybrooku @SBUPrez @rickgatteau @GSEU_SBU @sbufeestrike This will definitely attract more and more quality…
20,Fri Oct 23 12:20:00 +0000 2020,RT @excelle08: @GradLaborOSU This is really encouraging! Graduate students at OSU will earn more and pay much less than those in @stonybroo…
21,Fri Oct 23 12:19:23 +0000 2020,RT @excelle08: @GradLaborOSU @stonybrooku @SBUPrez @rickgatteau @GSEU_SBU @sbufeestrike This will definitely attract more and more quality…
22,Fri Oct 23 12:19:20 +0000 2020,RT @excelle08: @GradLaborOSU This is really encouraging! Graduate students at OSU will earn more and pay much less than those in @stonybroo…
23,Fri Oct 23 08:02:06 +0000 2020,RT @sbufeestrike: Did you know that Stony Brook has the worst net stipend to cost of living ratio for graduate students among all 64 AAU un…
24,Fri Oct 23 03:11:30 +0000 2020,"@GradLaborOSU @stonybrooku @SBUPrez @rickgatteau @GSEU_SBU @sbufeestrike This will definitely attract more and more quality students who are committed to teaching and researches. What's more, OSU's rankings are already higher! @SBUPrez and @rickgatteau, don't you want to attract more students to apply for and attend SBU?"
25,Fri Oct 23 03:08:12 +0000 2020,"@GradLaborOSU This is really encouraging! Graduate students at OSU will earn more and pay much less than those in @stonybrooku, and the cost of living in Columbus, OH is only 60% of that in Suffolk, NY. What are you hesitating for, @SBUPrez and @rickgatteau?
@GSEU_SBU @sbufeestrike"
26,Fri Oct 23 02:00:34 +0000 2020,"@SoMAS_SBU @stonybrooku Honestly, these students are #FarBeyond! 

#Debates2020 #Debate2020 #DebateTonight"
27,Fri Oct 23 02:00:10 +0000 2020,RT @sbufeestrike: Did you know that Stony Brook has the worst net stipend to cost of living ratio for graduate students among all 64 AAU un…
28,Fri Oct 23 01:28:18 +0000 2020,"@HistoryBrad Outdated now, but from 2003-2008 I made between 14k-16k as a year-long TA @stonybrooku
Was below poverty line. Long Island was surprisingly expensive (to me as 🇨🇦)"
29,Fri Oct 23 00:25:16 +0000 2020,"@stonybrooku Wow, we’re really doing this tonight? Well... it IS debate night 🤣🤣 #Debates2020"
30,Fri Oct 23 00:20:47 +0000 2020,@stonybrooku @civicjusticesbu Right? Time to channel our inner art-TEEST! 🎨🎨🎨🎨 #Debates2020
