,created_at,full_text
0,Mon Oct 26 11:19:49 +0000 2020,"@BatmanateePhD @sunyesf So sad to hear. I wouldn’t be the scientist I am without Bill Porter. Porter &amp; his students helped me get back on my feet, gave me field exp/mentorship &amp; support for grad school. I’ll never forget winter mammal eco &amp; my time at AES! He was a great person &amp; a wonderful scientist!"
1,Mon Oct 26 02:52:50 +0000 2020,@BatmanateePhD @sunyesf He was instrumental in seeing me through to my first peer-reviewed journal article. I was always deeply appreciative and it’s shaped how I tackle peer review.
2,Mon Oct 26 00:48:14 +0000 2020,@BatmanateePhD @sunyesf Oh how sad!
3,Sun Oct 25 23:48:44 +0000 2020,@BatmanateePhD @sunyesf So sad. Thanks for sharing. I will never forget taking his wildlife management course during my first semester at ESF— you were my TA! Our first draft of some paper was graded -100something points 😂 I enjoyed his lectures. He will he missed.
4,Sun Oct 25 19:53:09 +0000 2020,@waitwait “we won’t define mycologists because we know our audience” are the truest words ever spoken. Senior year at @sunyesf meant 6 months of our fridge full of various fungi. All 3 roommates took mycology together that semester.
5,Sun Oct 25 15:16:28 +0000 2020,"@BioTurboNick Not in Florida, no, but I am actually part of a pilot program to do this very thing in Hawaii. Waiting for the final go ahead from @Maui gov. Project is with @SyracuseU and @sunyesf and is to develop mobile labs for this in remote places (like islands in the middle of Ocean lol)"
6,Sun Oct 25 13:50:12 +0000 2020,@RachaelEBee @bradcosentino @sunyesf I’ve hunted them for almost 30 years &amp; come from a long line of squirrel hunters. We raise dogs specifically for the purpose. You wouldn’t believe all the books on squirrel biology around here....dating back to the 1930’s.
7,Sat Oct 24 18:08:40 +0000 2020,"@GrayFeist @bradcosentino @sunyesf Haha, I too love squirrels! Especially this time of year when they’re burying their acorns. 🐿"
8,Fri Oct 23 22:11:45 +0000 2020,@bradcosentino @RachaelEBee @sunyesf People think I’m crazy about butterflies but not enough ask me about squirrels.
9,Fri Oct 23 22:10:59 +0000 2020,@bradcosentino @RachaelEBee @sunyesf Nice! I’ll have to check it out.
10,Fri Oct 23 21:17:53 +0000 2020,@GrayFeist @RachaelEBee The grant will also be supporting a PhD student at @sunyesf!
11,Fri Oct 23 15:20:59 +0000 2020,"RT @RealGLOS: * #buoyrecovery news *

These buoys are now out of the water for the season: 

@NOAA_GLERL Alpena Thunder Bay 45162 - Lake Hu…"
12,Fri Oct 23 13:19:35 +0000 2020,"* #buoyrecovery news *

These buoys are now out of the water for the season: 

@NOAA_GLERL Alpena Thunder Bay 45162 - Lake Huron
@NOAA_GLERL  Saginaw Bay 45163 - Lake Huron
@sunyesf Great Lakes Research Consortium Oswego Buoy 45189 - Lake Ontario"
13,Thu Oct 22 20:45:25 +0000 2020,@sunyesf I hope they’re okay
14,Wed Oct 21 17:44:52 +0000 2020,RT @rmchiles: (5/5) Shout out to our co-panelists N. Kato-Nitta @tousuuken P.B. Thompson @MSUCSUS K. Pixley @CIMMYT; Thank you @iastate_cal…
15,Wed Oct 21 15:51:56 +0000 2020,(5/5) Shout out to our co-panelists N. Kato-Nitta @tousuuken P.B. Thompson @MSUCSUS K. Pixley @CIMMYT; Thank you @iastate_cals @JulieShapiroKPC @TheKeystoneCtr @USDA_NIFA @sunyesf for hosting. Always a privilege to represent @penn_state @agsciences @RockEthicsPSU! (5/5)
16,Tue Oct 20 16:54:04 +0000 2020,"@sunyesf I transferred to ESF after my freshman year, which was way back in Fall 1998. Best education decision I ever made!"
