,created_at,full_text
0,Sat Oct 24 03:35:52 +0000 2020,"RT @sunydownstate: #ICYMI—

Earlier this week, we were proud to announce the Harry Weinrauch #Scholarship—a partial, four-year scholarship…"
1,Fri Oct 23 15:46:52 +0000 2020,"... on the importance of tackling the critical issues &amp; challenges facing students in our system. I'm also proud that one of our own, @SUNYDownstate College of Medicine student Kingsley Cruickshank '22, has been appointed as a member of this critically important Committee. (2/3)"
2,Fri Oct 23 14:29:34 +0000 2020,"RT @sunydownstate: YOU’RE INVITED!

#TUESDAY, October 27th, at 3PM!

JOIN US for a ""SPRING Term Virtual Info Session"" and discover how a #P…"
3,Fri Oct 23 01:24:28 +0000 2020,"@jimmalatras @sunydownstate @HPCwire It seems NetPyNE is open source, but is the data (or""small amount"", i.e., say 10M events) collected for this research also open for anyone to play with?"
4,Thu Oct 22 19:38:46 +0000 2020,@DownstateSurg @sunydownstate @KingsCountyHosp Thank you! Surgery history and legacy are important in mentoring
5,Thu Oct 22 19:37:05 +0000 2020,@DownstateSurg @sunydownstate @AmCollSurgeons Wonderful virtual visit! Thank you for participating.  Keywords of the day for surgeons are #geriatrics #frailty #delirium
6,Thu Oct 22 10:23:15 +0000 2020,"@jimmalatras @sunydownstate @HPCwire I have to share this article w/ my daughter, she would be so intrigued. Her major is Integrated Neuroscience. She did a lab a few weeks back on a human brain, she was definitely in her glory !"
7,Wed Oct 21 23:19:13 +0000 2020,"RT @sunydownstate: #NEWS #RELEASE:

The @NYAMNYC Welcomes New Board Chair Dr. Wayne J. Riley, President of SUNY Downstate.

Historic moment…"
8,Wed Oct 21 21:52:19 +0000 2020,"RT @sunydownstate: #NEWS #RELEASE:

The @NYAMNYC Welcomes New Board Chair Dr. Wayne J. Riley, President of SUNY Downstate.

Historic moment…"
9,Wed Oct 21 21:23:47 +0000 2020,"RT @sunydownstate: #NEWS #RELEASE:

The @NYAMNYC Welcomes New Board Chair Dr. Wayne J. Riley, President of SUNY Downstate.

Historic moment…"
10,Wed Oct 21 21:21:11 +0000 2020,"RT @sunydownstate: #NEWS #RELEASE:

The @NYAMNYC Welcomes New Board Chair Dr. Wayne J. Riley, President of SUNY Downstate.

Historic moment…"
11,Wed Oct 21 11:14:35 +0000 2020,@MTaherianMD @DownstatePath @sunydownstate Thank you!
12,Wed Oct 21 02:32:00 +0000 2020,"RT @DrMCMiles: @williamkellymd @NYPBrooklyn @sunydownstate @metrohealthCLE @accpchest The first time I saw this, sitting in my pandemic hom…"
13,Wed Oct 21 02:22:00 +0000 2020,@DrMCMiles @NYPBrooklyn @sunydownstate @metrohealthCLE @accpchest This made me laugh and cry and laugh... and we all made a great game-day decision to turn chat on for the amazing super fans!  Hilarious.
14,Wed Oct 21 02:20:14 +0000 2020,"@williamkellymd @NYPBrooklyn @sunydownstate @metrohealthCLE @accpchest The first time I saw this, sitting in my pandemic home office, someone was cutting onions"
15,Wed Oct 21 01:40:24 +0000 2020,@AChanceToCut @SocietyofBAS @YewandeAlimiMD @globalsurgallie @LatinoSurgery @AsianAcadSurg @WomenSurgeons @OutSurgeons @sunydownstate @StanfordSurgery I can be there in 5 hours tops 🛩.
16,Wed Oct 21 01:23:58 +0000 2020,@AChanceToCut @AllWalksOfLif3 @SocietyofBAS @YewandeAlimiMD @globalsurgallie @LatinoSurgery @AsianAcadSurg @WomenSurgeons @OutSurgeons @sunydownstate 🥑 = life
17,Wed Oct 21 01:23:14 +0000 2020,"@AllWalksOfLif3 @SocietyofBAS @YewandeAlimiMD @globalsurgallie @LatinoSurgery @AsianAcadSurg @WomenSurgeons @OutSurgeons @sunydownstate Hey Jasmine! I know a place that would REALLY love your #GuacGame. Hint: @StanfordSurgery! Goodluck, doc! 🙌🏾🙏🏾"
18,Wed Oct 21 01:04:06 +0000 2020,@AHasenzahl @DownstatePath @sunydownstate Good luck💪
19,Wed Oct 21 00:48:00 +0000 2020,@williamkellymd @accpchest @NYPBrooklyn @sunydownstate @metrohealthCLE @DrMCMiles @subanichandra @DanckersMD Bill 20 some yrs later and the chest challenge just as fun. Kudos to you
20,Wed Oct 21 00:31:45 +0000 2020,"RT @DrSabinaH: Exciting new HIV/Health disparities postdoc opportunity @sunydownstate! Please r/t: @academictwitter @AcademicChatter 
SUNY…"
21,Wed Oct 21 00:25:05 +0000 2020,@SocietyofBAS @YewandeAlimiMD @globalsurgallie @LatinoSurgery @AsianAcadSurg @WomenSurgeons @OutSurgeons Hi Everyone! My name is Jasmine and I'm a MS4 @sunydownstate interested in trauma surgery and community outreach. I also make a pretty mean guacamole if I do say so myself 😏.
22,Tue Oct 20 21:21:19 +0000 2020,@redraiderpulmcc @williamkellymd @NYPBrooklyn @sunydownstate @metrohealthCLE @accpchest @DrMCMiles @subanichandra @DanckersMD Mine too!!
23,Tue Oct 20 19:40:13 +0000 2020,@williamkellymd @NYPBrooklyn @sunydownstate @metrohealthCLE @accpchest @DrMCMiles @subanichandra @DanckersMD My favorite part of CHEST!
24,Tue Oct 20 19:36:18 +0000 2020,"RT @sunydownstate: The October 19th Edition of the President's Bulletin is now LIVE!

Don't forget to check out the latest in #research, #s…"
25,Tue Oct 20 19:33:40 +0000 2020,Thrilled to submit my ERAS application and officially apply to pathology! Very thankful for the training and support from @DownstatePath @sunydownstate Looking forward to residency interviews! #PathMatch21 #PathMatch2021
26,Mon Oct 19 15:04:30 +0000 2020,@BGalloMarin @HamidSafraz @BrownMedicine @sunydownstate Congratulations!!
27,Mon Oct 19 15:03:47 +0000 2020,"RT @sunydownstate: The October 19th Edition of the President's Bulletin is now LIVE!

Don't forget to check out the latest in #research, #s…"
28,Mon Oct 19 14:29:00 +0000 2020,RT @BGalloMarin: Future M4 surgeon @HamidSafraz and I just had a trauma surgery QI poster accepted for a (virtual conference) at the Instit…
29,Mon Oct 19 14:27:21 +0000 2020,"Future M4 surgeon @HamidSafraz and I just had a trauma surgery QI poster accepted for a (virtual conference) at the Institute for Healthcare Improvement! 

Thank you Safraz for your leadership and for cracking ways to improve surgical care 

@BrownMedicine @sunydownstate"
30,Mon Oct 19 05:56:18 +0000 2020,@jessfeldMD @sunydownstate @uw_medicine I find @MarsviewAI great for my virtual meetings. It's a cool application with a lot of added features.
31,Sun Oct 18 16:48:24 +0000 2020,"@MartinKulldorff @DavidBCollum @sunydownstate Talk about fear:
I saw a guy driving down the road with his convertible top down wearing a mask!
I’ll bet this guy watches CNN 12 hours a day!"
