,created_at,full_text
0,Sun Oct 25 22:50:25 +0000 2020,"@Hawkins_YVC @UpstateNews @zoom_us @CrouseHealth @acog @FPMRS @kemuofficial You are too sweet, thank you"
1,Sun Oct 25 22:32:44 +0000 2020,@SairaNHaque @UpstateNews @zoom_us @CrouseHealth @acog @FPMRS @kemuofficial You’re pretty amazing and having never met your dad- I somehow know he is beaming with pride.
2,Wed Oct 21 23:00:17 +0000 2020,"@bluehatcomics85 @syracusedotcom @UpstateNews @SUNYUpstatePath It doesn't look too cold tonight.

Hm.

Might go downtown for a drink."
3,Wed Oct 21 15:24:40 +0000 2020,@UpstateNews Congrats Dr. Perl!
4,Wed Oct 21 09:19:55 +0000 2020,@UroRecon @SocietyGURS @UpstateFPMRS @blakelyGU @UpstateNews @SUNY It looks that the website is not working. I can't acces. Is there another one?
5,Mon Oct 19 13:06:52 +0000 2020,@UroRecon @SocietyGURS @UpstateFPMRS @blakelyGU @UpstateNews @SUNY Congrats and well deserved my friend
6,Sun Oct 18 19:39:16 +0000 2020,@UpstateRad @UpstateNews @DR_Radz Just need to get Crouse into the shot and it will be complete!
7,Sun Oct 18 18:08:23 +0000 2020,@UroRecon @SocietyGURS @UpstateFPMRS @blakelyGU @UpstateNews @SUNY Congrats well deserved
8,Sun Oct 18 07:21:36 +0000 2020,@UroRecon @SocietyGURS @UpstateFPMRS @blakelyGU @UpstateNews @SUNY Congratulations !!
9,Sun Oct 18 06:54:50 +0000 2020,"@UroRecon @SocietyGURS @UpstateFPMRS @blakelyGU @UpstateNews @SUNY That is great news, my friend!! Congrats!"
10,Sun Oct 18 00:25:47 +0000 2020,@UroRecon @SocietyGURS @UpstateFPMRS @blakelyGU @UpstateNews @SUNY Woowwww!! All the best In this new project ! My heartiest Congratulations dearest dimy!!  One of the most complete recon fellowship im sure of it !!👏👏👏👏🙏
11,Sat Oct 17 23:29:48 +0000 2020,@UroRecon @SocietyGURS @UpstateFPMRS @blakelyGU @UpstateNews @SUNY Congrats @UroRecon!
12,Sat Oct 17 18:37:22 +0000 2020,@UroRecon @SocietyGURS @UpstateFPMRS @blakelyGU @UpstateNews @SUNY Awesome! Congrats!
