,created_at,full_text
0,Fri Oct 23 21:11:51 +0000 2020,@Huey_P_Shootin @swarthmore when I didn’t do the reading and would get cold called
1,Fri Oct 23 20:59:19 +0000 2020,@SwatAthletics @swarthmore @NCAADIII @NCAA @CentennialConf Sweet droning
2,Thu Oct 22 17:37:50 +0000 2020,@ethan_bergmann @swarthmore Thank you for tuning in!
3,Thu Oct 22 16:28:52 +0000 2020,@swarthmore @UWBadgers why can’t something be organized for the dorm students.  What a great idea.
4,Thu Oct 22 16:27:30 +0000 2020,@swarthmore Wow. Good for them!!!
5,Thu Oct 22 03:13:31 +0000 2020,@swarthmore @andrewsmoe That looks really fun tbh
6,Wed Oct 21 21:07:38 +0000 2020,@swarthmore Looks like fun!
7,Wed Oct 21 15:32:47 +0000 2020,@swarthmore This happens all the time Mazars of Pakistan.
8,Tue Oct 20 19:25:46 +0000 2020,@swarthmore Looks fantastic!
9,Mon Oct 19 17:47:39 +0000 2020,@SwatMSoccer @SwatAthletics @swarthmore @Elite300Soccer @SwatAdmissions Awesome photo!
