,created_at,full_text
0,Mon Oct 26 18:08:46 +0000 2020,Aye @SyracuseU bout time y'all used y'all heads and accepted me... Its lit next year 🔥
1,Mon Oct 26 17:48:49 +0000 2020,"RT @SyracuseU: In times of unprecedented change, now is the chance for students to make unprecedented impact. That chance starts at Syracus…"
2,Mon Oct 26 15:30:28 +0000 2020,"A NIGGA LIKE LEBRON DON'T GET ENOUGH CREDIT. BUT WEE ALL KNOW, THIS SYSTEM HAS KILLED 1,000,000 OTHERS LIKE HIM. KARLTON HINES !! @SyracuseU AND SO MANY OTHERS #AllLivesMattter #ALLSHADES"
3,Mon Oct 26 14:08:19 +0000 2020,@SyracuseU looking good @PattesonLab and @DrJennyRoss !!!
4,Mon Oct 26 11:10:55 +0000 2020,"10/23 big thank you to @NeumannUniv and @SyracuseU for visiting @BerksCatholic !

10/26 today we host @RosemontCollege and @FairfieldU !  @HaloBC - rsvp with Mrs Bonanno"
5,Sun Oct 25 21:23:01 +0000 2020,"Wow! Didn’t know @ScottHanson went to @SyracuseU.....still don’t care, but good to know!"
6,Sun Oct 25 15:16:28 +0000 2020,"@BioTurboNick Not in Florida, no, but I am actually part of a pilot program to do this very thing in Hawaii. Waiting for the final go ahead from @Maui gov. Project is with @SyracuseU and @sunyesf and is to develop mobile labs for this in remote places (like islands in the middle of Ocean lol)"
7,Sun Oct 25 12:32:25 +0000 2020,sunday classes... babes i didn't sign up for bible study smh @SyracuseU
8,Sun Oct 25 05:12:07 +0000 2020,@dallasnews @SamBlum3 Sam Glum Blum is such a hater. @smu &gt; @SyracuseU
9,Sun Oct 25 01:19:17 +0000 2020,@ASlavitt you should look @SyracuseU too. CURRENTLY 15 cases total. Have never been above about 95 at any given point
10,Sat Oct 24 19:24:25 +0000 2020,"RT @SyracuseU: In times of unprecedented change, now is the chance for students to make unprecedented impact. That chance starts at Syracus…"
11,Sat Oct 24 18:46:34 +0000 2020,RT @Dan_Lyons76: Bring back the Lou Reed commercial @SyracuseU
12,Sat Oct 24 18:29:27 +0000 2020,"The 1-4 @SyracuseU #Orange are hanging in there with the #1 ranked, 5-0, #Clemson squad. Was a 48.5 spread and Cuse is only down by 7, with the ball, in the third quarter. Let’s go #OrangeNation #ShockTheWorld"
13,Sat Oct 24 18:12:56 +0000 2020,.@JoeBiden is a proud graduate of @SyracuseU. #Cuse
14,Sat Oct 24 17:18:20 +0000 2020,"@JohnCassillo @Dan_Lyons76 @SyracuseU Speaking of commercials, I want this Ultimate Irish peeler 😂"
15,Sat Oct 24 17:18:16 +0000 2020,@JohnCassillo @SyracuseU stale**
16,Sat Oct 24 17:16:45 +0000 2020,"@JohnCassillo @SyracuseU We legitimately had the best college commercial in the country for like five years. I get that you don't want it to get scale, but I'd just recut it with new footage every so often. The new one just looks like every other college commercial ever."
17,Sat Oct 24 17:15:36 +0000 2020,@Dan_Lyons76 @SyracuseU The only good college commercial by anyone ever.
18,Sat Oct 24 17:13:03 +0000 2020,Bring back the Lou Reed commercial @SyracuseU
19,Sat Oct 24 17:09:08 +0000 2020,I dream of joining the orange family🧡 @SyracuseU
20,Sat Oct 24 14:13:49 +0000 2020,"@Mitch_Roschelle @SyracuseU @CharlieRgolden Great picture of Charlie, he's so cute 🐶❤️. 
Mitch, wish you and Charlie a wonderful Saturday and stay healthy everyone 😊🙏🏻."
21,Sat Oct 24 05:38:12 +0000 2020,"@suziezed It’s my love for everything @SyracuseU, my alma mater."
22,Sat Oct 24 01:56:32 +0000 2020,@SyracuseU I’m so proud that he was able to overcome and rise to the top!!! A huge Congratulations!
23,Sat Oct 24 00:07:19 +0000 2020,@ochocinco Right on @SyracuseU
24,Fri Oct 23 23:43:23 +0000 2020,@chrissycro @SyracuseU @SUAlums @rolandspeaks @WISE_Cuse Thank you for being there!! Also is that a new profile photo? Gorgeous!
25,Fri Oct 23 23:32:03 +0000 2020,@NicoleICost @SyracuseU @SUAlums @rolandspeaks @WISE_Cuse Great job Nicole! 👏🏻👏🏻
26,Fri Oct 23 23:23:12 +0000 2020,@WISE_Cuse @Gina_Pauline12 @SyracuseU @SUAlums @rolandspeaks I am the lucky one!!
27,Fri Oct 23 22:50:54 +0000 2020,"@NicoleICost @Gina_Pauline12 @SyracuseU @SUAlums @rolandspeaks Amazing job Nicole, thank your for putting this together! We are lucky to have you as an advisor 😊"
28,Fri Oct 23 22:34:31 +0000 2020,@Gina_Pauline12 @SyracuseU @SUAlums @rolandspeaks @WISE_Cuse Thank you!! Labor of love! Only made possible by our department that continues to churn out amazing young professionals/alumni 🧡
29,Fri Oct 23 21:47:35 +0000 2020,@NicoleICost @SyracuseU @SUAlums @rolandspeaks @WISE_Cuse Amazing @NicoleICost !! You did an unbelievable job. So nice to see all these faces together ! Bravo for all your hard work !
30,Fri Oct 23 20:10:34 +0000 2020,@LesRoseSyracuse @thebeatles @NewhouseSU @SyracuseU @CitrusTV I've been listening to the Beatles a lot lately...their music is SO GOOD!
31,Fri Oct 23 19:50:17 +0000 2020,RT @squidinkydink: @AlexBerenson @nytimes Hey guess what @SyracuseU bombards me weekly with Orwellian bs covid test fear porn. But neglects…
32,Fri Oct 23 19:35:05 +0000 2020,"@AlexBerenson @nytimes Hey guess what @SyracuseU bombards me weekly with Orwellian bs covid test fear porn. But neglects to tell parents that two freshman died. One o.d, one hit&amp;run by campus bus, PLUS, 2 attempted sexual assaults women running near campus. 👏🏻👏🏻👏🏻"
33,Fri Oct 23 18:29:35 +0000 2020,@SyracuseU My Lil Cuz... 🍊🍊🍊
34,Fri Oct 23 18:16:09 +0000 2020,"@TRACReports @SyracuseUNews @SyracuseU @MotherJones @nlanard @ClaraJeffery Yes, very selective for the text of the tweet #fakenews"
