,created_at,full_text
0,Mon Oct 26 18:28:45 +0000 2020,@PRDiva91 @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv I need to get some money to do it.
1,Mon Oct 26 18:02:35 +0000 2020,"Data from a randomized controlled trial at @TempleUniv  showed that #babyboxes may play an important role in promoting #breastfeeding and reducing bed-sharing-- both important ways to reduce the risk of #SIDS. 
2/4"
2,Mon Oct 26 15:19:41 +0000 2020,"@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv DO it!! :D It's never too late, my friend!"
3,Mon Oct 26 14:47:21 +0000 2020,@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv That's the timeframe when it's free for college/university students: Tuesdays-Fridays from 3-5 pm
4,Mon Oct 26 14:47:02 +0000 2020,@PRDiva91 @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv This makes me want to get back to school.
5,Mon Oct 26 14:15:10 +0000 2020,"@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv If visiting on Tuesdays-Fridays from 3-5 pm, students must show their ID from their college or university."
6,Mon Oct 26 14:13:45 +0000 2020,"@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv Thanks, @eyepicyou :D"
7,Mon Oct 26 14:08:02 +0000 2020,@PRDiva91 @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum You missed  @DelawareCCC
8,Mon Oct 26 12:25:10 +0000 2020,@Ldoc32 @TempleUniv @TUKleincollege Thanks Larry!
9,Mon Oct 26 11:37:11 +0000 2020,"RT @TempleAlumniLA: @TempleUniv @TempleAlumni @TUBAAOwls @TUKleincollege @AttorneyCrump Thanks, @TempleUniv! This was a great program we we…"
10,Mon Oct 26 04:52:30 +0000 2020,"@TempleUniv @TempleAlumni @TUBAAOwls @TUKleincollege @AttorneyCrump Thanks, @TempleUniv! This was a great program we were thrilled to host!"
11,Mon Oct 26 04:51:21 +0000 2020,"@TiannaKelly_ @TempleUniv My advisor said classes would be available today but I see nothing. So I’m gonna wait until proper hours 

This is ridiculous though like truly everyone has ants in their pants trying to figure out the Spring"
12,Mon Oct 26 04:50:28 +0000 2020,@_hafeezat @TempleUniv November
13,Mon Oct 26 04:49:29 +0000 2020,Hi @TempleUniv please when can I view classes for the spring? I need to send my availability to internships ASAP
14,Sun Oct 25 23:53:06 +0000 2020,@benjaminshannon @WhenWeAllVote @sixers @WCKitchen @TempleUniv Thank you!
15,Sun Oct 25 23:42:57 +0000 2020,@MaryMarky @WhenWeAllVote @sixers @WCKitchen The early voting site @TempleUniv! I wish voter suppression efforts didn’t create these long lines across the country. But I can’t think of a better way to overcome them than a joyous  dance party.
16,Sun Oct 25 22:51:38 +0000 2020,"@TempleUniv Really tired of hearing about Temple Football. Get the students back to class. If football team can travel and play, let the students have classes."
17,Sun Oct 25 20:43:24 +0000 2020,@hbryant42 @TempleUniv Repress or original? and you ought to post a couple pics of your stereo setup. That'd be cool.
18,Sun Oct 25 20:13:47 +0000 2020,@AshleyPorteeyo @TempleUniv This administration has to focus more on this pandemic!
19,Sun Oct 25 20:06:53 +0000 2020,@TempleUniv Amen!!
20,Sun Oct 25 19:41:59 +0000 2020,@hbryant42 @TempleUniv @hbryant42 what’s your list of jazz saxophonists you wish u could have seen at their peak?
21,Sun Oct 25 17:39:41 +0000 2020,@StuffJudeSays @waltshaub @TempleUniv That sounds like a perfect choice.
22,Sun Oct 25 17:37:20 +0000 2020,@TempleUniv Why are students on campus during a pandemic?
23,Sun Oct 25 17:11:20 +0000 2020,@Tsiser45 @waltshaub It’s probably @TempleUniv for me anyway since I can ride my bike there 🤷🏻‍♂️
24,Sun Oct 25 13:29:11 +0000 2020,"@HKrassenstein @realDonaldTrump @SeanParnellUSA @TheJusticeDept Hey, it is to some degree. Drove in to take my daughter to lunch (go @TempleUniv) and we stopped at a nice outdoor Greek rest. on Fairmount and they weren't sure if the cooks had started making the soutzoukaki. But fortunately they had and we enjoyed our lunch and then a walk."
25,Sun Oct 25 04:44:41 +0000 2020,@RAKarl @TempleUniv @CENFAD Awesome!! Should be a great talk @RAKarl
