,created_at,full_text
0,Mon Oct 26 18:41:25 +0000 2020,@thatgueropaul @TAMU Nice! Congrats Paul!
1,Mon Oct 26 18:33:22 +0000 2020,@thatgueropaul @TAMU Congrats Paul!
2,Mon Oct 26 18:26:04 +0000 2020,@flyeasterwood @TAMU @catlovertamjo @melissaadkins71 @LuvtoDream86 Have a  great week everybody and thanks for the chance! 🥳🎉 #tamu #giveaway
3,Mon Oct 26 18:22:40 +0000 2020,"RT @RaidersGoCenter: Congratulations to the following Seniors: @UTRGVadmissions @TAMU @PSJANORTHECHS 
Jose A. Gonzalez-Texas A&amp;M College St…"
4,Mon Oct 26 18:19:06 +0000 2020,"Congratulations to the following Seniors: @UTRGVadmissions @TAMU @PSJANORTHECHS 
Jose A. Gonzalez-Texas A&amp;M College Station
Alyssa Martinez-The University of Texas-RGV
Seniors-email us your acceptances!!"
5,Mon Oct 26 17:48:06 +0000 2020,"@CalZole @TAMU If you don’t make money, what’s the point? TAMU is here for the $$$$"
6,Mon Oct 26 17:46:54 +0000 2020,@TAMU Vote for me!
7,Mon Oct 26 17:01:56 +0000 2020,@HARRISFAULKNER The Tax subsidy that Marie speaks of is the Oil Depletion Allowance - to extract oil reserves owned by Big Oil and to property owners &amp; institutions like @UnivOfTexas @Harvard @TAMU &amp; many other institutions Billions go to Education on Dem Terms Marie is lying
8,Mon Oct 26 17:01:45 +0000 2020,"@drhollira @TAMU Howdy @drhollira! You can buy maroon bluebonnet seeds from online suppliers like Wildseed Farms. Bluebonnets do well when planted mid- to late-Fall before the first freeze, so you have a little time left, depending on where you live in Texas! DM us any questions you have 👍"
9,Mon Oct 26 16:06:49 +0000 2020,RT @samanthuhhhhhhh: @tamu please i am BEGGING you to change classes to p/f
10,Mon Oct 26 15:59:08 +0000 2020,@tamu please i am BEGGING you to change classes to p/f
11,Mon Oct 26 15:28:04 +0000 2020,Day 231 - Please bring Pluckers to College Station @Pluckers @TAMU @TexAgs
12,Mon Oct 26 14:33:25 +0000 2020,@TAMU Awesome.
13,Mon Oct 26 14:10:15 +0000 2020,@TAMU @AggieHabitat @BCSHabitat Hi! That must be an older account. Our current account is @habitatbcs and our new podcast is @thinkbrazos!
14,Mon Oct 26 13:34:29 +0000 2020,"RT @AshaWinfield: I'm wondering who I have to beg to make this happen, but here goes my academic shot. My dissertation looks at Black women…"
15,Mon Oct 26 12:59:26 +0000 2020,I just read your university still lab tests on dogs? Please stop. #stopanimaltesting @TAMU
16,Mon Oct 26 11:22:19 +0000 2020,"I'm wondering who I have to beg to make this happen, but here goes my academic shot. My dissertation looks at Black women's biopics and their impacts on Black American women and I would love to screen @RespectMovie @TAMU with my focus groups.  #BlackStoriesMatter @IAMJHUD help!"
17,Mon Oct 26 01:10:35 +0000 2020,@rolandsmartin I heard Ann Richards speak on campus when I was a student at @TAMU. She was incredibly funny and brilliant.
18,Mon Oct 26 00:36:55 +0000 2020,@TamikaHoldman @TAMU I often regret not following him to Katy.
19,Mon Oct 26 00:36:15 +0000 2020,@TamikaHoldman @TAMU He really cared about everyone. Very professional.
20,Mon Oct 26 00:33:13 +0000 2020,@APUSH35207 @TAMU Oh I love Mr. Frailey. I was sad to see him go.
21,Mon Oct 26 00:28:22 +0000 2020,@TamikaHoldman @TAMU Alton Frailey was my superintendent in DeSoto. I do miss Texas at times.
22,Mon Oct 26 00:25:15 +0000 2020,@APUSH35207 @TAMU Gig Em.
23,Mon Oct 26 00:24:42 +0000 2020,"@TamikaHoldman @TAMU I am somewhat of Aggie Fan. A few of my students from DeSoto  played football there. Cyrus, Tony and Von."
24,Sun Oct 25 22:00:25 +0000 2020,"I know everybody is imperfect in one way or another but @haileykaykinsel has got to be as close as it gets. Not only is she gorgeous, she's a @TAMU Aggie which means she's smart. She's a heck of a horsewoman with quite a steed. And she's strong in her faith and beliefs.#Dreamgirl"
25,Sun Oct 25 20:59:40 +0000 2020,@Carmeli68160499 @KendalDaniels__ @CoachIsh_TAMU @CoachMikeElko @AggieFootball @12thMan @TAMU GigEm! Cant wait!
26,Sun Oct 25 20:15:21 +0000 2020,"@TAMU @TAMU, where can we get #maroonbonnett seeds?"
27,Sun Oct 25 15:54:48 +0000 2020,Day 230 - Please bring Pluckers to College Station @Pluckers @TAMU @TexAgs
28,Sun Oct 25 15:32:30 +0000 2020,@Carmeli68160499 @KendalDaniels__ @CoachIsh_TAMU @CoachMikeElko @AggieFootball @12thMan @TAMU Gig’em 👍
29,Sun Oct 25 15:05:14 +0000 2020,"@kirkjangel Lefty-Loosey, Righty-Tighty 😁 ... if it weren't for being shunned at work @TAMU I wouldn't have learned that I can pick up &amp; carry a 3/4"" sheet of plywood by Myself. Which is ultimately how I ever thought I could do STXCOURT pro se. ☯️"
30,Sun Oct 25 14:39:29 +0000 2020,@Carmeli68160499 @KendalDaniels__ @CoachIsh_TAMU @CoachMikeElko @AggieFootball @12thMan @TAMU You should be proud.  I know you are.
31,Sun Oct 25 14:37:35 +0000 2020,@TAMU @TAMUagronomy @The12thCanTAMU I don’t have a Facebook.  Is there another way to link sign up if you open again next weekend ?
32,Sun Oct 25 14:35:18 +0000 2020,@TAMU @TAMUagronomy @The12thCanTAMU Reservations went so fast we were denied at the gate this weekend.  Please open up more for next weekend !  Happy to bring more cans.  ...
33,Sun Oct 25 13:24:32 +0000 2020,@Carmeli68160499 @KendalDaniels__ @CoachIsh_TAMU @CoachMikeElko @AggieFootball @12thMan @TAMU He will love them momma great ppl such sweet spirit at Texas A&amp;M he will it there but we know everyday is not going to be like peaches and cream I put minds in Gods hands and Congratulations
