,created_at,full_text
0,Mon Oct 26 04:32:57 +0000 2020,RT @WeAACT: Did you know? @TCU has more skeletons in the closet than they are letting on. A thread. (1/8)
1,Mon Oct 26 00:39:22 +0000 2020,RT @WeAACT: Did you know? @TCU has more skeletons in the closet than they are letting on. A thread. (1/8)
2,Sun Oct 25 19:19:56 +0000 2020,RT @WeAACT: Did you know? @TCU has more skeletons in the closet than they are letting on. A thread. (1/8)
3,Sun Oct 25 18:58:52 +0000 2020,RT @WeAACT: Did you know? @TCU has more skeletons in the closet than they are letting on. A thread. (1/8)
4,Sun Oct 25 18:09:38 +0000 2020,RT @WeAACT: Did you know? @TCU has more skeletons in the closet than they are letting on. A thread. (1/8)
5,Sun Oct 25 17:41:36 +0000 2020,RT @WeAACT: Did you know? @TCU has more skeletons in the closet than they are letting on. A thread. (1/8)
6,Sun Oct 25 17:38:28 +0000 2020,RT @WeAACT: Did you know? @TCU has more skeletons in the closet than they are letting on. A thread. (1/8)
7,Sun Oct 25 16:52:26 +0000 2020,@BT_Spectrum @ActivistMMT @RohanS83116913 @MacroVoices @ErikSTownsend @PatrickCeresna @StephanieKelton @TCU Where does it work?
8,Sun Oct 25 15:03:55 +0000 2020,"@KarenOfKarens1 @ActivistMMT @RohanS83116913 @MacroVoices @ErikSTownsend @PatrickCeresna @StephanieKelton @TCU Probably because there are plenty of countries where it currently does work, and others that would, if not for political will, or lack thereof. #MMT is here, it isn't going anywhere, and it behooves us all to learn our operational reality. 
The only thing stopping us, is Us. #MMT"
9,Sun Oct 25 12:48:20 +0000 2020,"@ActivistMMT @BT_Spectrum @RohanS83116913 @MacroVoices @ErikSTownsend @PatrickCeresna @StephanieKelton @TCU Just saying “money is created” oversimplifies what is actually happening.   If you want the poor, oppressed, and underprivileged to be in extreme poverty, MMT is the way to go.  Other nations have done this in history.  What makes you think it will end differently for us?"
10,Sun Oct 25 12:45:45 +0000 2020,@alliewlamb @TCU @TCUFootball Absolutely gorgeous!!!! In love😍😍😍
11,Sun Oct 25 11:16:27 +0000 2020,@LenaBlietz @TCUFootball @JDonati_TCU @TCU Who cares
12,Sun Oct 25 05:05:24 +0000 2020,@richardPlusPlus @LenaBlietz @TCUFootball @JDonati_TCU @TCU I just want to do the best thing for my fellow humans when I’m out and I can’t help but wonder if there’s some small level of protection for yourself. But ultimately it’s about keeping others safe in case you’re infected. Love one another or at least be kind and respectful 😊
13,Sun Oct 25 04:23:11 +0000 2020,RT @WeAACT: Did you know? @TCU has more skeletons in the closet than they are letting on. A thread. (1/8)
14,Sun Oct 25 04:07:01 +0000 2020,@ryjpeepee @TCU “I went to (insert college) so I arbitrarily decide to give them hell yeahs”
15,Sun Oct 25 03:57:13 +0000 2020,"@coopmavs @TCUCoachP but it was there.  Typical 
@TCU
 
@TCUFootball
 
@TCUCoachP
  scum.  Seriously Coop?  It was there, you lied and proof was provided.  I know you are TCU loyalist but call the BS out with Patterson and the mask."
16,Sun Oct 25 02:43:51 +0000 2020,"#CollegeFootball fans be like, “my cousins ex-girlfriend’s brother took a couple semesters at @TCU so we BLEED purple and white.”"
17,Sun Oct 25 01:18:52 +0000 2020,@alliewlamb @TCU @TCUFootball Omg look at that beautiful face!!!  Congratulations!!!
18,Sun Oct 25 00:58:16 +0000 2020,"@LenaBlietz @Callen_ma_toAM @TCUFootball @JDonati_TCU @TCU Regrettably, we are clearly not all trying to do that."
19,Sun Oct 25 00:38:43 +0000 2020,"Attention of Alumni of Color of @TCU @TCUAlumni 

Please #Boycott TCU for historic racist policies and disenfranchisement of minority students. Refrain from any monetary or affiliation with the school"
