,created_at,full_text
0,Mon Oct 26 03:08:10 +0000 2020,"@EliMill3r @rebollarjalen @txst honestly be sus as hell with our money and I want to know where it’s all going especially when less than half the student body is actually on campus and using facilities, that were  ALL STILL paying for 🙄🙄🙄"
1,Sun Oct 25 20:23:24 +0000 2020,@reggieboi37 @Dasbat11_ @reginaenae_ @txst @concordiatx @HustonTillotson One of Kurtis's old coaches played at Concordia. That's why I was checking that school out.
2,Sun Oct 25 19:38:20 +0000 2020,I would be willing to wager that about 85% of all bobcats still take staircases 2 steps at a time @txst #txst #eatemup
3,Sun Oct 25 16:05:12 +0000 2020,"@brandietn @Dasbat11_ @reginaenae_ @txst @concordiatx @HustonTillotson The Txst he is used to , been there so many times, Concordia was nice and different, opportunity to play basketball, HT was aight. He said lol"
4,Sun Oct 25 15:53:39 +0000 2020,@SouthpawEdu Please reflect @txst in your profile and not just UT
5,Sun Oct 25 10:54:35 +0000 2020,@reggieboi37 @Dasbat11_ @reginaenae_ @txst @concordiatx @HustonTillotson How did he like them? Looking at 2 of those as well.
6,Sun Oct 25 05:41:50 +0000 2020,"Just getting back to the crib, after a Saturday of College Visits with @Dasbat11_  got a chance to go see my oldest @reginaenae_ !    @txst  @concordiatx  @HustonTillotson"
7,Sun Oct 25 04:47:26 +0000 2020,@Keff_C @txst Yeah I agree vitt hasn’t always done well against Tory  but McBride didn’t do much better against them this year. And again this Vitt didn’t have the line and weapons we have this year.
8,Sun Oct 25 04:41:14 +0000 2020,@Keff_C @txst He had a hell of a game.
9,Sun Oct 25 04:39:19 +0000 2020,@Keff_C @txst And I understand you can’t be bias but I mean he’s not doing good the he’s is improving and needs more rep can’t be an acceptable answer to fans maybe to the media it can but not to fans.
10,Sun Oct 25 04:38:01 +0000 2020,"@Keff_C @txst Most of the time the pocket breaks down cause he rolls so much. He loves to roll to his right and throw across his body. That’s not starter material.  He just did it again. 
Spav answer to your question is he improved but there is little follow up after that."
11,Sun Oct 25 04:37:17 +0000 2020,@roquesalinas2 @txst And Vitt threw four picks vs USA last year so...
12,Sun Oct 25 04:35:59 +0000 2020,@roquesalinas2 @txst USA beat ULM 38-14 today. They aren’t the same level.
13,Sun Oct 25 04:34:03 +0000 2020,@vol_jr @CBSSports @TxStateBobcats @txst @DanielsonCBS Half the week Georgia thong
14,Sun Oct 25 04:33:44 +0000 2020,"@roquesalinas2 @txst I have. Multiple times. Paraphrased answer: McBride extends plays with his feet  and is better at throwing on the run when the pocket breaks down. 

You act like this is a tough question for me to ask him. QB controversy all season, I’ve asked this plenty. Pretty standard."
15,Sun Oct 25 04:33:12 +0000 2020,@Keff_C @txst That means that he’s not really to start so put in vitt.
16,Sun Oct 25 04:32:45 +0000 2020,"@kngsport @CBSSports @TxStateBobcats @txst @CBSSports @DanielsonCBS

Get rid of Danielson. He is awful. I bet he wears Alabama underwear."
17,Sun Oct 25 04:32:45 +0000 2020,@Keff_C @txst Fine then play him more to see what he can do against other team. And USA last week isn’t much higher on that list and McBride didn’t do good against them. Vitt did what he should have done against a bad team and McBride didn’t that’s my point.
18,Sun Oct 25 04:30:08 +0000 2020,"@roquesalinas2 @txst Played well against ULM, arguably the worst team in FBS."
19,Sun Oct 25 04:29:55 +0000 2020,@Keff_C @txst Then ask them on Tuesday why he doesn’t play vitt? Why does he continue to play with this guy? We saw vitt do good so what’s the hold up? Ask him. The whole yeah he needs more rep is over he has had 5 starts and they all look the same under 200 yards a game.
20,Sun Oct 25 04:27:44 +0000 2020,"@Keff_C @txst Yes vitt did throw picks but he didn’t have the team that McBride had this team. He didn’t have this offensive lines, these running backs, there is a reason Spav brought in 53 new players. When vitt played this year he did very well. If you aren’t worried about the spav or txst.."
21,Sun Oct 25 04:25:47 +0000 2020,@roquesalinas2 @txst You say “basic knowledge” but also say McBride looks down his receiver too much when that is exactly Vitt’s problem.
22,Sun Oct 25 04:24:15 +0000 2020,@roquesalinas2 @txst Bite the hand that feeds me? Bro. Idc who plays QB and I definitely don’t care about biting anyone’s hand. TXST or Spav or McBride doesn’t feed me. I don’t work for them. Vitt has thrown more interceptions than I can remember. So they are trying McBride. Too early to say he sucks
23,Sun Oct 25 04:10:33 +0000 2020,@Keff_C @txst Are you related to McBride? why do you continue to support the way this team is being managed? I understand it’s your job to report on the team and you don’t want to bite the hand that feeds you but Anyone with any basic knowledge knows that McBride is not doing a good job.
24,Sun Oct 25 04:07:10 +0000 2020,@Keff_C @txst he have been given too many opportunities hasn’t showed he’s the guy. This is simple Analysis of his play. If I was related to vitt I would have told him to quit the team for getting disrespected this year and last year too. It’s a shame what they are doing to him.
25,Sun Oct 25 04:03:14 +0000 2020,@Derrich @txst I mean McBride is 9-19 92 yards. But since he witness spav murder a random person he will not take him out and in fact spin how good he did against BYU in the media. I agree we want vitt!!!!
26,Sun Oct 25 04:02:07 +0000 2020,@roquesalinas2 @txst You’ve hated McBride from the jump. You related to Vitt or something?
27,Sun Oct 25 04:00:28 +0000 2020,@Keff_C @txst He telegraphed who he was throwing it too the whole play before he rolled to his right and did the side arm. I don’t want Johnny football I want a consistent qb who knows how to read and go through the progression McBride is not that.
28,Sun Oct 25 03:44:25 +0000 2020,@CBSSports #danielson    should take lessons from commentators calling @TxStateBobcats @txst game. Compliments to both teams. No drooling over either team! No bias!!!! #VOLS #BobcatNation
29,Sun Oct 25 03:08:24 +0000 2020,@Keff_C @txst There is that 3 linemen and drop 8 zone. Might as well just remove 6 mins and give them 7 points. They are going to score again.
30,Sun Oct 25 02:59:33 +0000 2020,@only1tommadden @txst @TxStateAlumni @TXSTATEFOOTBALL @espn Nice to hear bobbleheads have nice things to say about #EatEmUp
31,Sun Oct 25 02:24:01 +0000 2020,"Come on @espn, switch over to the @TxSt game!! This LSU game is a blowout and I want to watch Texas State!! 😡"
32,Sat Oct 24 20:35:03 +0000 2020,@DrMattPettway @Baylor @txst @TXSTHistory @purduedepthist @PurdueLibArts @BUTheology @SAISHopkins @TeamLufkinISD Thank you 🙏🏾
33,Sat Oct 24 19:42:36 +0000 2020,@RonAJohnson @Baylor @txst @TXSTHistory @purduedepthist @PurdueLibArts @BUTheology @SAISHopkins @TeamLufkinISD Congratulations
34,Sat Oct 24 18:25:33 +0000 2020,@only1tommadden @TxStateAlumni @txst @CheathamStreet @GrueneHallTX So true Tom
35,Sat Oct 24 18:10:34 +0000 2020,@only1tommadden @TxStateAlumni @txst @CheathamStreet @GrueneHallTX Cheatham is a weird place. Oozes country cool. Garcia’s across street is major bonus points.
36,Sat Oct 24 17:15:57 +0000 2020,"RT @txst: There’s a cool front on the horizon, Bobcats! Y’all ready?"
37,Sat Oct 24 16:14:11 +0000 2020,"RT @txst: There’s a cool front on the horizon, Bobcats! Y’all ready?"
38,Sat Oct 24 12:53:28 +0000 2020,@DecisionsDirect @rachael_hazz @wfaa @txst Thank you DDD!
39,Sat Oct 24 04:28:18 +0000 2020,@rachael_hazz @GloriaCampos @wfaa @txst Congrats!  @GloriaCampos is an inspiration to so many!
40,Sat Oct 24 03:40:36 +0000 2020,"RT @txst: There’s a cool front on the horizon, Bobcats! Y’all ready?"
41,Sat Oct 24 02:08:42 +0000 2020,If @txst wanted some money they should’ve put a @Whataburger on campus instead of another starbucks
42,Sat Oct 24 01:24:27 +0000 2020,"RT @txst: There’s a cool front on the horizon, Bobcats! Y’all ready?"
43,Fri Oct 23 21:39:34 +0000 2020,@GCMAVID @txst Congratulations!
44,Fri Oct 23 21:23:32 +0000 2020,@txst Can’t wait! 🥳
