,created_at,full_text
0,Mon Oct 26 18:36:25 +0000 2020,@KM_Hutchins @acsprf @TTUChemGrad @TexasTech Congrats!! 🎉
1,Mon Oct 26 18:31:21 +0000 2020,@KM_Hutchins @acsprf @TTUChemGrad @TexasTech Congrats Kristin! 🎉😀
2,Mon Oct 26 18:26:34 +0000 2020,@KM_Hutchins @acsprf @TTUChemGrad @TexasTech Congratulations!!
3,Mon Oct 26 18:14:53 +0000 2020,@KM_Hutchins @acsprf @TTUChemGrad @TexasTech Congrats!
4,Mon Oct 26 18:13:37 +0000 2020,@ChemDaly @FindlaterGroup @TTUChem @TTUChemGrad @TexasTech Thanks Scott!
5,Mon Oct 26 17:41:41 +0000 2020,@FindlaterGroup @TTUChem @TTUChemGrad @TexasTech Thanks Michael!!
6,Mon Oct 26 17:39:56 +0000 2020,I am excited to share that my group's ACS PRF Doctoral New Investigator proposal has been funded! We are excited to investigate motion-capable molecules derived from petrochemicals! Thank you @acsprf for the support! @TTUChemGrad @TexasTech
7,Mon Oct 26 17:29:38 +0000 2020,It sucks that the two football teams I love more than anything turn out the same results every week 😣 @TexasTech @dallascowboys
8,Mon Oct 26 17:00:57 +0000 2020,@DALLASBRADEN209 You went to @TexasTech so a return to Texas for all your family could do you all really good.
9,Mon Oct 26 16:01:15 +0000 2020,@FindlaterGroup @KM_Hutchins @TTUChem @TTUChemGrad @TexasTech Congrats @KM_Hutchins!!!
10,Mon Oct 26 15:02:07 +0000 2020,More junior faculty awesomeness! Huge congratulations to @KM_Hutchins on her recent award from ACS-PRF to support her amazing work on thermal expansion materials and motion-capable groups. Yay Kristin! @TTUChem @TTUChemGrad @TexasTech
11,Mon Oct 26 14:29:21 +0000 2020,"@golfweek That really stinks for #KyleHogan we will definitely be seeing more of him. Wish all who have been contacted a speedy, healthy and safe recovery. @TexasTech @TexasTechMGolf"
12,Mon Oct 26 05:09:23 +0000 2020,@DrChristyRogers @TTUWGS @TexasTech Congratulations!
