,created_at,full_text
0,Thu Oct 22 18:53:55 +0000 2020,@BKendallMD @TTUHSCSurgery @traumadoctorsam @AcademicSurgery @TexasTech @ttuhscmed @TTUHSC @WomenSurgeons @_workingmother_ 100% agree! This was always huge for me!
1,Thu Oct 22 17:19:32 +0000 2020,@Shri_doctor @ASH_hematology @drsomedeb @NadhikariMD @TTUHSC @ttuhscmed @NorthernLightH Yesss....Let’s rock &amp; roll! 👌👍🎉🎈
2,Wed Oct 21 21:04:23 +0000 2020,@BKendallMD @TTUHSCSurgery @TTUHSC @TexasTech @AcademicSurgery @traumadoctorsam @cityoflubbock Absolutely!
3,Wed Oct 21 20:12:39 +0000 2020,@BKendallMD @TTUHSCSurgery @TTUHSC @TexasTech @AcademicSurgery @traumadoctorsam @cityoflubbock In love with surgery😍
4,Wed Oct 21 19:43:36 +0000 2020,@BKendallMD @TTUHSCSurgery @TTUHSC @TexasTech @AcademicSurgery @traumadoctorsam @cityoflubbock ❤️ academics is the best
5,Wed Oct 21 16:13:15 +0000 2020,RT @TTUHSC_Student: Today is Financial Aid Day! We celebrate and recognize the contributions of FA professionals across the USA for helping…
6,Wed Oct 21 13:03:10 +0000 2020,"Today is Financial Aid Day! We celebrate and recognize the contributions of FA professionals across the USA for helping students make their dreams a reality.
 
We’re proud to process over $94 million in financial aid annually to @TTUHSC students."
7,Tue Oct 20 18:10:51 +0000 2020,@BKendallMD @TTUHSCSurgery @traumadoctorsam @AcademicSurgery @TexasTech @ttuhscmed @TTUHSC @WomenSurgeons @_workingmother_ Shared Decision making process :-)
8,Tue Oct 20 13:10:01 +0000 2020,"@BKendallMD @TTUHSCSurgery @traumadoctorsam @AcademicSurgery @TexasTech @ttuhscmed @TTUHSC @WomenSurgeons @_workingmother_ Normalizing family by talking about it is the right way to go, and sets the stage for both your family and others."
9,Tue Oct 20 12:52:34 +0000 2020,@WendelynOslock @BKendallMD @TTUHSCSurgery @traumadoctorsam @AcademicSurgery @TexasTech @ttuhscmed @TTUHSC @WomenSurgeons @_workingmother_ A good family friendly program will be more than happy to discuss it with you! A program who doesn’t want to is probably a program you don’t want to be at anyway if they’re not going to be supportive
10,Tue Oct 20 03:16:58 +0000 2020,@BKendallMD @TTUHSCSurgery @traumadoctorsam @AcademicSurgery @TexasTech @ttuhscmed @TTUHSC @WomenSurgeons @_workingmother_ Agree 100%. Good programs are those that support work and family
11,Mon Oct 19 18:32:00 +0000 2020,RT @redraiderpulmcc: Ok I’m a bonehead!  I left off two:  Dr Vangipuram and Dr Zitun with one each for 43 case reports and abstracts total!…
12,Mon Oct 19 18:28:36 +0000 2020,"Ok I’m a bonehead!  I left off two:  Dr Vangipuram and Dr Zitun with one each for 43 case reports and abstracts total! Proud of you, Red Raiders!  @ttuhscmed @TTUHSC #CHEST2020 @accpchest"
13,Mon Oct 19 18:02:29 +0000 2020,@redraiderpulmcc @accpchest @XimenaSolisMD @TTUHSC @ttuhscmed @AruneeMotes @BarbaraMantill3 @hashamsarwar @ssjaroudi Wow!!! Congrats!!! We gotta step our game up next year! @EmoryPCCM
14,Sun Oct 18 17:58:21 +0000 2020,@wphipmd @TanyaLaidlawMD @MLouisiasMD @PaigeWickner @KhouryMD @KimberlyBlumen1 @AliRaja_MD @drjessigold @CoherenceMed @meganranney @sue_bornstein @SusanHingle @MCarneyMD @DelthiaRicks @DrAmyParish @WednesdayMartin @chngin_the_wrld @Paleophile @DanielaSieff @Australia @guacamolebio @KimberlyRicks1 @maggiemfox @MishaLawless @MParshleyMD @doctorbecca1 @sagar_ankita @dhpomerantz @DarilynMoyer @PDX_Tom @csdaisysmith @TTUHSC @ProfMJansen @DrSinhaEsq @EmmyBetz @StrohCunningham @NicoleNugentPhD @RobinCogan @elliotthaut @taylorswift13 @rascalflatts @kirstenwilkns @janevandis @DrJoanCook @chandan_khandai @Twitter @GoldmanSachs @HarvardExt @sokol_mdphd @USdrugallergy Letters here also.
15,Sun Oct 18 17:00:28 +0000 2020,RT @redraiderpulmcc: @BegMoeez @palo_sanchez @b_ritt23 Proud of you Red Raiders! @TTUHSC #CHEST2020 @accpchest
16,Sun Oct 18 16:58:10 +0000 2020,@BegMoeez @palo_sanchez @b_ritt23 Proud of you Red Raiders! @TTUHSC #CHEST2020 @accpchest
17,Sun Oct 18 15:34:39 +0000 2020,@KimberlyBlumen1 @MLouisiasMD @PaigeWickner @KhouryMD @AliRaja_MD @drjessigold @CoherenceMed @meganranney @sue_bornstein @SusanHingle @MCarneyMD @DelthiaRicks @DrAmyParish @WednesdayMartin @chngin_the_wrld @Paleophile @DanielaSieff @Australia @guacamolebio @KimberlyRicks1 @maggiemfox @MishaLawless @MParshleyMD @doctorbecca1 @sagar_ankita @dhpomerantz @DarilynMoyer @PDX_Tom @Sting64r @csdaisysmith @TTUHSC @ProfMJansen @DrSinhaEsq @EmmyBetz @StrohCunningham @NicoleNugentPhD @RobinCogan @elliotthaut @taylorswift13 @rascalflatts @kirstenwilkns @janevandis @DrJoanCook @chandan_khandai @Twitter @GoldmanSachs @HarvardExt @sokol_mdphd @TanyaLaidlawMD @USdrugallergy Thanks!
18,Sun Oct 18 14:46:21 +0000 2020,@wphipmd @MLouisiasMD @PaigeWickner @KhouryMD @AliRaja_MD @drjessigold @CoherenceMed @meganranney @sue_bornstein @SusanHingle @MCarneyMD @DelthiaRicks @DrAmyParish @WednesdayMartin @chngin_the_wrld @Paleophile @DanielaSieff @Australia @guacamolebio @KimberlyRicks1 @maggiemfox @MishaLawless @MParshleyMD @doctorbecca1 @sagar_ankita @dhpomerantz @DarilynMoyer @PDX_Tom @Sting64r @csdaisysmith @TTUHSC @ProfMJansen @DrSinhaEsq @EmmyBetz @StrohCunningham @NicoleNugentPhD @RobinCogan @elliotthaut @taylorswift13 @rascalflatts @kirstenwilkns @janevandis @DrJoanCook @chandan_khandai @Twitter @GoldmanSachs @HarvardExt @sokol_mdphd @TanyaLaidlawMD @USdrugallergy Welcome to Twitter Wanda!
19,Sun Oct 18 14:26:18 +0000 2020,@TanyaLaidlawMD @MLouisiasMD @PaigeWickner @KhouryMD @KimberlyBlumen1 @AliRaja_MD @drjessigold @CoherenceMed @meganranney @sue_bornstein @SusanHingle @MCarneyMD @DelthiaRicks @DrAmyParish @WednesdayMartin @chngin_the_wrld @Paleophile @DanielaSieff @Australia @guacamolebio @KimberlyRicks1 @maggiemfox @MishaLawless @MParshleyMD @doctorbecca1 @sagar_ankita @dhpomerantz @DarilynMoyer @PDX_Tom @Sting64r @csdaisysmith @TTUHSC @ProfMJansen @DrSinhaEsq @EmmyBetz @StrohCunningham @NicoleNugentPhD @RobinCogan @elliotthaut @taylorswift13 @rascalflatts @kirstenwilkns @janevandis @DrJoanCook @chandan_khandai @Twitter @GoldmanSachs @HarvardExt @sokol_mdphd @USdrugallergy Yes. This will hopefully change. We are also very underrepresented on promotion and search committees for senior positions but they try. Since there are so few of us - the same women get asked over and over.  I’m happy to write the letters when it’s your turn ladies
20,Sun Oct 18 14:23:55 +0000 2020,"@wphipmd @MLouisiasMD @PaigeWickner @KhouryMD @KimberlyBlumen1 @AliRaja_MD @drjessigold @CoherenceMed @meganranney @sue_bornstein @SusanHingle @MCarneyMD @DelthiaRicks @DrAmyParish @WednesdayMartin @chngin_the_wrld @Paleophile @DanielaSieff @Australia @guacamolebio @KimberlyRicks1 @maggiemfox @MishaLawless @MParshleyMD @doctorbecca1 @sagar_ankita @dhpomerantz @DarilynMoyer @PDX_Tom @Sting64r @csdaisysmith @TTUHSC @ProfMJansen @DrSinhaEsq @EmmyBetz @StrohCunningham @NicoleNugentPhD @RobinCogan @elliotthaut @taylorswift13 @rascalflatts @kirstenwilkns @janevandis @DrJoanCook @chandan_khandai @Twitter @GoldmanSachs @HarvardExt @sokol_mdphd @USdrugallergy Very true, although considering how few full Professors in Allergy there are at Harvard Medical School in general, my guess is that the 3 of you actually make for a very high percentage of female professors compared to most specialties!"
21,Sun Oct 18 14:21:25 +0000 2020,"@MLouisiasMD @PaigeWickner @KhouryMD @KimberlyBlumen1 @AliRaja_MD @drjessigold @CoherenceMed @meganranney @sue_bornstein @SusanHingle @MCarneyMD @DelthiaRicks @DrAmyParish @WednesdayMartin @chngin_the_wrld @Paleophile @DanielaSieff @Australia @guacamolebio @KimberlyRicks1 @maggiemfox @MishaLawless @MParshleyMD @doctorbecca1 @sagar_ankita @dhpomerantz @DarilynMoyer @PDX_Tom @Sting64r @csdaisysmith @TTUHSC @ProfMJansen @DrSinhaEsq @EmmyBetz @StrohCunningham @NicoleNugentPhD @RobinCogan @elliotthaut @taylorswift13 @rascalflatts @kirstenwilkns @janevandis @DrJoanCook @chandan_khandai @Twitter @GoldmanSachs @HarvardExt @sokol_mdphd @TanyaLaidlawMD @USdrugallergy I just joined Twitter and saw this. There are only 3 full professor women allergists at Harvard. Mariana Castells, Lynda Schneider and me."
22,Sat Oct 17 21:23:57 +0000 2020,"RT @hashamsarwar: @DrMStiegler 1. Hasham. First year PCCM fellow @TTUHSC. Presenting case reports at first ever CHEST meeting.
2. Being tra…"
