,created_at,full_text
0,Mon Oct 26 18:07:23 +0000 2020,RT @EmmaSaltzberg: It’s weird to get an email from @NewSchoolAlumni about spring plans that doesn’t even mention the 120+ layoffs of staff…
1,Mon Oct 26 17:44:44 +0000 2020,RT @EmmaSaltzberg: It’s weird to get an email from @NewSchoolAlumni about spring plans that doesn’t even mention the 120+ layoffs of staff…
2,Mon Oct 26 17:25:37 +0000 2020,RT @EmmaSaltzberg: It’s weird to get an email from @NewSchoolAlumni about spring plans that doesn’t even mention the 120+ layoffs of staff…
3,Mon Oct 26 17:09:00 +0000 2020,"It’s weird to get an email from @NewSchoolAlumni about spring plans that doesn’t even mention the 120+ layoffs of staff (who made my time @TheNewSchool possible) or the courageous fight of @TNSLCoalition to bring labor to the table. @dwightamcbride, New School alumni see you!"
4,Mon Oct 26 16:31:13 +0000 2020,"@EugeneLang @TheNewSchool Get a room, you two."
5,Mon Oct 26 14:39:13 +0000 2020,"@KateTechCoach @MilanoSchool @TheNewSchool @KateTechCoach, the good fortune goes both ways.  So grateful for you and, in earnest, I bet I learn as much from you’ll as you’ll learn from me.  Cheers 🥂"
6,Mon Oct 26 14:35:26 +0000 2020,"RT @11andahalf: Six days left!! 

We want your fiction, nonfiction, art, and poetry! We know you're exhausted - we're exhausted - but if yo…"
7,Mon Oct 26 14:35:00 +0000 2020,"Six days left!! 

We want your fiction, nonfiction, art, and poetry! We know you're exhausted - we're exhausted - but if you've got something good kickin' around, please make the push! 

Deadline Nov 1! 

@TheNewSchool @EugeneLang @parsonsdesign"
8,Mon Oct 26 14:07:15 +0000 2020,"RT @11andahalf: @EugeneLang @TheNewSchool @parsonsdesign 

T-Minus ONE WEEK until our submission deadline of Nov. 1! 

Come on, people, hit…"
9,Mon Oct 26 03:18:01 +0000 2020,"@PaniFarvid @TheNewSchool Decolonisation psychology? Whatever the paymaster orders, I suppose. I prefer the idea of 'colonisation psychology' because we need another 15 million people here, in New Zealand."
10,Sun Oct 25 21:26:10 +0000 2020,@camerontw @TheNewSchool Seems University restructures are the other global pandemic
11,Sun Oct 25 20:28:00 +0000 2020,@PaniFarvid @TheNewSchool @DiscoverMag They wonder what the point of a female orgasm is?? For mental wellbeing. Less murdery women thanks to our glorious clit🔥🔥
12,Sun Oct 25 19:14:33 +0000 2020,"RT @11andahalf: @EugeneLang @TheNewSchool @parsonsdesign 

T-Minus ONE WEEK until our submission deadline of Nov. 1! 

Come on, people, hit…"
13,Sun Oct 25 19:11:09 +0000 2020,"RT @11andahalf: @EugeneLang @TheNewSchool @parsonsdesign 

T-Minus ONE WEEK until our submission deadline of Nov. 1! 

Come on, people, hit…"
14,Sun Oct 25 19:10:36 +0000 2020,"@EugeneLang @TheNewSchool @parsonsdesign 

T-Minus ONE WEEK until our submission deadline of Nov. 1! 

Come on, people, hit us up! We are accepting: 

-fiction
-non-fiction
-poetry
-art 

We need your submissions to make the magazine happen!!"
15,Sun Oct 25 07:24:35 +0000 2020,@BelindaZipper @TheNewSchool Thank you! Delighted you enjoyed it
16,Sun Oct 25 07:00:22 +0000 2020,@DavidPZone1 @TheNewSchool Great episode. Thanks.
17,Sat Oct 24 21:43:05 +0000 2020,"@gfeconyahoocom1 If you're interested in sharing with an international audience (@WSWS_Updates) your experience of getting laid off from @TheNewSchool in its recent wave of layoffs, please DM me!"
18,Sat Oct 24 14:53:33 +0000 2020,"RT @gazaonmymind: @dwightamcbride @TheNewSchool How about we vote collectively on decisions effecting all of us at The New School, instead…"
19,Sat Oct 24 12:02:14 +0000 2020,RT @michael_galant: Thrilled to have had the chance to speak to @_SeanJacobs' course on global media &amp; politics at @TheNewSchool last night…
20,Sat Oct 24 10:37:55 +0000 2020,@dwightamcbride @TheNewSchool I’ll be in line at 9:30 AM this morning and I will stay no matter how long it takes.
21,Sat Oct 24 03:43:27 +0000 2020,@gravitykn1fe @extinctdaemon @TheNewSchool YES that's him 00:
22,Sat Oct 24 03:06:33 +0000 2020,@djhanouni @extinctdaemon @TheNewSchool Holyyy shit rob swift brooooo:((((((
23,Fri Oct 23 20:29:12 +0000 2020,RT @KatayounChams: Just watched “ in vitro” on today’s imagine science film festival- beautiful and gripping. I urge everyone to purchase a…
24,Fri Oct 23 20:28:46 +0000 2020,"RT @Rachelrooo: Just finished up my Writing the Essay 1 ""Writing What Haunts You"" class for @EugeneLang and now I'm 💔. The talent, bravery,…"
25,Fri Oct 23 20:24:49 +0000 2020,"@voguebusiness As an longtime F-1 status student for years, this issue is real. This is not just in the fashion institutions, such as @parsonsdesign @TheNewSchool. It is time for the American higher education system to rethink what diversity in education, and educating students of color means."
26,Fri Oct 23 20:14:40 +0000 2020,@djhanouni @extinctdaemon @TheNewSchool @gravitykn1fe same teacher ?? Lmao
