,created_at,full_text
0,Mon Oct 26 14:49:12 +0000 2020,@EricTopol @Novavax @ScienceMagazine @Sandhyareddy88 @scrippsresearch your IR is very bad. Telling people you will release data and then disappear for 3 weeks is not what you expect from a promising company.
1,Mon Oct 26 11:47:14 +0000 2020,"RT @crabbermike: $ENZC ""Companies such as @GenScript Labs, @STCBiologics ,@Rapidnovor &amp; @Scrippsresearch have been most gracious in their w…"
2,Sun Oct 25 22:48:21 +0000 2020,"RT @crabbermike: $ENZC ""Companies such as @GenScript Labs, @STCBiologics ,@Rapidnovor &amp; @Scrippsresearch have been most gracious in their w…"
3,Sun Oct 25 20:12:49 +0000 2020,"RT @crabbermike: $ENZC ""Companies such as @GenScript Labs, @STCBiologics ,@Rapidnovor &amp; @Scrippsresearch have been most gracious in their w…"
4,Sun Oct 25 18:10:39 +0000 2020,"RT @crabbermike: $ENZC ""Companies such as @GenScript Labs, @STCBiologics ,@Rapidnovor &amp; @Scrippsresearch have been most gracious in their w…"
5,Sun Oct 25 18:09:30 +0000 2020,"RT @crabbermike: $ENZC ""Companies such as @GenScript Labs, @STCBiologics ,@Rapidnovor &amp; @Scrippsresearch have been most gracious in their w…"
6,Sun Oct 25 16:08:38 +0000 2020,"RT @crabbermike: $ENZC ""Companies such as @GenScript Labs, @STCBiologics ,@Rapidnovor &amp; @Scrippsresearch have been most gracious in their w…"
7,Sun Oct 25 15:55:08 +0000 2020,"RT @crabbermike: $ENZC ""Companies such as @GenScript Labs, @STCBiologics ,@Rapidnovor &amp; @Scrippsresearch have been most gracious in their w…"
8,Sun Oct 25 15:43:30 +0000 2020,"$ENZC ""Companies such as @GenScript Labs, @STCBiologics ,@Rapidnovor &amp; @Scrippsresearch have been most gracious in their willingness to work with us to move our technology forward."" @BioClonetics Scripps Research is the #1 most influential research institution in the world."
9,Sat Oct 24 22:21:20 +0000 2020,@NatureBiotech @centivax @Vir_Biotech @EOSaphire @ljiresearch @scrippsresearch @LillyPad @AbCelleraBio @PKU1898 @IcahnMountSinai @CurlyJungleJake Hope to see yours there soon
10,Sat Oct 24 19:27:30 +0000 2020,@EricTopol @Novavax @ScienceMagazine @Sandhyareddy88 @scrippsresearch What’s the timeline to have more results? @Novavax has not disclosed South Africa HIV candidates Covid trial results yet. Those should be available by now as per its start time. This kind of delayed is making stock fall.
11,Sat Oct 24 14:44:19 +0000 2020,@cnteijaro @scrippsresearch @lab_shen Nice
12,Sat Oct 24 02:21:02 +0000 2020,@SamratLabMohali @scrippsresearch La Jolla and San Diego is just so beautiful
13,Sat Oct 24 00:47:28 +0000 2020,@MatthewMacaule4 @pengwuTSRI @scrippsresearch Fewcose of course
14,Sat Oct 24 00:36:40 +0000 2020,@MatthewMacaule4 @scrippsresearch That is an outstanding question 😂
15,Sat Oct 24 00:05:41 +0000 2020,@MatthewMacaule4 @pengwuTSRI @scrippsresearch lol amen 🙏
16,Sat Oct 24 00:00:06 +0000 2020,@pengwuTSRI @scrippsresearch Foocose or Fewcose? That is the question!
17,Fri Oct 23 18:13:07 +0000 2020,@Kat52687390 @dsgoodsell @scrippsresearch Is there a way to purchase these? Please let me know.
18,Fri Oct 23 17:01:55 +0000 2020,@michaelmaguire1 @SalehDreams @centivax @scrippsresearch He’s the man - check out his videos.
19,Fri Oct 23 15:14:21 +0000 2020,@cnteijaro @scrippsresearch @lab_shen Congrats Ben!
20,Fri Oct 23 13:37:03 +0000 2020,@cnteijaro @scrippsresearch @lab_shen Congratulations Ben! Well deserved!
21,Fri Oct 23 09:51:05 +0000 2020,"“We have never successfully been able to do it before, and it will lead to unacceptable and unnecessary untold human death and suffering,” says @K_G_Andersen - immunologist @scrippsresearch La Jolla, California"
22,Fri Oct 23 08:27:10 +0000 2020,@CurlyJungleJake @SalehDreams @centivax @scrippsresearch Tim seems like a cool guy
23,Fri Oct 23 07:15:18 +0000 2020,"RT @IAVI: Together w/@SerumInstIndia &amp; @EMDGroup, we’re developing IAVI/@ScrippsResearch specific highly potent monoclonal #antibodies (mAb…"
24,Fri Oct 23 02:14:07 +0000 2020,"@Ira_The_Iron @MuslimBRO60 @HanLanshan @EricTopol @Novavax @ScienceMagazine @Sandhyareddy88 @scrippsresearch Thank you for the correction, very important so laypeople don’t get confused by my mistake. I meant to say that it didnt need deep-freezing. Many vaccines need refrigeration but the infrastructure for that is already everywhere so my brain skipped by mentioning it. My bad totally"
25,Fri Oct 23 02:06:33 +0000 2020,@SalehDreams @centivax @scrippsresearch It’s for the best
