,created_at,full_text
0,Mon Oct 26 18:44:29 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
1,Mon Oct 26 18:05:05 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
2,Mon Oct 26 18:02:30 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
3,Mon Oct 26 17:57:46 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
4,Mon Oct 26 17:57:44 +0000 2020,"@MattForMontana @donaldtrumpjr Hey everyone, @MattForMontana’s inner sexual demons here. Matt has sooooo many @TowsonU boys in his basement and they need fed. $5 or $25, whatever you can spare will go to the boys and Matt’s insatiable @OLDBAYSeasoning addiction. Please think of the boys 🙏"
5,Mon Oct 26 17:57:07 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
6,Mon Oct 26 17:32:37 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
7,Mon Oct 26 17:24:24 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
8,Mon Oct 26 17:24:15 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
9,Mon Oct 26 16:57:43 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
10,Mon Oct 26 16:41:34 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
11,Mon Oct 26 15:58:25 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
12,Mon Oct 26 15:41:01 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
13,Mon Oct 26 15:40:01 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
14,Mon Oct 26 15:23:18 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
15,Mon Oct 26 15:05:34 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
16,Mon Oct 26 15:00:56 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
