,created_at,full_text
0,Mon Oct 26 07:43:03 +0000 2020,"@PhilosopherCrip @trinitycollege An experiment I wanna see: How long does it take white, hetero, ablebodied students to register that nobody on campus is _____? A lack of black students: not long at all. Gay students: probably longer but eventually that would register too. Disabled students? Maybe never."
1,Sat Oct 24 23:50:45 +0000 2020,@DrDesireeByrd @raskinsar @trinitycollege @acamuya @JacquelineEMaye @BCCastelluccio @SimoneLatrelle @ShellBell915 @MasinoSusan @MikePuljung @sallyseraphin @DrRiveraMindt Bienvenida! Looking forward to meeting you in the future :)
2,Sat Oct 24 19:59:03 +0000 2020,@raskinsar @trinitycollege @acamuya @JacquelineEMaye @BCCastelluccio @SimoneLatrelle @ShellBell915 @MasinoSusan @MikePuljung @DrRiveraMindt @DrDesireeByrd @DrCristiSalinas Welcome 🥰
3,Fri Oct 23 21:04:01 +0000 2020,@raskinsar @trinitycollege @acamuya @BCCastelluccio @SimoneLatrelle @ShellBell915 @MasinoSusan @MikePuljung @sallyseraphin @DrRiveraMindt @DrDesireeByrd @DrCristiSalinas Welcome!!!!
4,Fri Oct 23 18:02:37 +0000 2020,"Our insightful, engaging faculty included @acsabudhabi's Christina McDade, @TempleUniv's  Shawn Abbott, @trinitycollege's @aaoddi, @TuskegeeUniv's Joe Montgomery, and @NCState's  Jeong Powell. We are fortunate to collaborate with such a distinguished group of #intled leaders!"
5,Fri Oct 23 00:52:01 +0000 2020,@raskinsar @trinitycollege @acamuya @JacquelineEMaye @BCCastelluccio @SimoneLatrelle @ShellBell915 @MasinoSusan @MikePuljung @sallyseraphin @DrRiveraMindt @DrDesireeByrd @DrCristiSalinas Welcome to the twitter familia!
6,Fri Oct 23 00:33:03 +0000 2020,@raskinsar @trinitycollege @acamuya @JacquelineEMaye @BCCastelluccio @SimoneLatrelle @ShellBell915 @MasinoSusan @MikePuljung @sallyseraphin @DrRiveraMindt @DrCristiSalinas Welcome @acamuya !
7,Thu Oct 22 23:17:37 +0000 2020,"With @trinitycollege out of their lockdown and their outbreak coming under control, it is looking more likely each day that all the @NESCAC schools might make it to thanksgiving as planned."
8,Thu Oct 22 18:53:41 +0000 2020,"@sbc111 @lessig @TrinAlum @trinitycollege @SeanTrinColl @AbbyFWilliamson @TrincollCHER @Harvard_Law @Harvard Isn't this just the application of collective choice theory to healthcare industry? 

Olson's theory provides powerful insight into the structure and insidious outcomes of defense policy, as my own research demonstrated."
9,Thu Oct 22 03:38:08 +0000 2020,"@oneunderscore__ @TheRickWilson Fun fact about Tucker Carlson?
He never graduated from @trinitycollege.
Attended, yes. 
Fraternity, yes.
Diploma? No.
I dunno @oneunderscore__ ...might be worth researching.

cc: @TheRickWilson @lyzl"
10,Tue Oct 20 11:30:31 +0000 2020,"never thought i’d say it but tomorrow i have a grade five english speech test at @trinitycollege in kings cross for my permanent residency, will probs still fail 

cost me 150 quid ffs"
11,Tue Oct 20 00:57:46 +0000 2020,I can’t wait to read your stories when you apply to @trinitycollege! #RollBants
12,Mon Oct 19 23:06:57 +0000 2020,@raskinsar @trinitycollege @acamuya @JacquelineEMaye @BCCastelluccio @SimoneLatrelle @ShellBell915 @MasinoSusan @MikePuljung @sallyseraphin @DrDesireeByrd @DrCristiSalinas Welcome @acamuya !
13,Mon Oct 19 23:00:07 +0000 2020,@raskinsar @trinitycollege @acamuya @JacquelineEMaye @BCCastelluccio @SimoneLatrelle @MasinoSusan @MikePuljung @sallyseraphin @DrRiveraMindt @DrDesireeByrd @DrCristiSalinas Welcome! 🙋🏼‍♀️🧠
14,Mon Oct 19 21:51:03 +0000 2020,@raskinsar @trinitycollege @acamuya @JacquelineEMaye @BCCastelluccio @SimoneLatrelle @ShellBell915 @MasinoSusan @sallyseraphin @DrRiveraMindt @DrDesireeByrd @DrCristiSalinas Welcome!
15,Mon Oct 19 21:49:37 +0000 2020,"Please welcome @trinitycollege  undrgrd and rising neurostar to twitter @acamuya!   She is researching Latinx culture &amp; memory

@JacquelineEMaye @BCCastelluccio @SimoneLatrelle @ShellBell915 @MasinoSusan @MikePuljung @sallyseraphin @DrRiveraMindt @DrDesireeByrd @DrCristiSalinas"
16,Sun Oct 18 20:28:07 +0000 2020,@NoontimeSports @puzzo13 @TrinCollFB @BantamSports @trinitycollege Eric Sachse had his ankle broken by a wayward Tufts blocker.  Kyle Pulek came in...smiled at the Tufts sideline and kicked the Game Tying FG!
17,Sun Oct 18 20:26:12 +0000 2020,@NoontimeSports @puzzo13 @TrinCollFB @BantamSports @trinitycollege Liam was an absolute beast that day!
18,Sun Oct 18 00:44:34 +0000 2020,@bantams_ad @TCBantamsHockey @NCAADIII @trinitycollege @trincollwbb @Trinity_FH Now let’s play winter sports!!
19,Sat Oct 17 21:45:16 +0000 2020,"As new case numbers begin to fall at @trinitycollege they are preparing to resume in-person classes on Wednesday, effectively ending the campus lockdown. Hopefully the testing results continue to improve between now and then. It has to be tough on the students."
