,created_at,full_text
0,Sun Oct 25 23:37:50 +0000 2020,@LizardMichele @Trinity_U @TUWomenInSTEM Thanks for the share!
1,Sat Oct 24 17:48:39 +0000 2020,"RT @Trinity_U: The 2020 Stumberg Champion, Sapphire, is a smart bottle lid that tracks hydration. Get inside the minds of Trinity entrepren…"
2,Sat Oct 24 04:29:35 +0000 2020,"RT @Trinity_U: “I am pleased to announce that a national search for Trinity’s new vice president for academic affairs is now underway,” say…"
3,Sat Oct 24 04:28:18 +0000 2020,"RT @Trinity_U: “I am pleased to announce that a national search for Trinity’s new vice president for academic affairs is now underway,” say…"
4,Sat Oct 24 02:56:41 +0000 2020,"RT @Trinity_U: “I am pleased to announce that a national search for Trinity’s new vice president for academic affairs is now underway,” say…"
5,Fri Oct 23 18:50:48 +0000 2020,@stevespriester @Trinity_U On it!!!
6,Fri Oct 23 16:30:53 +0000 2020,@JohnCornyn I don't know how you made it through @Trinity_U let alone your subsequent schooling.  How can you be so obtuse?  Is it deliberate?
7,Thu Oct 22 16:16:06 +0000 2020,It was so fantastic to have @MeansColeman in our Monsters FYE today to discuss Candyman! Such a great opportunity for our students (and very fun for me)! @Trinity_U @TU_COMM
8,Thu Oct 22 15:38:42 +0000 2020,@AsmaraLehrmann @Trinity_U @curiosities_pod Awh!! Haha thank you! 🌎💚
9,Thu Oct 22 01:06:46 +0000 2020,RT @Trinity_U: Geologic field work has taken Asmara Lehrmann from the banks of the Llano River in the Texas Hill Country to the Flinders Ra…
10,Wed Oct 21 22:23:44 +0000 2020,RT @Trinity_U: Geologic field work has taken Asmara Lehrmann from the banks of the Llano River in the Texas Hill Country to the Flinders Ra…
11,Wed Oct 21 00:35:13 +0000 2020,"RT @Trinity_U: Join us this Thursday for a discussion moderated by @stevespriester, news anchor for @ksatnews, on how the candidates and th…"
12,Tue Oct 20 22:51:12 +0000 2020,RT @Trinity_U: Kylie Moden ’17 could have gone anywhere to study computer science. But Trinity’s Semmes Scholarship gave her a chance to be…
13,Tue Oct 20 15:48:30 +0000 2020,RT @Trinity_U: Kylie Moden ’17 could have gone anywhere to study computer science. But Trinity’s Semmes Scholarship gave her a chance to be…
14,Tue Oct 20 15:25:11 +0000 2020,RT @Trinity_U: Kylie Moden ’17 could have gone anywhere to study computer science. But Trinity’s Semmes Scholarship gave her a chance to be…
15,Tue Oct 20 15:24:48 +0000 2020,"RT @Trinity_U: As a theatre major at Trinity, Heather Gilbert '92 remembers dreaming of working on Broadway - and now she is. Last week, He…"
16,Tue Oct 20 15:04:00 +0000 2020,"Also, hello @Trinity_U, where my undergrad and admission experience laid the groundwork for understanding the higher ed landscape and truths about distribution of quality teaching, resources and opportunity to inform my work with students today. @TrinityU_Admiss @TrinityUAlumni"
17,Tue Oct 20 03:47:22 +0000 2020,RT @Trinity_U: Did you know that Trinity University is ranked one of the best small colleges in the nation (#27) and the best small college…
18,Tue Oct 20 01:06:07 +0000 2020,"RT @Trinity_U: As a theatre major at Trinity, Heather Gilbert '92 remembers dreaming of working on Broadway - and now she is. Last week, He…"
19,Mon Oct 19 20:18:06 +0000 2020,"RT @Trinity_U: As a theatre major at Trinity, Heather Gilbert '92 remembers dreaming of working on Broadway - and now she is. Last week, He…"
20,Mon Oct 19 19:04:38 +0000 2020,"@Trinity_U Ah, yes. It's been 20 years; forgive me. We learned about HTML, Hole, Celebrity Skin, and life."
21,Mon Oct 19 16:03:53 +0000 2020,RT @Trinity_U: Did you know that Trinity University is ranked one of the best small colleges in the nation (#27) and the best small college…
22,Sun Oct 18 21:06:38 +0000 2020,@JohnCornyn is by far the most embarrassing alumnus of @TrinityUAlumni @Trinity_U
23,Sun Oct 18 17:32:38 +0000 2020,"RT @Trinity_U: ICYMI: Trinity University and @SAISD recently announced the creation of the “Trinity Community Investment” partnership, whic…"
24,Sun Oct 18 15:24:18 +0000 2020,"@HEB @Trinity_U Special store.  Shuts pharmacy window in your face while you are in line.  Doesn't offer to carry out.  Only carries its own brand.  Can't afford meat there anymore.  But hey, they hydrate."
