,created_at,full_text
0,Mon Oct 26 16:36:37 +0000 2020,"@wingedisis @Tulane That is an excellent suggestion and site!  As Duncan Plaza would be a good site, given that it is now the mass transit hub post-Hard Rock collapse."
1,Mon Oct 26 16:30:02 +0000 2020,"@BruceABaldwin2 There are walk up and bike up options, as well as the Magazine bus, and it's an attempt to test mass distribution at scale, so that's a specific set of conditions. That said, @Tulane should set up tents at Canal and Elk and have flu shots where they do their health fairs."
2,Mon Oct 26 15:08:43 +0000 2020,@CastorenaLab @Tulane @TulaneMedicine Beautiful lab!
3,Mon Oct 26 13:28:35 +0000 2020,"The telemed Medicaid numbers are bonkers. In April, @LADeptHealth Medicaid reimbursed &gt;250,000 telemed claims. Once we started poking around, we realized people weren’t necessarily using apps etc. They were making calls. H/t @Tulane for the prelim data. 3/"
4,Mon Oct 26 03:29:29 +0000 2020,@CastorenaLab @Tulane @TulaneMedicine It looks awesome!!!
5,Mon Oct 26 01:10:08 +0000 2020,@DrBiancaWatson @tulanemedical Would just like to say I wouldn't have gotten to join the @Tulane family if @DrBiancaWatson wasn't an awesome resident who took me on when I was a visiting sub-I last year! Loved that we kept virtually bumping into each other at #AACAPAM20 🤣
6,Sun Oct 25 23:24:22 +0000 2020,@MeganDoesNOLA @culinary_med @Tulane That looks delish!
7,Sun Oct 25 23:11:27 +0000 2020,@MeganDoesNOLA @culinary_med @Tulane That's fantastic!
8,Sun Oct 25 04:21:07 +0000 2020,@itskathryndunn @CBSBigBrother @Tulane getting the love
9,Sat Oct 24 19:49:53 +0000 2020,@RobAnderson2018 You’re welcome!  We’re huge LA fans with all 3 of our boys graduating from @Tulane so we’re rooting for you.
10,Sat Oct 24 18:55:39 +0000 2020,"@Tulane why didnt you wear your racist unis today?  good example of ""letting the inmates run the prison'  NCAA has no balls for letting you wear them"
11,Sat Oct 24 18:52:27 +0000 2020,do pass/fail @Tulane
12,Sat Oct 24 18:00:48 +0000 2020,@DavidMora @Tulane @TUFitts @GreenWaveFB @TulaneAthletics @Tulane_AD @heliconola @VisitNewOrleans @LouisianaTravel BEAUTIFUL! #RollWave 🌊👊🏼
13,Sat Oct 24 17:57:39 +0000 2020,The Confetti Park radio show and podcast is supported by the New Orleans Jazz and Heritage Foundation and Music Rising at Tulane University. @Jazznheritage @Tulane @RealMusicRising @NOCGS
14,Fri Oct 23 21:16:11 +0000 2020,Great job by @Tulane and @TUFitts keeping kids safe and on campus. So much energy and so many resources dedicated to their educational experience. I am a grateful parent. Looking forward to the spring semester. Thank you! #RollWave
15,Fri Oct 23 18:40:35 +0000 2020,now why we ain’t got a spring break but got a mardi gras break...during a pandemic? @Tulane @TUFitts i need answers.
16,Fri Oct 23 06:08:29 +0000 2020,"RT @ebonytheory: a $9mil police budget with the 8th largest force for a campus with less than 9,000 undergraduate students, but the nurse a…"
17,Fri Oct 23 03:44:00 +0000 2020,@ricio_music @GhostofCrouch @Jazzboken @Tulane I know where you were coming from. I was clarifying for that coward.
18,Fri Oct 23 02:51:53 +0000 2020,@paynic @GhostofCrouch @Jazzboken @Tulane “Jazz” department*
19,Fri Oct 23 02:51:08 +0000 2020,"@paynic @GhostofCrouch @Jazzboken For the record, I wasn’t saying @paynic IS broken. I believe the contrary. Man, I have been defending this idea since being the first person to do a Masters degree COMPS on #BAM in 2012. Now there is a newly named Jazz department at @Tulane"
20,Fri Oct 23 02:23:32 +0000 2020,"RT @ebonytheory: a $9mil police budget with the 8th largest force for a campus with less than 9,000 undergraduate students, but the nurse a…"
