,created_at,full_text
0,Fri Oct 23 17:47:49 +0000 2020,@mount_md @SCCM @USUhealthsci @GraceHuangMD Awesome! There is also a mentoring opportunity inherent in each of these!
1,Thu Oct 22 01:25:02 +0000 2020,@HJFMilMed @WHOSTP @MilitaryHealth @DoD_DHA @USUhealthsci Wow. Your emoji game is strong. Humbled.
2,Thu Oct 22 01:23:54 +0000 2020,@DrTraceyK @WHOSTP @MilitaryHealth @DoD_DHA @USUhealthsci We will cheers to that! 🥂 🥤🥤 ☕️☕️
3,Thu Oct 22 01:22:59 +0000 2020,@HJFMilMed @WHOSTP @MilitaryHealth @DoD_DHA @USUhealthsci Two of our new Research Associates cut their teeth on this project...so we are clinking virtual champagne (or Diet Coke) glasses to celebrate their first publication! #beatCovid19
4,Thu Oct 22 01:19:34 +0000 2020,"@DrTraceyK @WHOSTP @MilitaryHealth @DoD_DHA @USUhealthsci Congratulations, as always, Dr. K! We are honored to have played a part in this work contributing to #StopCovid. #milmed #weareHJF"
5,Thu Oct 22 01:16:43 +0000 2020,"Also thanks to @WHOSTP, @HJFMilMed, @MilitaryHealth @DoD_DHA &amp; @USUhealthsci for making this small contribution to the #COVID19 effort possible."
6,Wed Oct 21 13:41:04 +0000 2020,@jammin_GIJames @USUhealthsci I went through basic training at Ft Dix with Loranee.
7,Wed Oct 21 04:14:34 +0000 2020,@BCM_Surgery @DrRosengart @DrJeremyWard @HollyShilstone @SXC71 @McGovernMed @EVMSedu @USUhealthsci Congrats Jonathon Vo! I know you will do well!
8,Tue Oct 20 18:41:22 +0000 2020,@USUhealthsci @chungk1031 @NBA That’s cool. But why?
9,Tue Oct 20 18:19:56 +0000 2020,@joshuadhartzell @dralliwebb @WRBethesda @USUhealthsci @KFabsMD @GuenHunt @MertzOnCall @richeleco @ABarelski_MD @DrMelanie_MD @DHADirector @ArmyMedicine @LTGDingle @dralliwebb this is AWESOME! Congratulations! So proud of who you are and all you do!!!
10,Tue Oct 20 16:51:04 +0000 2020,@joshuadhartzell @dralliwebb @WRBethesda @USUhealthsci @KFabsMD @GuenHunt @MertzOnCall @richeleco @ABarelski_MD @lisaconte_DO @DrMelanie_MD @DHADirector @ArmyMedicine @LTGDingle Well***
11,Tue Oct 20 15:59:03 +0000 2020,@joshuadhartzell @dralliwebb @WRBethesda @USUhealthsci @KFabsMD @GuenHunt @MertzOnCall @richeleco @ABarelski_MD @lisaconte_DO @DrMelanie_MD @DHADirector @ArmyMedicine @LTGDingle So we’ll deserved!!!!!
12,Tue Oct 20 12:34:13 +0000 2020,@DeploymentPsych @USUhealthsci @APADiv19 @apadiv45 @APAGradStudents This is exciting! What an opportunity for future behavior health professionals! #psychology #milmed #psychtwitter
13,Mon Oct 19 21:27:59 +0000 2020,@chungk1031 @USUhealthsci @accpchest I still remember participating in her CHEST jeopardy 15 years ago:) well deserved 👏🏼👏🏼👏🏼
14,Mon Oct 19 21:05:30 +0000 2020,@scottymerrell1 @USUhealthsci @HJFMilMed Whohoo! Thanks Scotty 🤗
15,Mon Oct 19 18:53:27 +0000 2020,@scottymerrell1 @britneyhardy10 @USUhealthsci We love seeing our former teammates go on to do big things! #milmed #weareHJF
16,Mon Oct 19 16:41:16 +0000 2020,@JHTRonline @GfellerCenter @JakeRPowell @jmihalik79 @USASOCNews We love seeing this work come into the larger world. Thanks for the tag! @USUhealthsci
