,created_at,full_text
0,Sun Oct 25 12:44:27 +0000 2020,"This week's college rep virtual visits includes: 
@Northeastern @UnionCollege @UMaine @Suffolk_U @CurryAdmission @CCUChanticleers @SaintJosephsME @UNewHaven  Visits scheduled for 3pm or 7pm - zoom links in Scoir."
1,Fri Oct 23 01:04:29 +0000 2020,"@SportsLawLust @UnionCollege Lol. Unfortunately, it's just work. #sportslaw! lol"
2,Thu Oct 22 11:28:40 +0000 2020,Excited for @npseaver  to talk at the @UnionCollege CS seminar today!
3,Wed Oct 21 00:21:31 +0000 2020,@FrankRossi @WilliamBellamy3 @UnionCollege @D3FBHuddle @ColinLama43 @Jeff_Behrman @UnionCollegeFB @UnionAthletics BEST anniversary ever.  🤷🏻‍♀️
4,Tue Oct 20 02:41:11 +0000 2020,"@dear_dalliance @DrKateFeller @UnionCollege @qualisysab @Union_Biology I know, right? Vocab word!"
5,Tue Oct 20 01:29:57 +0000 2020,@rejectedjokes @UnionCollege Good answer.
6,Tue Oct 20 01:29:42 +0000 2020,@JSRichman @UnionCollege Friends.
7,Tue Oct 20 01:29:23 +0000 2020,@rejectedjokes What was your favorite thing about @UnionCollege?
8,Tue Oct 20 00:53:32 +0000 2020,@jrieffel @DrKateFeller @UnionCollege @qualisysab @Union_Biology I didnt know those were called samaras. I always called them Helicopter leaves
9,Sun Oct 18 17:16:28 +0000 2020,"@theodosn @UnionCollege Aw, thanks Nicole! Nice to bump into you the other day. Definitely miss seeing everyone on campus."
10,Sun Oct 18 12:29:56 +0000 2020,@christengowan Happy birthday! Thanks for all you do for us @UnionCollege  🎉
