,created_at,full_text
0,Mon Oct 26 18:36:28 +0000 2020,"RT @britvec_tony: @101stAASLTDIV @USArmy @WestPoint_USMA Transferred to Columbia the day after recognition, RAKKASAN!!!"
1,Mon Oct 26 17:09:51 +0000 2020,@Scrappy94546226 @dmills3710 @LWins888 @wisdom4why @QPrayerTeam @ColonelRETJOHN @ArmyChiefStaff @WestPoint_USMA @KPark213 @COREA_FREEDOM @DrTaraO @charliekirk11 @realDonaldTrump @RealJackHibbs @VP CCP will certainly not hesitate again to do anything for Biden.  Trump's re-election is death for them.
2,Mon Oct 26 14:58:39 +0000 2020,@Miss_Bellatrix @CivilWarOTD @WestPoint_USMA @CWBreakfastClub @DarinJWeeks Thought you would be. Had to pass this on to my friends with Team OO. I’m also interested in what he did in the 1877 encounter with the Nez Pearce and Chief Joseph. I’m coming around to the idea all of us older CW enthusiasts have done a great injustice to General Howard.
3,Mon Oct 26 14:51:41 +0000 2020,@DIveyREPORTER @CivilWarOTD @WestPoint_USMA @CWBreakfastClub @DarinJWeeks Very happy to see this thread this morning!
4,Mon Oct 26 14:12:48 +0000 2020,@ArmyNavyGame @WestPoint_USMA @USAA Beat Navy always
5,Mon Oct 26 13:53:37 +0000 2020,"@CarrieeeeC @TradocDCG @WestPoint_USMA @WPAOG @AUSAorg @Commandant_USMA @USArmy @TRADOCCSM @TRADOC That’s already happened 16 times in the last 24 hours!

You been keeping up with our news from across the pond? 🇬🇧"
6,Mon Oct 26 13:52:14 +0000 2020,@AnonymousCroco1 @TradocDCG @WestPoint_USMA @WPAOG @AUSAorg @Commandant_USMA @USArmy @TRADOCCSM @TRADOC Not good enough...he didn't exit the aircraft while in flight!!!
7,Mon Oct 26 13:18:05 +0000 2020,@TradocDCG @WestPoint_USMA @WPAOG @AUSAorg @Commandant_USMA @USArmy @TRADOCCSM @TRADOC Today is a good day!
8,Mon Oct 26 08:42:16 +0000 2020,"@TradocDCG @WestPoint_USMA @WPAOG @AUSAorg @Commandant_USMA @USArmy @TRADOCCSM @TRADOC May be the best view, but Trophy Point is the best view on the ground!"
9,Mon Oct 26 08:40:35 +0000 2020,"@TradocDCG @WestPoint_USMA @WPAOG @AUSAorg @Commandant_USMA @USArmy @TRADOCCSM @TRADOC Have to see my PCM up there. Always a great trip, especially this time of year. Think I’m headed up today to pre-purchase my AGSU since FHNY won’t have them any time soon n"
