,created_at,full_text
0,Mon Oct 26 18:06:10 +0000 2020,"RT @USNAMuseum: #OTD @navalacademy #USNA175 history, October 26

1903: The battalion of midshipmen made its first appearance as a brigade…"
1,Mon Oct 26 17:59:30 +0000 2020,"@DrBiden @NavalAcademy grad, 20-year @USMC officer, systems engineer, graduate training in computer science, two tours in Vietnam. We missed him every single day."
2,Mon Oct 26 15:37:31 +0000 2020,@dangreene @Facebook @Chartbeat It’s a startup.  Probably hasn’t gotten to your school yet.  @NavalAcademy just isn’t elite enough.  Maybe soon!
3,Mon Oct 26 12:47:14 +0000 2020,"#OTD @navalacademy #USNA175 history, October 26

1903: The battalion of midshipmen made its first appearance as a brigade

1963: Heisman Trophy winner Roger Staubach leads the Mids to a 24-12 win over unbeaten Pittsburgh by completing 14-of-19 passes"
4,Mon Oct 26 05:33:54 +0000 2020,@bu5hm4nn @prayingmedic Yes. Lots of navy-related jargon. I remember some of my old professors from @NavalAcademy using some of the same phrases.
5,Sun Oct 25 15:12:12 +0000 2020,". @navalacademy #USNA175 history, October 27

1924 - First issue of the Trident, midshipmen literary magazine, is published

1926- Army–Navy Game was held in #Chicago for the National Dedication of Soldier Field as a monument to American servicemen who had fought in World War I"
6,Sun Oct 25 15:10:45 +0000 2020,". @navalacademy #USNA175 history, October 27, 1849

Superintendent permits 7 mids to visit Annapolis between 5:00 and 8:00 PM. Before they leave, Upshur reminds them that they were forbidden from visiting a tavern, hotel, or ""other house of public entertainment."""
7,Sun Oct 25 15:08:44 +0000 2020,"RT @USNAMuseum: . @navalacademy #USNA175 history, October 26

1903: The battalion of midshipmen made its first appearance as a brigade

196…"
8,Sun Oct 25 15:07:34 +0000 2020,". @navalacademy #USNA175 history, October 26

1903: The battalion of midshipmen made its first appearance as a brigade

1963: Heisman Trophy winner Roger Staubach leads the Mids to a 24-12 win over unbeaten Pittsburgh by completing 14-of-19 passes"
9,Sun Oct 25 00:43:35 +0000 2020,"RT @_metafizik: Voters in #NC11 congressional race need to know that Madison Cawthorn @CawthornforNC is a @MarkMeadows shill, a racist &amp; a…"
10,Sun Oct 25 00:38:46 +0000 2020,"Voters in #NC11 congressional race need to know that Madison Cawthorn @CawthornforNC is a @MarkMeadows shill, a racist &amp; a liar. @NavalAcademy rejected him before his accident. He lied blaming the accident for the rejection as well as dropping out of @patrickhenrycol w all D's."
11,Sat Oct 24 22:06:36 +0000 2020,@MecoleHardman4 Is that some sort of @NavalAcademy gear? Go Navy!!
12,Sat Oct 24 21:57:53 +0000 2020,@NavalAcademy please tell your football coach to wear his mask properly. He is setting an extremely poor example for all of the members of the Brigade.
13,Sat Oct 24 14:14:02 +0000 2020,"Just realized the @OhioStateFB vs. @UMichFootball is on the same day as @WestPoint_USMA vs. @NavalAcademy. This will officially be the last tweet I make about #ArmyNavy.  #GoArmy #BeatNavy.
It’s time for #Big10 #Football!!! #BuckeyeNation #GoBucks @CollegeGameDay"
14,Sat Oct 24 03:26:24 +0000 2020,@ITEMAlliance @MakerSpaceUSNA @NavalAcademy @airforcerso @MatterHackers @formlabs @northropgrumman @Ultimaker I’m working on something for ya! Stay tuned. 🤘
15,Sat Oct 24 01:50:05 +0000 2020,"@MakerSpaceUSNA @3DPGirl @NavalAcademy @airforcerso @MatterHackers @formlabs @northropgrumman @Ultimaker Any chance we can have more notice for the next one and a longer deadline, we would have loved to have participated but just logistics of covid etc and kids being partially remote excluded us this year."
16,Fri Oct 23 23:14:28 +0000 2020,"RT @MakerSpaceUSNA: 1/6 Apologize in advance for a super long thread, but here goes... full documentation of @NavalAcademy attempts at #AMO…"
17,Fri Oct 23 22:02:52 +0000 2020,@MakerSpaceUSNA @DonDagen @NavalAcademy @MatterHackers @formlabs @northropgrumman @Ultimaker @3DPGirl Congratulations! Thanks to all who participated in #AMO2020!
18,Fri Oct 23 17:56:42 +0000 2020,"@seldumbherd @AF_Academy @NavalAcademy @WestPoint_USMA Yes, I believe they do."
19,Fri Oct 23 17:45:25 +0000 2020,@cadetissue @AF_Academy @NavalAcademy @WestPoint_USMA Does AF walk in the Cadet Mess like Beauxbatons Academy of Magic
20,Fri Oct 23 17:37:33 +0000 2020,@cadetissue @AF_Academy @NavalAcademy @WestPoint_USMA I have FOMO now. Badly.
21,Fri Oct 23 15:00:51 +0000 2020,"RT @MakerSpaceUSNA: 1/6 Apologize in advance for a super long thread, but here goes... full documentation of @NavalAcademy attempts at #AMO…"
22,Fri Oct 23 14:37:33 +0000 2020,"1/6 Apologize in advance for a super long thread, but here goes... full documentation of @NavalAcademy attempts at #AMO2020 printer shootout including intermed winner.  All work done by students! Thanks @airforcerso @MatterHackers @formlabs @northropgrumman @Ultimaker @3DPGirl"
23,Fri Oct 23 14:34:00 +0000 2020,@NavalAcademy @Space_Station @Astro_SEAL Awesome!! Welcome home!!! 🇺🇸🇺🇸
24,Fri Oct 23 10:49:23 +0000 2020,"@AmyMcGrathKY @NavalAcademy @USMC Are you going to find out why Mitch is all black and blue? Seems pretty serious, and relevant. 😳🙄. Can you even imagine if that had happened to Hillary? OMG!  So tired of the misogyny. 🤮. I think Kentucky voters deserve to know about his obvious medical issues."
25,Fri Oct 23 05:01:52 +0000 2020,@AmyMcGrathKY @NavalAcademy @USMC One last thing Kentucky is in top three stated that take in federal funds. McGrath won't be able to do it
26,Fri Oct 23 05:00:40 +0000 2020,@AmyMcGrathKY @NavalAcademy @USMC So unless you want to buy and overpriced electric vehicle you will be paying 5 bucks a gallon.
27,Fri Oct 23 04:59:28 +0000 2020,@AmyMcGrathKY @NavalAcademy @USMC How will that work when biden kills the oil industry?
28,Fri Oct 23 01:02:11 +0000 2020,"@AmyMcGrathKY @NavalAcademy @USMC It’s time to restore honor and decency to the U.S. Senate.

A vote for @AmyMcGrathKY is a vote to protect healthcare, social security, medicare, voting rights, the environment, women’s choice, civil rights, education, fair wages. 

Amy will make the Senate a better place! #vote"
29,Fri Oct 23 00:33:29 +0000 2020,RT @JuneBugBecca: @AmyMcGrathKY @NavalAcademy @USMC We are so proud of you 💙🇺🇸💙🇺🇸💙🇺🇸💙🇺🇸
30,Fri Oct 23 00:25:24 +0000 2020,@AmyMcGrathKY @NavalAcademy @USMC We are so proud of you 💙🇺🇸💙🇺🇸💙🇺🇸💙🇺🇸
31,Thu Oct 22 23:31:29 +0000 2020,@MakerSpaceUSNA @NavalAcademy @formlabs @3DPGirl Congratulations!! Thanks for joining us at #AMO2020!
32,Thu Oct 22 22:52:30 +0000 2020,"@chesterwgoad @tndesjarlais @NavalAcademy This kids a HERO....,,,,,as you know dr. Desjarle killed 3/6 of his kids!!!!!!!!"
33,Thu Oct 22 22:13:17 +0000 2020,@MakerSpaceUSNA @NavalAcademy @formlabs @3DPGirl @airforcerso Congratulations!
34,Thu Oct 22 21:30:16 +0000 2020,@AmyMcGrathKY @NavalAcademy @USMC Voting corruption out. Took and oath in the military to protect this country from all enemies both foreign n domestic. Still holds true today. Thats why I am voting Biden and voting for Amy. Mitch needs to go people
