,created_at,full_text
0,Sun Oct 25 11:21:24 +0000 2020,@joe_bonilla @ualbany I didn’t know he was a UAlbany grad.
1,Fri Oct 23 22:19:53 +0000 2020,@jamaaltbailey @ualbany The time went by too quickly. Thank you!
2,Fri Oct 23 19:35:28 +0000 2020,"Prepping now Shabbat meals both for in-person and to-go. Looks like it will be really nice night, an October surprise of sorts, to be eating Shabbat dinner with @ualbany students outside on the deck, 3 weeks into October in Albany NY!"
3,Fri Oct 23 18:20:31 +0000 2020,@UAlbanyNews @ualbany Awesome!
4,Fri Oct 23 12:59:51 +0000 2020,"@CoordinatorRay @UAlbanySA @ualbany Congratulations, Ray!"
5,Fri Oct 23 04:02:38 +0000 2020,"@CoordinatorRay @UAlbanySA @ualbany Absolutely, well deserved. Thank you, SA, for honoring Ray and recognizing his efforts and leadership!"
6,Fri Oct 23 03:34:15 +0000 2020,"@CEG_NY @capregchamber @EmpireStateDev @NYSEDC @NIST_MEP @ualbany @SaratogaEconDev @GrowWarrenCoNY @Columbia_EDC @CapAlbanyCorp @AlbanyBID Really proud of my friend and someone I deeply respect coming into this role. Katie is the real deal. Well done, CEG!"
7,Fri Oct 23 02:59:26 +0000 2020,"@Kristen_MarieNY Summer 1000%. 4th of July, fireworks, beaches, BBQs concerts, summer nights, vacations, boats, my Birthday, etc

Winter makes me appreciate the Spring a lot. I do really hate the freezing cold. In fact. I remember going to college @ualbany &amp; the high one time was -10 degrees 👎🏾"
8,Fri Oct 23 01:28:16 +0000 2020,@neilbelieves @stephiesmallls @lt4kicks @ualbany I miss the days when we could beat the eagles!!!
9,Fri Oct 23 01:26:23 +0000 2020,@neilbelieves @lt4kicks @ualbany Miss it
10,Fri Oct 23 01:26:20 +0000 2020,@neilbelieves @lt4kicks @ualbany Seriously
11,Fri Oct 23 01:15:25 +0000 2020,@stephiesmallls @lt4kicks I miss those days when The Giants had training camp @ualbany
12,Thu Oct 22 23:57:08 +0000 2020,"@JaneChamp @UAlbanyMBA @UAlbanyGradSch @ualbany @UAlbanyBusiness Mine, too!"
13,Thu Oct 22 22:46:41 +0000 2020,@CoordinatorRay @UAlbanySA @ualbany Congratulations. So proud of you!  Well deserved. 🎉💕
14,Thu Oct 22 22:38:14 +0000 2020,RT @KateTubbesing: Capital district postdoc association has been re-booted!!! We are hosting our first virtual event Friday! So excited!!!…
15,Thu Oct 22 19:15:24 +0000 2020,"@TerryWaltz_TCI @timesunion just how easily would that roll off the tongue? If not Indian, even native might be better. @ualbany think of how it will actually be used everyday. But glad /hopeful they're keeping the historic themes of the quads, using Empire's A2 &amp; B1 is too Battleship like and meaningless."
16,Thu Oct 22 18:17:50 +0000 2020,"@JaneChamp @ksc_2015 @UAlbanyGradSch @ualbany @UAlbanyBusiness You are not alone, @JaneChamp !"
17,Thu Oct 22 17:31:09 +0000 2020,"@CEG_NY @capregchamber @EmpireStateDev @NYSEDC @NIST_MEP @ualbany @SaratogaEconDev @GrowWarrenCoNY @Columbia_EDC @CapAlbanyCorp @AlbanyBID How awesome. Congratulations, Katie."
18,Thu Oct 22 17:21:56 +0000 2020,@maciase10 @IRP_UW @ijuanathesaurus @SociologyatUCSC @ualbany Thank you!!!!
19,Thu Oct 22 17:06:46 +0000 2020,@IRP_UW @ijuanathesaurus @zra_research @SociologyatUCSC @ualbany Congrats @zra_research!!!
20,Thu Oct 22 16:55:06 +0000 2020,@UAlbanyMBA @ksc_2015 @UAlbanyGradSch @ualbany @UAlbanyBusiness Still my favorite of all time!
21,Thu Oct 22 15:28:43 +0000 2020,@ahyde110 @IRP_UW @ijuanathesaurus @SociologyatUCSC @ualbany Thank you!!!!!! 🙏🏽🙏🏽🙏🏽
22,Thu Oct 22 15:21:32 +0000 2020,@IRP_UW @ijuanathesaurus @zra_research @SociologyatUCSC @ualbany Congrats @zra_research !
23,Thu Oct 22 13:07:02 +0000 2020,RT @KateTubbesing: Capital district postdoc association has been re-booted!!! We are hosting our first virtual event Friday! So excited!!!…
24,Thu Oct 22 02:00:25 +0000 2020,"@NYGovCuomo can you please tell @ualbany students to respect their uber drivers, too?"
25,Wed Oct 21 18:38:12 +0000 2020,@ualbany can you Atleast switch that odd day off in February and give us back our reading day back
26,Wed Oct 21 10:51:01 +0000 2020,RT @KateTubbesing: Capital district postdoc association has been re-booted!!! We are hosting our first virtual event Friday! So excited!!!…
27,Wed Oct 21 09:17:28 +0000 2020,@pxm1911 @myrtlebeachhigh @ualbany SUNY Albany bookstore website
28,Wed Oct 21 03:39:18 +0000 2020,RT @KateTubbesing: Capital district postdoc association has been re-booted!!! We are hosting our first virtual event Friday! So excited!!!…
29,Wed Oct 21 03:39:11 +0000 2020,@KateTubbesing @barrosolab @CapSciNY @AlbanyMed @rpi @ualbany @wadsworthcenter @NeuralStemCells Cc @AlbanyMedDNET @superchiasmatic @real_joecapgras @AG_Charlz who am I missing??
30,Wed Oct 21 03:37:13 +0000 2020,RT @BrandyAly: If trump can have rallies and large gathering @ualbany I need a graduation 🙂🙂
31,Wed Oct 21 03:21:48 +0000 2020,@KateTubbesing @barrosolab @CapSciNY @AlbanyMed @rpi @ualbany @wadsworthcenter @NeuralStemCells Great to see this is still happening! I was part of the capital district post-doc association many moons ago
32,Wed Oct 21 01:42:50 +0000 2020,RT @KateTubbesing: Capital district postdoc association has been re-booted!!! We are hosting our first virtual event Friday! So excited!!!…
33,Tue Oct 20 23:46:33 +0000 2020,RT @KateTubbesing: Capital district postdoc association has been re-booted!!! We are hosting our first virtual event Friday! So excited!!!…
34,Tue Oct 20 23:41:09 +0000 2020,@SenorKimmins @myrtlebeachhigh @ualbany Where you get the mask???
35,Tue Oct 20 23:12:12 +0000 2020,Capital district postdoc association has been re-booted!!! We are hosting our first virtual event Friday! So excited!!! If you missed emails- DM me for details and slack page link! #518scientist @CapSciNY @AlbanyMed @rpi @ualbany @wadsworthcenter @NeuralStemCells
36,Tue Oct 20 21:44:35 +0000 2020,If trump can have rallies and large gathering @ualbany I need a graduation 🙂🙂
37,Tue Oct 20 20:54:42 +0000 2020,@CEG_NY @WTEN @UpNYCreative @ualbany @rpi @AlaantWFS @capregchamber @SaratogaChamber @RenscoChamber @MCCoyCountyExec @MayorSheehan I call it breathing room. Moved from #212 to #518 in 2019 #518life
38,Tue Oct 20 19:46:04 +0000 2020,@ualbany where is our reading day! We want our reading day!
39,Tue Oct 20 19:26:14 +0000 2020,"@ualbany i still don’t get why online students are paying hundreds of dollars for gyms, printers, events and services we literally cannot use from home"
40,Tue Oct 20 19:08:18 +0000 2020,@madskardash @ualbany i don’t even understand this math 💀
41,Tue Oct 20 19:04:09 +0000 2020,it's the extending the semester 6 days because y'all gave us 2 days off for me @ualbany
