,created_at,full_text
0,Mon Oct 26 12:55:35 +0000 2020,RT @KISSmaniacz: @ThatEricAlper @ace_frehley at @UBuffalo @ubcfa in 2015. Awesome show! @kiss @PaulStanleyLive @genesimmons #AceFrehley #Sp…
1,Mon Oct 26 08:30:05 +0000 2020,@NirupamAich @NJIT_Civil @LuciaRodFreire @WenZhang_Nano @UBengineering @UBuffalo Any link to attend the seminar?
2,Mon Oct 26 02:14:33 +0000 2020,@ThatEricAlper @ace_frehley at @UBuffalo @ubcfa in 2015. Awesome show! @kiss @PaulStanleyLive @genesimmons #AceFrehley #SpaceAce #Spaceman #KISS
3,Sun Oct 25 21:52:18 +0000 2020,"So much fun spending Sunday night judging @BXLaunchPad #LaunchPadSW! 7 incredible ideas came to life in only 54 hours 🔥Incredible diverse teams from @Cornell @SyracuseUniv @UBuffalo solving food, health and employment challenges. The future looks bright with this crew! 🙌🏼"
4,Sun Oct 25 20:58:16 +0000 2020,RT @willshady_0: I'm so proud of our @UBuffalo League of Legends team for winning the @ESC_Conference fall invitational last night! Excited…
5,Sun Oct 25 20:46:54 +0000 2020,RT @willshady_0: I'm so proud of our @UBuffalo League of Legends team for winning the @ESC_Conference fall invitational last night! Excited…
6,Sun Oct 25 20:29:43 +0000 2020,RT @willshady_0: I'm so proud of our @UBuffalo League of Legends team for winning the @ESC_Conference fall invitational last night! Excited…
7,Sun Oct 25 19:45:11 +0000 2020,I'm so proud of our @UBuffalo League of Legends team for winning the @ESC_Conference fall invitational last night! Excited to see where we fall in the college rankings after flawless play yesterday.
8,Sun Oct 25 12:18:04 +0000 2020,"@teeforton @UBuffalo @ECDOH Hey Tee, one is in the works! When I last reached out to the county UB was still processing some samples per the county."
9,Sun Oct 25 10:19:24 +0000 2020,@Robert_Hackford @UBuffalo @ECDOH Love to know more about this story. Can I talk to someone about this?
10,Sat Oct 24 13:54:44 +0000 2020,"@JenniferNassour Hey @UBuffalo, as the only law school in the SUNY system, you gonna claim this jackwagon?"
11,Sat Oct 24 07:51:35 +0000 2020,@organicnut68 @UBuffalo You’re fixated on the hair. I watch certain athletes for their ability to talk trash as well
12,Sat Oct 24 07:50:44 +0000 2020,@organicnut68 @UBuffalo BIRDMAN! Chris Anderson!!! 🦅
13,Sat Oct 24 07:11:16 +0000 2020,@Trev972 @UBuffalo I am wondering now if I actually watch the games or if I am fixated on their hair? 🤣 Like the blonde with the mohawk and tats. Whats his name?
14,Sat Oct 24 07:08:33 +0000 2020,@Trev972 @UBuffalo For basketball or to visit? He needed to play more. I know he was salty and rightfully so.
15,Sat Oct 24 07:06:31 +0000 2020,@organicnut68 @UBuffalo He left China last season
16,Sat Oct 24 07:06:17 +0000 2020,@organicnut68 @UBuffalo That would be great! Jeremy Lin DID have a dread phase! Just looked it up! 😳
17,Sat Oct 24 06:57:09 +0000 2020,@Trev972 @UBuffalo Oh. All these players with hair problems. 😆 Not to mention Jeremy Lin. What was with his dreadlock phase? Where is he now? Europe?
18,Sat Oct 24 06:55:08 +0000 2020,"@Trev972 @UBuffalo Since they are a Canadian team, why not go to one of the Canadian Univ.? There are a ton. UofT would keep them around the corner from the stadium. One fall I was checking out of a hotel in Niagara (CDN side) as they were checking in."
19,Sat Oct 24 06:38:19 +0000 2020,@organicnut68 Wouldn’t @UBuffalo be better?
20,Fri Oct 23 17:09:46 +0000 2020,A nice day to walk around campus! @UBuffalo
