,created_at,full_text
0,Mon Oct 26 17:29:39 +0000 2020,The @uakron wifi being out for the past few days makes it really hard to attend virtual classes. When will it be back on?
1,Mon Oct 26 16:52:18 +0000 2020,".@CLE_State @cwru @JohnCarrollU @NotreDameOhio @KentState @hiramcollege @uakron @youngstownstate R U willing 2 take the challange 2 join forces 2 bring greater academic achievement 2 @CLEMetroSchools 
&amp; other urban districts 2 imprve outcomes in 
R region's workforce &amp; prosperity"
2,Mon Oct 26 16:19:01 +0000 2020,.@CLE_State @cwru @JohnCarrollU @NotreDameOhio @KentState @hiramcollege @uakron @youngstownstate arriving to solutions also requires in-depth reporting about about progress from @clevelanddotcom @cleveland19news @fox8news @wkyc @WEWS and feed back from the CLE community.
3,Mon Oct 26 16:13:52 +0000 2020,.@CLE_State @cwru @JohnCarrollU @NotreDameOhio @KentState @hiramcollege @uakron @youngstownstate The solution comes with leveraging the power of strong academic institutions and bringing solutions to public for discourse.  All working together for the same goal.
4,Mon Oct 26 16:10:39 +0000 2020,"In NE Ohio, we have .@CLE_State @cwru @JohnCarrollU @NotreDameOhio @KentState @hiramcollege @uakron 
@youngstownstate which can all be part of the solution 2 improve the urban school academic standards.  Lets stop the slogans and lip service and get to work!  
@KeepGoingCLE"
5,Mon Oct 26 00:40:14 +0000 2020,@uakron Just a reminder that Spring 2021 registration is a little over two weeks away. Please contact your academic adviser to schedule your appointment and pre-enroll in the classes for your major and General Education requirements. #GettinClassy #UASpring21 #Zips #UA #UAkron
6,Mon Oct 26 00:34:54 +0000 2020,@uakron Just a reminder that Spring 2021 registration is a little over two weeks away. Please contact your academic adviser for your appointment and pre-enroll in the classes for your major and General Education requirements. #GettinClassy #UASpring21 #Zips #UA #UAkron
7,Sun Oct 25 00:02:10 +0000 2020,@uakron    Doctor Boyce walking
8,Sat Oct 24 17:00:47 +0000 2020,"@OhioStateFB defensive line looks like they should have @uakron uniforms on. Pathetic. Regardless if they win this game, that #5 ranking is sliding. #Big10"
9,Sat Oct 24 15:54:59 +0000 2020,"RT @WZIP: Today on #ZipsUnlimited: Dr. Susan Hanlon, Dean of  @akronCBA, talks about the Knack tutoring app. 

Also, Dr. Sydney Chinchancho…"
10,Sat Oct 24 15:52:29 +0000 2020,"Today on #ZipsUnlimited: Dr. Susan Hanlon, Dean of  @akronCBA, talks about the Knack tutoring app. 

Also, Dr. Sydney Chinchanchokchai, asst. professor of marketing, talks about her virtual Thai cooking classes.

Get the scoop on everything @uakron at noon, only on #Z88"
11,Fri Oct 23 19:31:53 +0000 2020,@uakron It’s a little ✨spicy✨ in spicer with 81° dorm rooms 🥵
12,Fri Oct 23 16:47:34 +0000 2020,My room at @uakron is currently 76°F because they decided to turn on the heat when the highest temperature the past 2 days was almost 80°
13,Fri Oct 23 01:34:50 +0000 2020,@bigmike_1845 @KentState @uakron Oof 🤕 we’re just not important enough
14,Thu Oct 22 18:32:17 +0000 2020,"@PiperPerabo @KenyonCollege @miamiuniversity @CLE_State @uakron @UToledo @WoosterEdu @XavierU @wrightstate @OhioStateFB @OHStudentUnion Dear Piper and I have been writing for a long time to talk to you, I am a fan of you who writes on Facebook in COVERT AFFAIRS ITALIA I wish I could also speak to you in SKYPE Serge Antoine.GOMEZ, on email sergeagomez@gmail.com for friendship thanks"
15,Thu Oct 22 18:32:07 +0000 2020,"@PiperPerabo @lwvohio @ohiou @OhioState @ohioaflcio @cavs @uakron @DispatchAlerts @cincinnatiopera @KentState @cwru Dear Piper and I have been writing for a long time to talk to you, I am a fan of you who writes on Facebook in COVERT AFFAIRS ITALIA I wish I could also speak to you in SKYPE Serge Antoine.GOMEZ, on email sergeagomez@gmail.com for friendship thanks"
16,Thu Oct 22 17:07:06 +0000 2020,@MACSports @UAkronPresident @uakron @AkronZips congratulations!
17,Thu Oct 22 15:39:22 +0000 2020,"Hey @uakron, where's the tribute to Steve French?"
18,Thu Oct 22 12:45:26 +0000 2020,@uakron you don't think it's weird that we have to pay for a full semester's worth of a parking pass when classes are going strictly online halfway into it?
19,Thu Oct 22 00:35:07 +0000 2020,@PiperPerabo @lwvohio @ohiou @OhioState @ohioaflcio @cavs @uakron @DispatchAlerts @cincinnatiopera @KentState @cwru Already submitted my vote via the mail!
20,Wed Oct 21 21:25:33 +0000 2020,"@CokesSunday @AkronZips @uakron @ZipsMBB @ZipsFB @ZipsMSoc @Zips_United @ZipsBarstool @AkronEcho @640whlo First the passing of Eddie Van Halen now the axing of the Voice of Akron sports, Steve French! 2020 will go down as the worst year ever."
21,Wed Oct 21 19:21:48 +0000 2020,"@640whlo @CokesSunday @AkronZips @uakron @ZipsMBB @ZipsFB @ZipsMSoc @ZipsBarstool @AkronEcho Well there's your confirmation! 😉

Thanks!"
22,Wed Oct 21 19:02:46 +0000 2020,"@Zips_United @CokesSunday @AkronZips @uakron @ZipsMBB @ZipsFB @ZipsMSoc @ZipsBarstool @AkronEcho When the Zips football team take the field, Dave Skoczen and Joe Dunn will be behind the mics on 640 WHLO."
23,Wed Oct 21 18:59:48 +0000 2020,@CokesSunday @AkronZips @uakron @ZipsMBB @ZipsFB @ZipsMSoc @ZipsBarstool @AkronEcho @640whlo Have also heard the rumor but working to confirm.
24,Wed Oct 21 15:18:21 +0000 2020,"RT @GrowlNews: Jr and Sr @WHS_Cougars! Virtual college visits today-info on cohort classroom for @CLE_State 9am, @Otterbein at 10am, @UTole…"
25,Wed Oct 21 12:11:57 +0000 2020,"Jr and Sr @WHS_Cougars! Virtual college visits today-info on cohort classroom for @CLE_State 9am, @Otterbein at 10am, @UToledo at 11am, @miamiuniversity  at 1pm, and @uakron at 2pm. Drop in and get important info for your future plans NOW!"
26,Tue Oct 20 22:59:38 +0000 2020,"RT @mikeeberhart21: Coach Yon Jones, u will be missed!  🙏to the Jones &amp; Bell family during this time. Yon was a great competitor in everyth…"
27,Tue Oct 20 19:58:25 +0000 2020,"Coach Yon Jones, u will be missed!  🙏to the Jones &amp; Bell family during this time. Yon was a great competitor in everything  involved. She fought the good fight. It was a pleasure to know u since our @uakron days.  Yon’s legacy will live on in @AkronOhioMayor &amp; @KGRamsAthletics"
28,Tue Oct 20 19:14:05 +0000 2020,@_dieterichl @uakron OSU had a “covid” dorm and it hit max capacity in a few days and they had to start getting hotel rooms. Interesting that Akron doesn’t have a quarantine form.
29,Tue Oct 20 17:13:23 +0000 2020,@LtGovHusted @JonHusted @uofcincy @uakron How nice. Open Ohio NOW!
30,Tue Oct 20 14:41:20 +0000 2020,@LtGovHusted @JonHusted @uofcincy @uakron Too bad they can' fight the rise of Covid in Ohio because they ran off the one person who was doing something about it.
31,Tue Oct 20 14:33:40 +0000 2020,@damagruich @ZipsFB @ZipsMatt @uakron Thank you! 👊
32,Tue Oct 20 14:27:15 +0000 2020,"@ZipsFB @ZipsMatt @MattKaulig Happy birthday, Matt! Thanks for all that you do to support @Uakron"
33,Tue Oct 20 00:29:29 +0000 2020,@uakron can I get my email back?
34,Mon Oct 19 18:47:44 +0000 2020,@uakron Next time you’re designing online classes PLEASE DO NOT MAKE US WORK IN GROUPS! We can’t even meet in person how are we supposed to work on a project together....
35,Mon Oct 19 12:49:29 +0000 2020,@LeslieBell80 @uakron Wonderful! It's a pleasure to make your acquaintance.
36,Mon Oct 19 12:36:04 +0000 2020,@AlexaKaye3 @uakron So am I. Graduated in '06 with a B.S. in Political Science/Criminal Justice and in '10 with an M.A. in Higher Education Administration. #ForeverAZip
37,Mon Oct 19 12:28:12 +0000 2020,@LeslieBell80 I am a proud two-time @uakron graduate. Thank you for listening! #GoZips
38,Mon Oct 19 03:40:54 +0000 2020,"@ohioctm @lmpach @uakron Many congrats, Lynne"
