,created_at,full_text
0,Mon Oct 26 12:58:15 +0000 2020,"Technological investment, institutional enhancement, knowledge production, and environmental protection are the foundational support mechanisms for a successful incremental adaptation (IA) @StevenofJones @rmatthew99 @JamesOrbinski @UofAlabama @UCIrvine @UCIBlumCenter @DIGHR_YorkU"
1,Mon Oct 26 06:31:15 +0000 2020,@Okpala_IU @UofAlabama @bamaengineering Congratulations keep winning brother
2,Mon Oct 26 03:16:09 +0000 2020,@DamonKB54 @stew_boss @DougJones @UofAlabama @AuburnU Yes. We know.
3,Mon Oct 26 02:11:40 +0000 2020,@DrPeckPNP @uaccn @UofAlabama Congrats Jessica!
4,Mon Oct 26 01:18:35 +0000 2020,"@HannahBriner @UofAlabama @UAStudents Thank you whoever you are 🙂

As old as I am I miss that school. I stayed connected with that school and T town after I graduated .

I cherish my years there. I loved it. 

Have a  good night and thanks for the information 💯

😴"
5,Mon Oct 26 01:14:57 +0000 2020,"RT @HannahBriner: @81noremaC70 @UofAlabama @UAStudents Yes to both, but to have the pizza delivered you use the 16 digit dining dollars num…"
6,Mon Oct 26 01:04:58 +0000 2020,"@81noremaC70 @UofAlabama @UAStudents Yes to both, but to have the pizza delivered you use the 16 digit dining dollars number associated with your ACT card!"
7,Sun Oct 25 23:09:33 +0000 2020,@UA_SocialWork @DrAlbright @AASWSWorg @vitalalabama @UofAlabama Congratulations @DrAlbright
8,Sun Oct 25 22:50:28 +0000 2020,@ByrdSloan @UofAlabama You rate 10 stars in my book
9,Sun Oct 25 21:08:41 +0000 2020,@boogey72 @PinkGoatGaming @steelers @UofAlabama I already have multiple times
10,Sun Oct 25 20:42:35 +0000 2020,"@UAGallettes Attention @UofAlabama students, if you scoop 5 and ship, I will Venmo."
11,Sun Oct 25 20:41:11 +0000 2020,@StevenofJones @UofAlabama @HamedMoftakhari @WanyunShao @HamidMoradkhani @AlabamaWater @bamaengineering Congratulations sir
12,Sun Oct 25 20:38:37 +0000 2020,@PinkGoatGaming @Frankie_Knuckl @steelers @UofAlabama Sorry @Frankie_Knuckl blame it on @PinkGoatGaming .. clearly his fault!!
13,Sun Oct 25 20:36:00 +0000 2020,@PinkGoatGaming @Frankie_Knuckl @steelers I can't say much. @UofAlabama gave him one too.
14,Sun Oct 25 16:14:00 +0000 2020,@RickKarle @AlabamaFTBL @UA_Athletics @KristenSabanS @SEC @UofAlabama @WVTM13 So many people love this family! Thank you for making sure even more people fall in love with them and see what real faith is!
15,Sun Oct 25 16:11:20 +0000 2020,@Okpala_IU @UofAlabama @bamaengineering Congratulations to you Sir
16,Sun Oct 25 16:07:08 +0000 2020,@RickKarle @AlabamaFTBL @UA_Athletics @KristenSabanS @SEC @UofAlabama @WVTM13 Thank you Rick!
17,Sun Oct 25 15:47:02 +0000 2020,@Okpala_IU @UofAlabama @bamaengineering Congrats!
18,Sun Oct 25 14:05:50 +0000 2020,@UofAlabama I was just sitting here thinking.. Guarantano has another year of eligibility left because of covid.  I wonder if he will be back...lol
19,Sun Oct 25 13:42:19 +0000 2020,"@cchgagspointer @willainsworthAL @GovKayIvey @AlabamaFTBL @universityofga @UofAlabama @AlabamaEMA @ALPublicHealth @LLinWood I agree but only with full freedom of assembly, not with size restrictions. This is about accommodating, protecting, and supporting immunocompromised  populations, not controlling healthy masses that deserve free will and risk mitigation."
20,Sun Oct 25 11:44:23 +0000 2020,@UofAlabama Get it Najee #RollTide ❤🙌🏾🐘🏈🔴⚪💪🏾🔥
21,Sun Oct 25 09:12:38 +0000 2020,@UofAlabama Go Bama roll tide !!!
22,Sat Oct 24 23:48:04 +0000 2020,@UofAlabama It was a very sad win today because we lost Jaylen Waddle😪
23,Sat Oct 24 23:05:05 +0000 2020,"@UofAlabama Roll Tide! Waddle, get that ankle healthy. Someone needs to invent Titanium-Kevlar sports tape. Sell it by the Roll Tide!"
24,Sat Oct 24 22:59:21 +0000 2020,Good job @UofAlabama I should have been there ..
25,Sat Oct 24 22:52:52 +0000 2020,"Mac Jones is the Real Deal!!!
ROLL TIDE
@UofAlabama @AlabamaFTBL @UA_Athletics"
26,Sat Oct 24 22:06:47 +0000 2020,@UofAlabama The Mac Attack #RollTide QB #JokerSeason #10 ❤🙌🏾🐘🏈🔴⚪💪🏾🔥
27,Sat Oct 24 22:05:31 +0000 2020,@SEConCBS @UofAlabama This cigar is going to be so sweet
