,created_at,full_text
0,Sat Oct 24 07:14:52 +0000 2020,"@AlyseGalvin @repdonyoung as someone who is trying to finish their Computer Science degree at @uaanchorage, what are you guys going to do to bring more STEM jobs to the great state of AK? As it stands right now most jobs are found elsewhere in WA, CA, and TX."
1,Fri Oct 23 10:42:37 +0000 2020,@tere_alonso_ @UAKFoundation @uaanchorage Go Seawolves 💛💚💛💚
2,Thu Oct 22 20:55:35 +0000 2020,"@uaanchorage @UA_System @CathySandeen Thanks for responding. I think you could do better in sending emails to your workers, as some of them report not getting this information. Think I can get some accountability now from @uaaengage ?"
3,Thu Oct 22 20:35:27 +0000 2020,@kberry6788 @uaanchorage that is AWESOME!
4,Thu Oct 22 19:32:02 +0000 2020,RT @CBu250: I give to @uaanchorage because we continue to try new approaches and elevate our student experiences. The @UAAEsportLounge is o…
5,Thu Oct 22 19:16:21 +0000 2020,I give to @uaanchorage because we continue to try new approaches and elevate our student experiences. The @UAAEsportLounge is one of many new and amazing opportunities for Seawolf Nation. #UAGivingDay2020Why
6,Thu Oct 22 18:46:55 +0000 2020,"@CathySandeen @uaanchorage Thank you, Chancellor @CathySandeen!"
7,Thu Oct 22 15:22:34 +0000 2020,RT @BortzGroup: @devindrown @uafairbanks @Alaska_DHSS @uaanchorage And @devindrown who has done lots of @nanopore assembly using @NetworkAr…
8,Thu Oct 22 10:04:29 +0000 2020,@devindrown @uafairbanks @Alaska_DHSS @uaanchorage And @devindrown who has done lots of @nanopore assembly using @NetworkArtic
9,Thu Oct 22 04:23:03 +0000 2020,"RT @derthmertl: @uaanchorage I think you meant 
“Students who enter the UAA College of Arts and Sciences have the opportunity to experience…"
10,Thu Oct 22 02:56:27 +0000 2020,"Why are @UA_System @uaanchorage @CathySandeen staying silent about covid-19 outbreaks on campus? Kinda seems like IT and facilities staff deserve to know info such as location of these outbreaks, which has not been given to them. #UAAamazing though right?"
11,Thu Oct 22 00:18:07 +0000 2020,"@uaanchorage I think you meant 
“Students who enter the UAA College of Arts and Sciences have the opportunity to experience the breadth and depth of the intellectual life at UAA — from chemistry to communications, and from music to Alaska Native studies (until those programs are cut too!)”"
12,Wed Oct 21 18:57:24 +0000 2020,@kberry6788 @uaanchorage I would like to be a reviewer for this research
13,Wed Oct 21 18:55:10 +0000 2020,@GymnasticsUaa @UAKFoundation @uaanchorage Happy to do it
14,Wed Oct 21 18:52:23 +0000 2020,@kberry6788 @uaanchorage Economist of the VSL
15,Wed Oct 21 17:56:07 +0000 2020,@MGuettabi @kberry6788 @uaanchorage It's a long-standing joke among my conflict colleagues that we need to start a new field of wine security
16,Wed Oct 21 17:53:17 +0000 2020,@kberry6788 @ChadMBriggs @uaanchorage So the next hire should be an expert on a super boring topic. Peace and tranquility?
17,Wed Oct 21 17:50:27 +0000 2020,@ChadMBriggs @uaanchorage We should hire an assistant professor who works on the economics of petting cute puppies.
18,Wed Oct 21 17:50:03 +0000 2020,@uaanchorage I’m giving because the UAA gymnastics is a one of a kind amazing program that needs to be saved #UAGivingDay2020Why
19,Wed Oct 21 17:48:58 +0000 2020,"@kberry6788 @uaanchorage Our newest postdoc is a flooding expert, and we're proposing to bring in grad students to work on tsunamis. So we floods and tsunamis to look forward to"
20,Wed Oct 21 11:59:46 +0000 2020,RT @kberry6788: Excited that I've gotten approval to hire a postdoc to help out with some funded projects @uaanchorage - the advertisement…
21,Wed Oct 21 05:32:08 +0000 2020,RT @kberry6788: Excited that I've gotten approval to hire a postdoc to help out with some funded projects @uaanchorage - the advertisement…
22,Wed Oct 21 04:45:38 +0000 2020,RT @kberry6788: Excited that I've gotten approval to hire a postdoc to help out with some funded projects @uaanchorage - the advertisement…
23,Wed Oct 21 04:29:08 +0000 2020,RT @kberry6788: Excited that I've gotten approval to hire a postdoc to help out with some funded projects @uaanchorage - the advertisement…
24,Wed Oct 21 04:17:15 +0000 2020,RT @kberry6788: Excited that I've gotten approval to hire a postdoc to help out with some funded projects @uaanchorage - the advertisement…
25,Wed Oct 21 04:00:55 +0000 2020,RT @kberry6788: Excited that I've gotten approval to hire a postdoc to help out with some funded projects @uaanchorage - the advertisement…
26,Wed Oct 21 03:47:40 +0000 2020,RT @kberry6788: Excited that I've gotten approval to hire a postdoc to help out with some funded projects @uaanchorage - the advertisement…
27,Wed Oct 21 03:41:35 +0000 2020,RT @kberry6788: Excited that I've gotten approval to hire a postdoc to help out with some funded projects @uaanchorage - the advertisement…
28,Wed Oct 21 03:11:33 +0000 2020,"@kberry6788 @uaanchorage Cool! Hope @uaanchorage bids on States ferries, it's a closed bid(s). Stack it full of Vocational site options statewide. Sort out if anything is owed on either vessel, imagine the out-reach and geo-engineering we could achieve!"
29,Wed Oct 21 03:10:31 +0000 2020,RT @kberry6788: Excited that I've gotten approval to hire a postdoc to help out with some funded projects @uaanchorage - the advertisement…
30,Wed Oct 21 03:06:25 +0000 2020,"Excited that I've gotten approval to hire a postdoc to help out with some funded projects @uaanchorage - the advertisement should be available soon, and the position will focus on bioeconomics and environmental econ #econtwitter"
31,Wed Oct 21 02:46:17 +0000 2020,"Black bear on @uaanchorage campus tonight as I biked in. He seemed surprised, too"
32,Tue Oct 20 22:18:31 +0000 2020,"Please donate to save our program! Anything and everything helps! 💚💛✨

#BeAPerfect10

@uaanchorage"
33,Tue Oct 20 20:08:28 +0000 2020,@Coach_Orton @uaanchorage @UAAMBB @UAASeawolves I'd love to help create a custom one of these for you guys!
34,Tue Oct 20 18:29:07 +0000 2020,@UAAWBB @uaanchorage @UAASeawolves How do I get some Seawolves gear?  I would love to feature you guys!
35,Mon Oct 19 21:33:32 +0000 2020,@davidmpurdy @uaanchorage @KTOOpubmedia Not bad. This took me 5 minutes.
36,Mon Oct 19 21:17:51 +0000 2020,"@shaynenuesca @uaanchorage @KTOOpubmedia How are the render times on Rush these days? I tried it years ago when it was pretty new and it just crawled doing an export with even a little bit of color correction. (I eventually settled on LumaFusion, although I admit its overkill for most real-world uses I've had)"
