,created_at,full_text
0,Sun Oct 25 22:53:26 +0000 2020,@AlaskaWx @uafairbanks Fun! I'll try and tune in.
1,Sat Oct 24 12:59:02 +0000 2020,@IndyFuel @UMDMensHockey @uafairbanks @VasterviksIK Now sign Justin Danforth and bring back Neil Manning
2,Sat Oct 24 01:58:55 +0000 2020,@UAFOceans @AndrewOceanog @UAFcfos @uafairbanks @USLTER Thank you and I am excited to get started and to meet everyone involved in this up and coming @USLTER site!
3,Sat Oct 24 01:56:34 +0000 2020,@AndrewOceanog @UAFcfos @uafairbanks Thank you @AndrewOceanog for the warm welcome and I am excited to meet the team and to dive into some discussion! Not to mention getting to see a new later site.
4,Fri Oct 23 22:05:09 +0000 2020,"@AKVoicesPodcast @uafairbanks @IARC_Alaska Thank you for all of the insightful conversations! Fingers crossed for a Season 2!🤞🏻

#AlaskaVoices"
5,Fri Oct 23 21:39:16 +0000 2020,"This also highlights the importance of museum collections. I was lucky enough to get ahold of this legacy data from the @uafairbanks Museum of the North. It may not be digitized (just printed images of the cards) but it's so, so valuable."
6,Fri Oct 23 20:54:19 +0000 2020,Did you know that one of the services available to alumni is career counseling? This includes but is not limited to help with your resume and cover letter. @uafairbanks #nanooksofthenorth
7,Fri Oct 23 20:23:23 +0000 2020,"@AndrewOceanog @TBryceKelly @UAFcfos @uafairbanks Welcome to @UAFcfos and the NGA @USLTER project, @TBryceKelly! We look forward to working with you!"
8,Thu Oct 22 20:02:03 +0000 2020,Anyone up for donating swag to our amazing students? @WeberStateU @SUUThunderbirds @USUAggies @uofutah @BYU @SnowCollege @UVU @uafairbanks @MSUBobcats @WestminsterSLC @USUAggies @davistechcolleg @DixieState
9,Thu Oct 22 19:21:23 +0000 2020,@dolla_is_balla @uafairbanks @UAKFoundation Smart move covering up the hairline
10,Thu Oct 22 17:46:34 +0000 2020,@IndyFuel @UMDMensHockey @uafairbanks @VasterviksIK I dig Coach Doug bringing in guys with pro experience in Europe. 50 days to puck drop! LFG! 🏒
11,Thu Oct 22 17:15:44 +0000 2020,@Joe_CEM @uafairbanks Not bad!
12,Thu Oct 22 15:22:34 +0000 2020,RT @BortzGroup: @devindrown @uafairbanks @Alaska_DHSS @uaanchorage And @devindrown who has done lots of @nanopore assembly using @NetworkAr…
13,Thu Oct 22 10:04:29 +0000 2020,@devindrown @uafairbanks @Alaska_DHSS @uaanchorage And @devindrown who has done lots of @nanopore assembly using @NetworkArtic
14,Thu Oct 22 05:24:17 +0000 2020,@SARevangelist @uafairbanks @edXOnline Loving it!
15,Wed Oct 21 22:48:05 +0000 2020,"@SARevangelist @edXOnline @ESA_EO @NASAARSET @SERVIRGlobal @BZgeo @uafecampus @uafairbanks @UNAVCO @IEEE_GRSS @ISPRS_SC @africa_science @AmeriGEOSS @SilvaCarbon Look at me! My pin in SW Victoria, Australia, right there, that is Warrnambool! Honoured to represent #SAR student (being the only one) in Regional Victoria!!
By the way, the course (and handbook) is awesome!"
