,created_at,full_text
0,Mon Oct 26 18:49:29 +0000 2020,@rocqueperez @uarizona Thank you for reading my story
1,Mon Oct 26 18:31:04 +0000 2020,"RT @brahmresnik: THERE’S MORE @SophiaBush, star of ‘One Tree Hill,’ on @uarizona campus in Tucson Monday morning to kick off early vote for…"
2,Mon Oct 26 18:04:51 +0000 2020,"RT @astrochunly: Anyone else think it's weird that in an email from @uarizona President, the words ""there will not be a re-entry briefing t…"
3,Mon Oct 26 17:26:11 +0000 2020,"RT @uarizona: We all struggle with feeling alone, especially these days. Take a moment to remind yourself: ""I am always enough for the righ…"
4,Mon Oct 26 17:20:32 +0000 2020,"Anyone else think it's weird that in an email from @uarizona President, the words ""there will not be a re-entry briefing today at 10AM"" was entirely avoided."
5,Mon Oct 26 17:14:52 +0000 2020,"RT @uarizona: We all struggle with feeling alone, especially these days. Take a moment to remind yourself: ""I am always enough for the righ…"
6,Mon Oct 26 17:12:46 +0000 2020,"RT @uarizona: We all struggle with feeling alone, especially these days. Take a moment to remind yourself: ""I am always enough for the righ…"
7,Mon Oct 26 17:10:48 +0000 2020,"RT @uarizona: Election day is approaching &amp; encourage students, faculty &amp; staff who are eligible to exercise their right to vote. 
Pima Cou…"
8,Mon Oct 26 16:39:54 +0000 2020,"RT @brahmresnik: THERE’S MORE @SophiaBush, star of ‘One Tree Hill,’ on @uarizona campus in Tucson Monday morning to kick off early vote for…"
9,Mon Oct 26 16:33:58 +0000 2020,"RT @uarizona: We have now administered a total of 56,368 tests since August 4th, with a positivity rate of 4.3%."
10,Mon Oct 26 16:23:38 +0000 2020,"RT @uarizona: Early voting is also available at the Student Union, today, October 26 through Friday, October 30, from 9:00a to 5:00p, hoste…"
11,Mon Oct 26 16:21:33 +0000 2020,"Upon completion of the survey, they are redirected to a website where they can register for the pre-travel testing blitz. The tests will be administered by appointment only following Nov 6."
12,Mon Oct 26 16:20:20 +0000 2020,"RT @uarizona: Early voting is also available at the Student Union, today, October 26 through Friday, October 30, from 9:00a to 5:00p, hoste…"
13,Mon Oct 26 16:20:18 +0000 2020,RT @uarizona: We are continuing with our plan for the fall break beginning November 26. Students have been sent the required survey asking…
14,Mon Oct 26 16:19:44 +0000 2020,We are continuing with our plan for the fall break beginning November 26. Students have been sent the required survey asking for their plans.
15,Mon Oct 26 16:19:06 +0000 2020,"Early voting is also available at the Student Union, today, October 26 through Friday, October 30, from 9:00a to 5:00p, hosted by @ASUATODAY in conjunction with the Pima County recorder’s office."
16,Mon Oct 26 16:16:01 +0000 2020,"Election day is approaching &amp; encourage students, faculty &amp; staff who are eligible to exercise their right to vote. 
Pima County registered voters who have not had the opportunity may drop off their mail-in ballot or vote in person at the Student Union Memorial Center on Nov 3rd."
17,Mon Oct 26 16:12:34 +0000 2020,"We have now administered a total of 56,368 tests since August 4th, with a positivity rate of 4.3%."
18,Mon Oct 26 16:10:18 +0000 2020,"We also continue to test many students every day. On Friday, October 23, the numbers were: 
1,016 tests administered, with 2 positives."
19,Mon Oct 26 16:06:43 +0000 2020,Courses with up to 50 students that were previously identified as being in-person or flex in-person now have the option of beginning on-campus instruction. This is still part of stage 2.
20,Mon Oct 26 15:12:41 +0000 2020,@brahmresnik @SophiaBush @uarizona @JoeBiden @IndivisChandler we need to show up for this when details are out! Anybody in?
21,Mon Oct 26 14:54:12 +0000 2020,"RT @brahmresnik: THERE’S MORE @SophiaBush, star of ‘One Tree Hill,’ on @uarizona campus in Tucson Monday morning to kick off early vote for…"
22,Mon Oct 26 14:45:12 +0000 2020,"RT @brahmresnik: THERE’S MORE @SophiaBush, star of ‘One Tree Hill,’ on @uarizona campus in Tucson Monday morning to kick off early vote for…"
23,Mon Oct 26 14:44:52 +0000 2020,"RT @brahmresnik: THERE’S MORE @SophiaBush, star of ‘One Tree Hill,’ on @uarizona campus in Tucson Monday morning to kick off early vote for…"
24,Mon Oct 26 14:44:52 +0000 2020,"RT @brahmresnik: THERE’S MORE @SophiaBush, star of ‘One Tree Hill,’ on @uarizona campus in Tucson Monday morning to kick off early vote for…"
25,Mon Oct 26 14:44:52 +0000 2020,"RT @brahmresnik: THERE’S MORE @SophiaBush, star of ‘One Tree Hill,’ on @uarizona campus in Tucson Monday morning to kick off early vote for…"
26,Mon Oct 26 14:44:05 +0000 2020,"THERE’S MORE @SophiaBush, star of ‘One Tree Hill,’ on @uarizona campus in Tucson Monday morning to kick off early vote for @JoeBiden campaign. #12News #BattlegroundAZ"
27,Mon Oct 26 12:31:53 +0000 2020,"RT @uarizona: We all struggle with feeling alone, especially these days. Take a moment to remind yourself: ""I am always enough for the righ…"
28,Mon Oct 26 04:53:47 +0000 2020,"@md_castanon @LMSA_National @LMSA_Midwest @lmsa_southeast @SNMA @EAST_TRAUMA @AAST @AmCollSurgeons @UAWomenAcadMed @WomenSurgeons @LatinoSurgery @LatinasInMed The answer is yes. “1st gen undergrad” me was too timid to do so. I benefited from programs aimed at helping underrepresented minorities interested in #STEM. Maybe a better question is, how do you empower URM undergrads to know they can reach out to mentors? @ubrp @uarizona"
29,Mon Oct 26 03:37:31 +0000 2020,"RT @uarizona: We all struggle with feeling alone, especially these days. Take a moment to remind yourself: ""I am always enough for the righ…"
30,Mon Oct 26 01:48:57 +0000 2020,"RT @uarizona: We all struggle with feeling alone, especially these days. Take a moment to remind yourself: ""I am always enough for the righ…"
31,Mon Oct 26 00:29:15 +0000 2020,"RT @uarizona: We all struggle with feeling alone, especially these days. Take a moment to remind yourself: ""I am always enough for the righ…"
32,Sun Oct 25 23:07:06 +0000 2020,"bold of @uarizona to still be running its a/c at 60° all the way in mid-oct; i would've thought they'd have switched to Way Too Hot by now.

When I was an undergrad, I heard the campus electric bill was $1million/mo. Adjusting for inflation but also solar panels, what is it now?"
33,Sun Oct 25 22:52:59 +0000 2020,"@uarizona the uofa/uarizona needs to work on making teachers learn d2l and standardize some stuff in that, and have systems to allow students to anonymously report teachers having a ego trip. Holly shit, this year has felt like a disaster as a student."
34,Sun Oct 25 21:11:17 +0000 2020,"Sean Miller has single-handedly destroyed UofA's basketball legacy. I love it. Now what are the Arizona fans going to say after ASU beats them in football every year, when they can't say ""see you come basketball season!"" @APlayersProgram @uarizona"
35,Sun Oct 25 21:09:02 +0000 2020,@imxvi @mike_sell This is what I feel about @ASU. I should have gone to @uarizona.
36,Sun Oct 25 20:40:40 +0000 2020,RT @gabeintucson9: @BradfatherSpeak @uarizona He doesn't belong here and never will. He needs to go. Thankfully JET came on to the program.
37,Sun Oct 25 20:39:47 +0000 2020,@BradfatherSpeak @uarizona He doesn't belong here and never will. He needs to go. Thankfully JET came on to the program.
38,Sun Oct 25 20:38:01 +0000 2020,"@gabeintucson9 I don't think Sean Miller ever represented what Tucson, Pima County, Tucsonans and @UArizona is all about. I realize that 90 percent of those I met are transplants, but he still has never really belonged there."
