,created_at,full_text
0,Mon Oct 26 18:39:00 +0000 2020,@ColeLawver @kalebaturner @UArkansas For squirrels? Cmon man they everywhere
1,Mon Oct 26 17:46:01 +0000 2020,"Just came across program from my 1986 @UArkansas graduation.  Frmr Congresswoman Barbara Jordan was speaker; this quote is from her bio:""I believe each individual should have a principled core of his or her being that cannot be negotiated out.That has served me well.#Inspiration"
2,Mon Oct 26 16:10:56 +0000 2020,@kalebaturner @UArkansas BRO I get it. I’m TRYING.
3,Sun Oct 25 06:09:01 +0000 2020,@E_RODRIGUEZ_IG @YouTube @rosannecash @martystuarthq @UArkansas We miss seeing you E. R. My sister and I were reminiscing about last year’s music festival.
4,Sat Oct 24 23:53:39 +0000 2020,@ProfThomasAdam @uarkfulbright @fdu_press @UArkansas @UrbanHistoryA No longer with @utarlington?
5,Sat Oct 24 06:19:19 +0000 2020,@WuerffelTrophy @grantmorgan15 @ArkRazorbacks @UArkansas @SEC @SECNetwork @GHSGoBulldogs Congratulations Grant!!!
6,Fri Oct 23 20:56:47 +0000 2020,RT @Momo_Kudzai: @MapahlaLovemore @dan_magoulick @SameraVinson @UArkansas @AmFisheriesSoc @BenthosNews Thanks for the plug
7,Fri Oct 23 20:56:20 +0000 2020,@MapahlaLovemore @dan_magoulick @SameraVinson @UArkansas @AmFisheriesSoc @BenthosNews Thanks for the plug
8,Fri Oct 23 20:25:19 +0000 2020,"RT @clbmanning: Time to shake things up as @UArkansas Geologist Stephen Boss gets real about US Geo-workforce &amp; demographics. 
#GSA2020 Fri…"
9,Fri Oct 23 19:12:24 +0000 2020,RT @ShradhaMukherj1: @RepFrenchHill @US_EDA @UArkansas @pulaskitech Thank you for this not so little grant for Little Rock Arkansas👌😄#TomCr…
10,Fri Oct 23 19:12:15 +0000 2020,"@RepFrenchHill @US_EDA @UArkansas @pulaskitech Thank you for this not so little grant for Little Rock Arkansas👌😄#TomCruise 🙏😇 rightly points out in #VanillaSky 🎥conclusion/lesson climax scene “little things, there's nothing bigger,is there?” #STEM_US #Business_US #Innovation_US #AmericanDream4Americans #All50States🇺🇸🙏😇"
11,Fri Oct 23 19:11:38 +0000 2020,"@RepFrenchHill @UArkansas @pulaskitech @US_EDA 223,000 dead."
12,Fri Oct 23 18:41:12 +0000 2020,@KelseyMye @UArkansas @WilliamMotaz you’ll need to fill out a new voter registration form and take it to the County Clerk to change your county!
13,Fri Oct 23 18:29:32 +0000 2020,@UArkansas @WilliamMotaz I’m registered in Garland County but would prefer to vote in Fayetteville. How do I get one of the New Voter Registration cards?
14,Fri Oct 23 16:24:39 +0000 2020,@WuerffelTrophy @RazorbackFB @grantmorgan15 @ArkRazorbacks @UArkansas @SEC @SECNetwork @GHSGoBulldogs Yeah he's been good a cuppa times yeah.
