,created_at,full_text
0,Mon Oct 26 18:56:51 +0000 2020,RT @jeanettebruiz: Proudly representing @ucdavis at #HACU2020
1,Mon Oct 26 18:45:25 +0000 2020,RT @MarkALopezPhD: Join me at #HACU2020  Government Relations Update! Where do we go from here? #EmergingHSI @UCDavis @UCD_Diversity #Think…
2,Mon Oct 26 18:45:17 +0000 2020,RT @jeanettebruiz: Proudly representing @ucdavis at #HACU2020
3,Mon Oct 26 18:38:33 +0000 2020,"@blanca_jara1 @ucdavis @UCD_Diversity @HACUNews Day1 is going very well! Hope you enjoyed your fellowship experience last week, Hermana!"
4,Mon Oct 26 18:37:21 +0000 2020,@MarkALopezPhD @ucdavis @UCD_Diversity @HACUNews The conference has been GREAT this year!
5,Mon Oct 26 18:33:17 +0000 2020,RT @jeanettebruiz: Proudly representing @ucdavis at #HACU2020
6,Mon Oct 26 18:33:08 +0000 2020,RT @MarkALopezPhD: Join me at #HACU2020  Government Relations Update! Where do we go from here? #EmergingHSI @UCDavis @UCD_Diversity #Think…
7,Mon Oct 26 18:30:47 +0000 2020,Join me at #HACU2020  Government Relations Update! Where do we go from here? #EmergingHSI @UCDavis @UCD_Diversity #ThinkBigDiversity @HACUNews
8,Mon Oct 26 18:30:19 +0000 2020,@TawnyMata @ucd_cmsi @ucdavis Last I heard we were very close to finalizing that distinction!!!
9,Mon Oct 26 18:29:48 +0000 2020,Proudly representing @ucdavis at #HACU2020
10,Mon Oct 26 18:03:11 +0000 2020,"The California system is the perfect petri dish to create a mentorship pathway. We have the resources, but how can we strengthen relationships?  HS--&gt; CCC --&gt; CSU --&gt; UC 

What are some innovations in collaboration that you are seeing?

@CalCommColleges @calstate @ucdavis"
11,Mon Oct 26 17:48:05 +0000 2020,"RT @JillianMAz: Exciting to hear about what my @ucdavis colleagues are working on in ""Advocating for California's Multilingual Students"" at…"
12,Mon Oct 26 17:44:38 +0000 2020,"Exciting to hear about what my @ucdavis colleagues are working on in ""Advocating for California's Multilingual Students"" at #HACU2020"
13,Mon Oct 26 17:28:06 +0000 2020,RT @TawnyMata: I love the idea of doing a cohort-based intensive learning experience at @ucdavis Aggie Square in Sac. What a cool way to bu…
14,Mon Oct 26 17:27:54 +0000 2020,RT @MeloddyMora: Looking for a workshop involving multilingual students and the undergraduate experience? Go over to the Q&amp;A sesh with two…
15,Mon Oct 26 17:27:40 +0000 2020,RT @MarkALopezPhD: Join me at the @HACUNews Virtual 2020 conference workshop involving multilingual students and the undergraduate experien…
16,Mon Oct 26 17:27:36 +0000 2020,RT @TawnyMata: I love the idea of doing a cohort-based intensive learning experience at @ucdavis Aggie Square in Sac. What a cool way to bu…
17,Mon Oct 26 17:24:44 +0000 2020,"RT @soucylubell: Inspired by the plenary session at #HACU2020. Thinking carefully about what HSI status means for UC Davis, and how, by inc…"
18,Mon Oct 26 17:22:56 +0000 2020,RT @MeloddyMora: Looking for a workshop involving multilingual students and the undergraduate experience? Go over to the Q&amp;A sesh with two…
19,Mon Oct 26 17:22:49 +0000 2020,RT @MarkALopezPhD: Join me at the @HACUNews Virtual 2020 conference workshop involving multilingual students and the undergraduate experien…
20,Mon Oct 26 17:22:34 +0000 2020,RT @MarkALopezPhD: Join me at the @HACUNews Virtual 2020 conference workshop involving multilingual students and the undergraduate experien…
21,Mon Oct 26 17:21:55 +0000 2020,Join me at the @HACUNews Virtual 2020 conference workshop involving multilingual students and the undergraduate experience with @UCDavis faculty Margarita Jimenez Silva and Agustina Carando! #ThinkBigDiversity #HACU2020
22,Mon Oct 26 17:20:57 +0000 2020,I love the idea of doing a cohort-based intensive learning experience at @ucdavis Aggie Square in Sac. What a cool way to build ties between two neighboring cities. #HACU2020
23,Mon Oct 26 17:18:41 +0000 2020,RT @MeloddyMora: Looking for a workshop involving multilingual students and the undergraduate experience? Go over to the Q&amp;A sesh with two…
24,Mon Oct 26 17:14:07 +0000 2020,"Looking for a workshop involving multilingual students and the undergraduate experience? Go over to the Q&amp;A sesh with two excellent Directors: Margarita Jimenez Silva and AgustinA Carando from @ucdavis 

#HACU2020 #ThinkBigDiversity #UCD"
25,Mon Oct 26 17:04:27 +0000 2020,"RT @soucylubell: Inspired by the plenary session at #HACU2020. Thinking carefully about what HSI status means for UC Davis, and how, by inc…"
26,Mon Oct 26 17:02:51 +0000 2020,"Inspired by the plenary session at #HACU2020. Thinking carefully about what HSI status means for UC Davis, and how, by increasing support for researchers, we can continue to provide opportunities to our ever-growing Hispanic community #ThinkBigDiversity @UCD_Diversity @ucdavis"
27,Mon Oct 26 16:54:58 +0000 2020,"RT @ceciliagomezPhD: @ballesterosjmb @HACUNews @UCD_Diversity @ucdavis Me too, super thankful to @UCD_Diversity for this great opportunity!…"
28,Mon Oct 26 16:54:36 +0000 2020,"@ballesterosjmb @HACUNews @UCD_Diversity @ucdavis Me too, super thankful to @UCD_Diversity for this great opportunity! Adelante!"
