,created_at,full_text
0,Mon Oct 26 18:39:01 +0000 2020,on @UCIrvine campus.
1,Mon Oct 26 18:33:45 +0000 2020,@ChristinaToms @Tessa_M_Hill @UCIrvine Just really smoky right now. Evacuations are on the other side of Irvine.
2,Mon Oct 26 18:31:38 +0000 2020,"@UCIrvine Stay safe Anteaters. 
#Zot"
3,Mon Oct 26 18:22:20 +0000 2020,@alexucimartinez @ElzHead @UCIrvine Prayers for all in #OrangeCounty. Stay safe and please keep us posted.
4,Mon Oct 26 18:16:31 +0000 2020,@UCIrvine Prayers for all. Keep us posted.
5,Mon Oct 26 16:54:18 +0000 2020,"@OCFA_PIO Hi @UCIrvine,
Now would be a good time to issue a statement about something other than air quality..."
6,Mon Oct 26 16:53:59 +0000 2020,"@Tessa_M_Hill @BrackenLab @UCIrvine Matt, campus and the surrounding neighborhoods aren’t affected, right? I need to text Kate."
7,Mon Oct 26 16:41:21 +0000 2020,"@BrackenLab @UCIrvine Worried about y’all, stay safe please."
8,Mon Oct 26 16:41:13 +0000 2020,"@krausthelee @UCIrvine Will check it out, good luck!"
9,Mon Oct 26 16:38:33 +0000 2020,@GregRaths @Occidental @SaddlebackColl @UCIrvine Your classes won't reopen if none of you will wear a mask.
10,Mon Oct 26 16:36:03 +0000 2020,@BrackenLab @UCIrvine Stay safe!
11,Mon Oct 26 16:21:05 +0000 2020,@alexsrobin @UCIrvine Yes all staff should've received an e-mail
12,Mon Oct 26 16:00:19 +0000 2020,"@UC_Newsroom @UCIrvine @nature I am US.Citizen.UCLA Chancellor &amp;former UC.president have refused to award me the diploma in structural engineering since 2015. I spent $15,000 and finished 9 courses with GPA=3.54. No racism, discrimination, &amp; retaliation for other ethnic: Azmi Guirguis"
13,Mon Oct 26 14:33:18 +0000 2020,@UCIrvine I hope you know we don't want volunteers on private property. There is a case against them. Sorry. Hope there's video.Thats my life.
14,Mon Oct 26 13:57:12 +0000 2020,"The @UCIrvine-led study, released this summer, confirmed lead soil contamination throughout Santa Ana, but now, as city planners prepare a draft general plan update, environmental advocates say the plan has too few specifics on how city will address the problem"
15,Mon Oct 26 13:56:29 +0000 2020,"The coalition, spearheaded by @_OCEJ_ and @UCIrvine, also reached out to city officials hoping to partner to find solutions, but so far Santa Ana hasn’t taken the coalition up on its offer."
16,Mon Oct 26 12:58:15 +0000 2020,"Technological investment, institutional enhancement, knowledge production, and environmental protection are the foundational support mechanisms for a successful incremental adaptation (IA) @StevenofJones @rmatthew99 @JamesOrbinski @UofAlabama @UCIrvine @UCIBlumCenter @DIGHR_YorkU"
17,Mon Oct 26 06:52:27 +0000 2020,@krausthelee @UCIrvine How do we vote for the staff assembly contest? Is there an email?
18,Mon Oct 26 03:33:42 +0000 2020,@lab_anjel @UCI_SPPS @SacnasUCI @UCIrvineGD @UCIrvine Congrats!!👏🏼
19,Mon Oct 26 03:00:53 +0000 2020,"@UCIrvine California one thing Democrats love to do is take away your personal freedoms,-next they will tell you how to eat when you wear a mask!! next tell you how you must hold a fork! Your California freedoms are under attack by Democrats!!!  Vote Republicans."
20,Mon Oct 26 02:31:50 +0000 2020,PS - if you happen to work at @UCIrvine vote for us in the staff assembly costume contest!
21,Mon Oct 26 02:26:28 +0000 2020,@dremilyportermd We are hoping this entry wins the @UCIrvine staff costume contest 🤞
22,Sun Oct 25 13:51:01 +0000 2020,@lab_anjel @UCI_SPPS @SacnasUCI @UCIrvineGD @UCIrvine Congratulations!
23,Sun Oct 25 13:31:54 +0000 2020,"@jessicalim360 @UCIrvine I am an undergrad @MarymountCU, Bio, Chem and Engery are my besties."
24,Sun Oct 25 10:23:47 +0000 2020,@CandiceCendana @UCIrvineSOM @ucihealth @UCIrvine My Grandmother had it.   She was sharp as a tack her whole life but she struggled with it towards the end.   Kept her dignity thought.
25,Sun Oct 25 02:24:22 +0000 2020,@lab_anjel @UCI_SPPS @SacnasUCI @UCIrvineGD @UCIrvine Congrats love!! 👏🏾👏🏾
26,Sun Oct 25 02:09:53 +0000 2020,"@lab_anjel @UCI_SPPS @SacnasUCI @UCIrvineGD @UCIrvine Fantastic and so well-deserved, Anjelica - CONGRATS!!!"
27,Sun Oct 25 01:50:16 +0000 2020,@lab_anjel @UCI_SPPS @SacnasUCI @UCIrvineGD @UCIrvine Congratulations @lab_anjel 🎈🎈🎈
28,Sat Oct 24 23:29:54 +0000 2020,@pkrapp @UCIrvine @PeterTAnteater @UCIAA @Andriola_UC @ktchppll @dourish @UCI_Informatics @UofCalifornia Yikes.
29,Sat Oct 24 23:19:33 +0000 2020,Great experience taking a virtual class today with .@UCIrvine’s Elevate: People Systems. Brings back memories being an Anteater as a Freshman and Sophomore during my undergrad years. 📓🤓#ContinuousLearning
30,Sat Oct 24 21:09:04 +0000 2020,The @UCIrvine BMB talks will resume on Monday October 26th from 9:30 to 11 AM PST. The speaker this week is Stephanie Grasso from @UTAustin who will discuss the impacts of bilingualism on Alzheimer's Disease! Message us for the zoom link to hear about this fascinating topic!
31,Sat Oct 24 19:24:06 +0000 2020,@Joshuawolf @UCIrvine What was the frequency of decolonization?
32,Sat Oct 24 18:38:54 +0000 2020,"Attending a symposium on Parkinson's and I am in tears. Aside from anything he has told us, I didn't know all of the other things my Dad has been going through the past 10 years. 😞😢  

Thank you @UCIrvineSOM @UCIhealth @UCIrvine for hosting this today."
33,Sat Oct 24 16:55:04 +0000 2020,"@iamabruin @UCIrvine @UCRiverside 
What #BigTech billionaires don’t want you to know is that #Prop20 protects victims of crime, including victims of domestic violence, unconscious rape and those targeted through hate crimes. Your safety is your right. Prop. 20 makes sense."
34,Sat Oct 24 08:05:11 +0000 2020,"@UC_Newsroom @UCIrvine @theNAMedicine I am US.Citizen.UCLA Chancellor &amp;former UC.president have refused to award me the diploma in structural engineering since 2015. I spent $15,000 and finished 9 courses with GPA=3.54. No racism, discrimination, &amp; retaliation for other ethnic: Azmi Guirguis"
35,Fri Oct 23 23:52:07 +0000 2020,"@UCIPubAffairs @UCIrvine @UCAdvocacy Hello America Joe Biden will vote like a Democrat to ,-defund the police,-increase government regulation which destroys American jobs &amp; American industry!!
Protect your family THINK!! ,,
Get out &amp; Vote 100% Republican!!!"
36,Fri Oct 23 23:51:40 +0000 2020,"@UCIrvine Hello America Joe Biden will vote like a Democrat to ,-defund the police,-increase government regulation which destroys American jobs &amp; American industry!!
Protect your family THINK!! ,,
Get out &amp; Vote 100% Republican!!!"
37,Fri Oct 23 22:48:31 +0000 2020,@manuellayassa @UCIrvineGD @UCIrvine @UCIBioSci Thank you Manuella! ❤️🤗
38,Fri Oct 23 22:19:27 +0000 2020,@IrvineChamber @UCIrvine @bbraun_com @omniprint @City_of_Irvine @Goldenstatefood @SecondHarvestFB @Ampronix @IUSD @hoaghealth @googlefiber @UCICove Thank you @IrvineChamber ! We are honored to be among such amazing honorees.
39,Fri Oct 23 22:16:43 +0000 2020,RT @mike_yassa: Tonight 6-8 pm I will be hosting a discussion on #DiversityandInclusion in the @UCIrvine booth at #SACNAS2020. Join me for…
40,Fri Oct 23 21:23:23 +0000 2020,RT @hallieeelynnn: the way my university’s office of financial aid won’t reply to anyone during a pandemic 🙌🏽🙌🏽🙌🏽🙌🏽 @UCIrvine top universit…
41,Fri Oct 23 19:42:18 +0000 2020,RT @mike_yassa: Tonight 6-8 pm I will be hosting a discussion on #DiversityandInclusion in the @UCIrvine booth at #SACNAS2020. Join me for…
42,Fri Oct 23 19:36:08 +0000 2020,RT @mike_yassa: Tonight 6-8 pm I will be hosting a discussion on #DiversityandInclusion in the @UCIrvine booth at #SACNAS2020. Join me for…
43,Fri Oct 23 19:35:42 +0000 2020,RT @mike_yassa: Tonight 6-8 pm I will be hosting a discussion on #DiversityandInclusion in the @UCIrvine booth at #SACNAS2020. Join me for…
44,Fri Oct 23 19:08:16 +0000 2020,RT @mike_yassa: Tonight 6-8 pm I will be hosting a discussion on #DiversityandInclusion in the @UCIrvine booth at #SACNAS2020. Join me for…
45,Fri Oct 23 19:01:36 +0000 2020,RT @mike_yassa: Tonight 6-8 pm I will be hosting a discussion on #DiversityandInclusion in the @UCIrvine booth at #SACNAS2020. Join me for…
46,Fri Oct 23 18:53:28 +0000 2020,RT @mike_yassa: Tonight 6-8 pm I will be hosting a discussion on #DiversityandInclusion in the @UCIrvine booth at #SACNAS2020. Join me for…
47,Fri Oct 23 18:52:13 +0000 2020,@UCIAdmissions @UCIrvine Go Anteaters!
48,Fri Oct 23 18:50:09 +0000 2020,RT @mike_yassa: Tonight 6-8 pm I will be hosting a discussion on #DiversityandInclusion in the @UCIrvine booth at #SACNAS2020. Join me for…
49,Fri Oct 23 18:07:38 +0000 2020,RT @mike_yassa: Tonight 6-8 pm I will be hosting a discussion on #DiversityandInclusion in the @UCIrvine booth at #SACNAS2020. Join me for…
50,Fri Oct 23 18:01:34 +0000 2020,RT @mike_yassa: Tonight 6-8 pm I will be hosting a discussion on #DiversityandInclusion in the @UCIrvine booth at #SACNAS2020. Join me for…
51,Fri Oct 23 17:48:14 +0000 2020,@UCIrvine Good and you.
52,Fri Oct 23 17:21:31 +0000 2020,RT @mike_yassa: Tonight 6-8 pm I will be hosting a discussion on #DiversityandInclusion in the @UCIrvine booth at #SACNAS2020. Join me for…
53,Fri Oct 23 17:17:10 +0000 2020,RT @mike_yassa: Tonight 6-8 pm I will be hosting a discussion on #DiversityandInclusion in the @UCIrvine booth at #SACNAS2020. Join me for…
54,Fri Oct 23 17:08:12 +0000 2020,RT @mike_yassa: Tonight 6-8 pm I will be hosting a discussion on #DiversityandInclusion in the @UCIrvine booth at #SACNAS2020. Join me for…
55,Fri Oct 23 16:56:57 +0000 2020,RT @mike_yassa: Tonight 6-8 pm I will be hosting a discussion on #DiversityandInclusion in the @UCIrvine booth at #SACNAS2020. Join me for…
56,Fri Oct 23 16:53:00 +0000 2020,RT @mike_yassa: Tonight 6-8 pm I will be hosting a discussion on #DiversityandInclusion in the @UCIrvine booth at #SACNAS2020. Join me for…
57,Fri Oct 23 16:17:49 +0000 2020,RT @mike_yassa: Tonight 6-8 pm I will be hosting a discussion on #DiversityandInclusion in the @UCIrvine booth at #SACNAS2020. Join me for…
58,Fri Oct 23 15:54:00 +0000 2020,RT @mike_yassa: Tonight 6-8 pm I will be hosting a discussion on #DiversityandInclusion in the @UCIrvine booth at #SACNAS2020. Join me for…
