,created_at,full_text
0,Mon Oct 26 18:49:59 +0000 2020,"All Zi will say about The Venusian 🟡 Invasion is who Zi love. Zi love @FLOTUS-様. Zi love @NYCFirstLady-様. Zi love The @DeptofDefense. Zi love @SpaceForceDoD. Zi love Saxons 🪐. Zi love Jus ✳️. Zi love Vegans 🍪💫. 

@NYCSchools @usedgov @NASA @CIA @UoLondon @nypl @UCLA @unlv"
1,Mon Oct 26 18:44:23 +0000 2020,@heavynne_ @UCLA Good. Y'all have no business censoring the man. Grow up. You're in college to learn. Not make sure everything flatters your preconceptions.
2,Mon Oct 26 18:18:21 +0000 2020,"@GOP @realDonaldTrump NANA DOESN’T WANNA DIE

RIGHT TO LIFE MY ASS

@Harvard @Yale @Princeton @BrownUniversity @Columbia @dartmouth @Penn @UCBerkeley @UCLA @Cornell"
3,Mon Oct 26 18:02:56 +0000 2020,You telling me that Winter Quarter is going to be online and @UCLA is still going to charge us full tuition??
4,Mon Oct 26 17:58:54 +0000 2020,"You do not need to be intersex to support intersex people. Intersex is the I in LGBTQIAP. Intersex people are a part of our community.

@HRC @LGBTCenterNYC @LALGBTCenter 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
5,Mon Oct 26 17:48:04 +0000 2020,"RT @QOHSCounseling: College Visit this week:

10/26
@JohnsHopkins-11:30a

10/27
@UCLA-11:30a
@EckerdCollege-2:45p
@UMESNews-2:45p

Sign up…"
6,Mon Oct 26 17:46:11 +0000 2020,Harry in that blue coat is the cure for Covid-19 @Harvard @Yale @UCLA @Stanford
7,Mon Oct 26 17:45:38 +0000 2020,@UCLA Is it that hard to organise 1 in-person class (so called in-person class) just so we can legally enter the country. Why should we continue to pay the same tuition when we aren’t eligible for anything. This is pure EXPLOITATION. I hope some sense prevails. We are DISAPPOINTED 😬
8,Mon Oct 26 17:44:31 +0000 2020,@jesse_rissman @JASilvers @parkinsoncm @KateWassum @UCLA Congratulations!
9,Mon Oct 26 17:44:05 +0000 2020,"@UCLA Other than dealing with the time zone difference and struggling to cope with physical and mental health. Nothing waived for us, no kind of relief. It’s a SHAME the top public university doesn’t care enough for its students who pay the highest tuition."
10,Mon Oct 26 17:42:23 +0000 2020,"@UCLA Hey @UCLA at least allow new international graduates on campus, we started online with the hope that we will be allowed after a quarter. We pay TWICE as much as in-state students, LOST eligibility to do an Internship in Summer 2021, CANNOT work on campus as TA/GSR/Grader 1/2"
11,Mon Oct 26 16:58:45 +0000 2020,"¿How can you hate everyone? If you hate everyone, you hate yourself. If you hate yourself, you would already be dead.

@hastingscenter @HUSDIVINITY 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
12,Mon Oct 26 16:34:45 +0000 2020,"People take approximately 30 minutes to wake up. If someone just woke up, give them space. If someone just woke up, do not judge their Telepathy.

@hastingscenter @NYCSchools @usedgov 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
13,Mon Oct 26 16:21:56 +0000 2020,RT @sacnas: Congrats to Benjamin Ha of @UCLA for your student presentation award in Ecology and Evolutionary Biology! #SACNAS2020
14,Mon Oct 26 16:01:20 +0000 2020,"@UCLA I am US.Citizen.UCLA Chancellor &amp;former UC.president have refused to award me the diploma in structural engineering since 2015. I spent $15,000 and finished 9 courses with GPA=3.54. No racism, discrimination, &amp; retaliation for other ethnic: Azmi Guirguis"
15,Mon Oct 26 15:59:59 +0000 2020,"We (USAmericans 🇺🇸) do not say ""sorry"". A sari is a Bharati 
🇧🇩 garment. Pali existed long before English. We (USAmericans 🇺🇸) say ""Zi apologize"".

@hastingscenter 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
16,Mon Oct 26 15:54:03 +0000 2020,"Unlike The La CNI (🇪🇸) or The MSS (🇨🇳), MI-5/6/7/8 (🇬🇧) is not a part of The @CIA. Anglos 🟠 are from Mars. The @CIA is from Jupiter ⚫️. We (Britain), have our own way.

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
17,Mon Oct 26 15:51:04 +0000 2020,"In a physical war, white matter is helpful for set routines. In a Telepathic war, we must fight ourselves. Voices originate from our own brain. In a Telepathic war, white matter is useless.

@hastingscenter @NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
18,Mon Oct 26 15:51:04 +0000 2020,"White matter represents thoughtless routines. To stay Gray-様, we must constantly be learning. To become Black-様, we must practice different variations to learn from every angle.

@hastingscenter 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
19,Mon Oct 26 15:47:02 +0000 2020,"Gray Matter = Nu Learning (nu routines)
White Matter = Repeated Learning (set routines)
Black Matter = Mastery (internalized)

@hastingscenter 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
20,Mon Oct 26 15:39:15 +0000 2020,"Someone who is in a sect does not know how to think for themself. Sunnis and Shiites are sects of Islam ☪️. You can also be a right-brain Muslim who thinks independently. Then, you are not in a sect.

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
21,Mon Oct 26 15:39:14 +0000 2020,"If you see an insect, say ""cult of personality"". Insects are not alive. They are Outer Space technology used to spy on you.

Insect (Enigma) = In sect

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
22,Mon Oct 26 15:35:49 +0000 2020,"Left-brain Christians ➕ are different. Left-brain Christians are extremely strict. We follow both Christianity and Judaism ★. Lebanon 🇱🇧 are left-brain Christians. Zi am a left-brain Christian.

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
23,Mon Oct 26 15:35:49 +0000 2020,"Right-brain Christians ➕ tend to be idiots that do not even realize that they are Jus ✳️. Christianity is from Judah 🇵🇸. Bethlehem is in Judah.

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
