,created_at,full_text
0,Mon Oct 26 17:58:09 +0000 2020,@thePhDandMe @ucmerced Huge congrats!!! I grew up in nearby Modesto &amp; so happy to see this🎉💜
1,Mon Oct 26 13:46:02 +0000 2020,"Thanks for the great photos, Veronica Adrover for @ucmerced🙏🏻📸"
2,Sun Oct 25 03:49:26 +0000 2020,"@thePhDandMe @ucmerced What thrilling news and this message, it’s so beautiful. Congrats!!"
3,Sat Oct 24 19:02:19 +0000 2020,@_zulema_valdez @ucmerced The feeling is mutual 🙌🏽😊
4,Sat Oct 24 16:34:20 +0000 2020,@SDamask @ucmerced @CAgovernor This is why analysts everywhere awoke with chest pain. WTH?
5,Sat Oct 24 00:45:03 +0000 2020,"@maria_618 @ucmerced @CAgovernor Yeah, I’m not in flavour. I understand the sentiment, but..."
6,Fri Oct 23 23:36:18 +0000 2020,"@thePhDandMe @ucmerced 👀""Provide teaching release in return for temporary increase in course-load after dependent care can be secured""- at least it adddresses teaching. UCR draft says teaching releases will not b granted. but a release is most tangible way 2 help!  increased teaching&amp;research after?😡"
7,Fri Oct 23 23:35:05 +0000 2020,@Shannon_Proksch @dimitrisbolis @NoahGuzman14 @leoschilbach @ucmerced Thanks for sharing! I had a great time visiting @ucmerced last year!
8,Fri Oct 23 19:36:40 +0000 2020,"@thePhDandMe @ucmerced In addition to liking the policies, I appreciate this explicit statement: Dependent Care Modified Duties will not be considered in assessing personnel cases... it will not adversely affect how a candidate’s dossier is considered by the department, the dean’s office ..."
9,Fri Oct 23 15:01:43 +0000 2020,@thePhDandMe @ucmerced Congratulations!!! That's great news!
10,Fri Oct 23 01:19:56 +0000 2020,@thePhDandMe @ucmerced Congrats!!
11,Fri Oct 23 00:13:59 +0000 2020,@gollnerfire @UCIEngineering @GlaciogenicArt @Cal_Engineer @ucmerced Thanks for hosting - great audience and enjoyed the discussion very much!
12,Thu Oct 22 22:36:03 +0000 2020,@thePhDandMe @ucmerced Congrats!!!!
13,Thu Oct 22 22:31:26 +0000 2020,@thePhDandMe @ucmerced @tanyaboza Awwww that’s so many people I like! Sorry I missed it.
14,Thu Oct 22 19:23:04 +0000 2020,@MVazirisereshk @acsnano @ucmerced @Penn Congratulations!!
15,Thu Oct 22 18:43:15 +0000 2020,@RowenaGray6 @ucmerced Congrats! This looks cool
16,Thu Oct 22 17:10:41 +0000 2020,@thePhDandMe @ucmerced GET IT!
17,Thu Oct 22 17:09:53 +0000 2020,"@thePhDandMe @ucmerced Yay, congratulations!!"
18,Thu Oct 22 14:25:17 +0000 2020,"Also, I did not go to Berkeley. I proudly went to @ucmerced 👏🏽🐯"
19,Thu Oct 22 12:52:45 +0000 2020,@thePhDandMe @ucmerced This is so dope and you’ve earned it!
20,Thu Oct 22 12:00:56 +0000 2020,@thePhDandMe @ucmerced Congratulations!!!!
21,Thu Oct 22 10:00:25 +0000 2020,"@thePhDandMe @ucmerced Extremely proud of you, Whit!!!!"
22,Thu Oct 22 08:21:18 +0000 2020,"@thePhDandMe @ucmerced WOW!!! So well deserved and so exciting--congratulations, Whitney!"
23,Thu Oct 22 07:31:29 +0000 2020,@thePhDandMe @ucmerced Congratulations!!! Well deserved.
24,Thu Oct 22 05:26:48 +0000 2020,@thePhDandMe @ucmerced Congratulations!! This is very encouraging and a bright message to receive in these challenging times! Felicidades!
25,Thu Oct 22 04:35:29 +0000 2020,"@thePhDandMe @ucmerced Ha! Not with these old bones! I'm sure you still have the moves, so I'll clap and cheer you on!"
26,Thu Oct 22 04:35:15 +0000 2020,@thePhDandMe @ucmerced This is amazing
27,Thu Oct 22 04:23:56 +0000 2020,"@thePhDandMe @ucmerced Congratulations, Professor Pirtle! So well-deserved!"
28,Thu Oct 22 04:15:26 +0000 2020,@thePhDandMe @ucmerced Congratulations!
29,Thu Oct 22 04:13:36 +0000 2020,@ADBPhD @ucmerced ha i love this. I'm about to join 🤸🏾‍♀️
30,Thu Oct 22 04:11:05 +0000 2020,@thePhDandMe @ucmerced YOOOOOOO!!!!! This is frickin' awesome!!! Congratulations and I'm doing cartwheels in your honor!!
31,Thu Oct 22 04:08:48 +0000 2020,@motorresx @ucmerced Thank you!
32,Thu Oct 22 04:08:13 +0000 2020,"@dandekadt @ucmerced Thanks, Dan!"
33,Thu Oct 22 04:08:02 +0000 2020,"@mclemoremr @ucmerced Thank you, Monica!"
34,Thu Oct 22 04:06:54 +0000 2020,@rianaelyse @ucmerced oh takes some dynamite to know one ;)
35,Thu Oct 22 04:06:32 +0000 2020,@Tichavakunda @ucmerced aye thank you!!!
36,Thu Oct 22 04:06:04 +0000 2020,@morgan_philbin @ucmerced Imagine me actually responding to emails now ;)
37,Thu Oct 22 04:05:37 +0000 2020,@melissa_v_abad @ucmerced Thanks Melissa!
38,Thu Oct 22 04:05:19 +0000 2020,"@BrielleHarbin @ucmerced Thank you - I shine, you shine, we shine together!"
39,Thu Oct 22 04:05:00 +0000 2020,"@ItsBreDanielle @ucmerced Thank you, Breanna!"
40,Thu Oct 22 04:04:10 +0000 2020,@iamenuff @ucmerced wish we could celebrate by dancing together again!
41,Thu Oct 22 04:03:51 +0000 2020,@JoannaNelsonPhD @ucmerced Thank you so much! I love the justice part 🙌🏾
42,Thu Oct 22 04:03:16 +0000 2020,"@WrightTashelle @ucmerced I appreciate you, Tashelle, thank you!!"
43,Thu Oct 22 04:02:56 +0000 2020,"@tonyakubo @ucmerced You speak the truth, thank you!"
44,Thu Oct 22 04:01:19 +0000 2020,"@jessicablois @ucmerced So happy to be here with y'all, thank you!"
45,Thu Oct 22 04:00:42 +0000 2020,"@At_Kathryn @ucmerced Thanks, Katie!"
46,Thu Oct 22 04:00:07 +0000 2020,@theyoungjoo @ucmerced me feeling seen 🥰
47,Thu Oct 22 03:58:12 +0000 2020,"@500womensci @ucmerced I felt this gif, thank you!"
48,Thu Oct 22 03:57:30 +0000 2020,@thePhDandMe @ucmerced Congratulations 🎉
49,Thu Oct 22 03:57:24 +0000 2020,"@_zulema_valdez @ucmerced Thank you so much Zulema, and for all the work you do to support me at UC Merced."
50,Thu Oct 22 03:56:53 +0000 2020,@thePhDandMe @ucmerced Congrats!
51,Thu Oct 22 03:54:53 +0000 2020,@JennMJacksonPhD @ucmerced tryin to get like you!
52,Thu Oct 22 03:52:53 +0000 2020,"@meeradeo @ucmerced exactly how I was dancing when I heard the news, thank you!"
53,Thu Oct 22 03:52:03 +0000 2020,"@drbrooms7 @ucmerced ""the right fit"" thank you!"
54,Thu Oct 22 03:48:38 +0000 2020,@voice_exit @ucmerced Appreciate that!
55,Thu Oct 22 03:48:11 +0000 2020,@emsaurios @ucmerced thank you!
56,Thu Oct 22 03:39:14 +0000 2020,@thePhDandMe @ucmerced This is amazing — congratulations!!
57,Thu Oct 22 03:08:08 +0000 2020,@thePhDandMe @ucmerced Congratulations! Looking forward to your insights.
58,Thu Oct 22 02:08:34 +0000 2020,RT @annanierenberg: Just got a thank you email from the Vice Chancellor for Research and Economic development thanking me and the Sponsored…
59,Thu Oct 22 01:51:26 +0000 2020,@thePhDandMe @ucmerced Incredible! And so well deserved. Congratulations!
60,Thu Oct 22 01:25:22 +0000 2020,"@thePhDandMe @ucmerced Awesome to see you and your work receive this recognition! And love, love your signature logo!!"
61,Thu Oct 22 01:18:38 +0000 2020,@thePhDandMe @ucmerced Congratulations!!
62,Thu Oct 22 00:57:37 +0000 2020,@thePhDandMe @ucmerced Wow! Wow! Wow! Congratulations!!!!
63,Thu Oct 22 00:52:31 +0000 2020,@UCMercedPoliSci @depCIDE @ucmerced @CambridgeUP Thank YOU for the invitation. It was a very interesting and productive discussion! Looking forward to future opportunities to visit @UCMercedPoliSci Take care!
64,Thu Oct 22 00:16:23 +0000 2020,@thePhDandMe @ucmerced Congratulations!
65,Thu Oct 22 00:10:37 +0000 2020,@thePhDandMe @ucmerced I’m so happy for you! You and your research clearly mean so much to so many.
66,Thu Oct 22 00:02:35 +0000 2020,"@thePhDandMe @ucmerced Congratulations, Whitney! ✨🥳"
67,Wed Oct 21 23:52:32 +0000 2020,@thePhDandMe @ucmerced Just absolutely fantastic... you are the right fit for all that you do. Sending congrats!!
68,Wed Oct 21 23:48:06 +0000 2020,@thePhDandMe @emilietumale @ucmerced Congratulations!!
69,Wed Oct 21 23:17:53 +0000 2020,@thePhDandMe @ucmerced Congratulations!!
