,created_at,full_text
0,Mon Oct 26 16:35:42 +0000 2020,@lauraanayam_ @UCRiverside Okay!
1,Mon Oct 26 16:07:26 +0000 2020,"@naomi_venugopal @UCRiverside Hi, I’m looking to cover a story about this for The Highlander at UCR! Could you send me a DM?"
2,Mon Oct 26 16:07:06 +0000 2020,"@jeremynguyen48 @UCRiverside Hi, I’m looking to cover a story about this for The Highlander at UCR! Could you send me a DM?"
3,Mon Oct 26 08:08:52 +0000 2020,"@chrsttyyy @_Michelle_ho @UCRiverside after watching  the video, i can tell she doesn't want to teach, she wants to talk at you. why doesn't she just make a video and push play if that's how she wants to teach. does  that not save time to? I feel bad when i see things like this, learning is tough enough as it is."
4,Sun Oct 25 21:12:30 +0000 2020,@Olfactozone @UCRSoM @UCR_ScienceNews @UCRHealth @UCRiverside Most of us have become experts on public health. Plus this is RNA virus and analysis of gene expression.
5,Sun Oct 25 17:48:38 +0000 2020,"If you are a current @UCRiverside/@UCRBCOE/@UCRCNAS student, don't miss SWE + BME @ UCR's joint post-EWI panel event tomorrow at 4PM. I will be speaking along side with a few other alumni! 

Check the org's social accounts for more details."
6,Sun Oct 25 13:29:04 +0000 2020,@hi_hisel @_Michelle_ho @UCRiverside Me neither 😕
7,Sun Oct 25 09:39:28 +0000 2020,@_Michelle_ho @UCRiverside Good lord she sounds horrible
8,Sun Oct 25 06:09:57 +0000 2020,"@UCRiverside Can you please mandate professors to hold, or at least record, lectures? It's enough everything is online, but if students are expected to put in the work, so should our Professors! If I wanted to teach myself, I'd go to Khan w/o paying the tuition"
9,Sun Oct 25 04:16:01 +0000 2020,"@ucr_sacnas @UCRCNAS @UCRiverside Thank you! So proud of all of our chapter’s members, presenters, and attendees at SACNAS 2020!! ☺️"
10,Sun Oct 25 01:52:18 +0000 2020,@UCRiverside FIRE CATHERINE LARSEN
11,Sun Oct 25 01:52:09 +0000 2020,@UCRiverside FIRE CATHERINE LARSEN
12,Sat Oct 24 22:34:50 +0000 2020,"Political Concepts is proud to have hosted this amazing 2020 online conference with the help of @ColoradoCollege @NSSRNews @Columbia @nyuniversity and @UCRiverside. What a success!
We are incredibly thankful for all the great scholars who have joined us this year!"
