,created_at,full_text
0,Mon Oct 26 19:03:23 +0000 2020,@latimes @benyt @UCSF Except they’ve destroyed the economy and as soon as they #reopen cases with spike. #SwedenWasRight
1,Mon Oct 26 19:01:51 +0000 2020,"@latimes @UCSF Please remember that sneezes travlel for 200 feet and linger in the air for 10 minutes so if someone sneezes get out of there, and do not live in San Francisco the houses are a rip-off and you are being extorted, and conned💀"
2,Mon Oct 26 19:00:33 +0000 2020,"@rz_eye @AlamoIliniRx @latimes @UCSF The health department didn't have to notify her co-workers of being exposed. On the other hand, her husband works at the VA with disabled vets. They had to close down his floor for cleaning &amp; had to stop treatment on ailing vets.  He was working for almost a week after exposure."
3,Mon Oct 26 18:58:41 +0000 2020,@djw75796204 @marjori19821146 @latimes @UCSF Too bad that your hateful politics apparently requires you to trash talk other parts of the country and wish them ill. Imagine if Democrats sneered about cities in Red parts of the country like that and laughed about tornados and hurricanes there. They’d be rightly excoriated.
4,Mon Oct 26 18:53:05 +0000 2020,@AlamoIliniRx @latimes @UCSF whynotread?
5,Mon Oct 26 18:51:48 +0000 2020,@latimes @UCSF We've done pretty well here around the bay... and we started early. That was part of the success.
6,Mon Oct 26 18:46:41 +0000 2020,@markdlugos @Anti_Racist2009 @MikeAndIke219 @latimes @UCSF That’s bs health is more important than the why not stay safe so that we can enjoy life once the virus is over
7,Mon Oct 26 18:42:48 +0000 2020,@Darwin85345380 @dismemberlina @steveniannacci @latimes @UCSF Covid is dangerous
8,Mon Oct 26 18:42:12 +0000 2020,@steveniannacci @latimes @UCSF Health is more important than the economy
9,Mon Oct 26 18:41:27 +0000 2020,"@latimes @UCSF Or if they followed the Sweden 🇸🇪 plan and didn’t lockdown and force shutdowns and people into a cycle of panic and depression, it would be virtually gone right now as it is for them. 🧐"
10,Mon Oct 26 18:37:54 +0000 2020,"@latimes @UCSF The ""strategy"" was that everyone fled San Francisco"
11,Mon Oct 26 18:35:33 +0000 2020,"@sgguitar2 @latimes @UCSF I also live here, and can confirm you’re wrong."
12,Mon Oct 26 18:23:06 +0000 2020,"@soumya_goblue @umichmedicine @UCSF Since I have been following you for a minute- I have no doubt you’re great to interview with! And thank you!! I’d be deliriously happy and honored to interview at either program, and even more so to Match at either. ❤️"
13,Mon Oct 26 18:21:42 +0000 2020,"@medburnbook @umichmedicine I try to be a fun interviewer - I for sure actually read the essays, haha - good luck in your season! I know you'll do great. If you choose @UCSF over us in the end, I'll be little sad, but understandable- it's a fun city to spend your 20s until you want to buy a house lol"
