,created_at,full_text
0,Mon Oct 26 17:25:21 +0000 2020,"@g28308990 @Manu3l_pz @garutch @RosannaXia @ucsantabarbara Nah, they just need to get rid of it, and the ocean is a very big place you can make stuff go away."
1,Mon Oct 26 15:25:31 +0000 2020,@RosannaXia @ucsantabarbara Fantastic work!
2,Mon Oct 26 14:49:22 +0000 2020,"@critworld2020 @rochellepigman @Rocatanski @RosannaXia @ucsantabarbara The chemical industry should be taxed to fund most it. Yes, it's not particularly fair, but neither is what the industry continues to do to our environment."
3,Mon Oct 26 11:27:53 +0000 2020,"@dgurdasani1 Yes, and I don’t know how she thinks she is going to get tenure at @ucsantabarbara by behaving this way. Trying to shoot the messenger is not working, because the messenger won’t shut up and neither will an increasingly number of witnesses who are no longer afraid."
4,Mon Oct 26 06:38:37 +0000 2020,@rochellepigman @Rocatanski @RosannaXia @ucsantabarbara You're welcome. I agree.
5,Mon Oct 26 06:36:26 +0000 2020,@critworld2020 @Rocatanski @RosannaXia @ucsantabarbara Thank you 😊. So sad.
6,Mon Oct 26 06:18:18 +0000 2020,@rochellepigman @Rocatanski @RosannaXia @ucsantabarbara The entire superfund site is large and has other poisons besides ddt. The ddt barrels are in the deepest part and almost dead center the 20 mile span between land. The smaller area helps. The deeper location and strong currents complicate things.
7,Mon Oct 26 06:14:14 +0000 2020,@rochellepigman @Rocatanski @RosannaXia @ucsantabarbara Sorry about the repeat. It's late and I'm not going to retype it all. Lol
8,Mon Oct 26 06:13:13 +0000 2020,"@rochellepigman @Rocatanski @RosannaXia @ucsantabarbara They dumped the stuff 50 years ago. They were sued and settled. All dead or poor by now. The only issue is will it be left be, encapsulated or removed. And who pays for it all? Tough call. The ddt levels near the barrels is high. Everywhere else is cleaned up a lot. Tough call."
9,Mon Oct 26 04:58:13 +0000 2020,@critworld2020 @Rocatanski @RosannaXia @ucsantabarbara We can still find the humans left who worked there and ran the company.
10,Mon Oct 26 02:57:04 +0000 2020,"@AndyBalendy @RosannaXia @ucsantabarbara So horrific. I hope there is some pathway to address the damages. With Montrose out of business, it seems murky. The DDT problem was already big &amp; now it’s massive - underscores the importance of public health outreach about contaminated fish."
11,Sun Oct 25 22:01:35 +0000 2020,@Manu3l_pz @garutch @RosannaXia @ucsantabarbara They must have known otherwise they wouldnt have hid them at sea.
12,Sun Oct 25 21:52:54 +0000 2020,"RT @mbalter: @cici18480257 @ucsantabarbara PS—I want to stress, and have it spread as widely as possible, that under no circumstances whats…"
13,Sun Oct 25 19:50:31 +0000 2020,@garutch @RosannaXia @ucsantabarbara People in 1940s didn’t care mate till they saw the consequences
