,created_at,full_text
0,Mon Oct 26 17:30:13 +0000 2020,@jjfplanet @ucsc Congrats! Although I have no idea what you're talking about :)
1,Mon Oct 26 16:45:19 +0000 2020,@ucsc Thank you!!! 💗🙌🏼
2,Mon Oct 26 11:33:27 +0000 2020,"@socannex @sofyaaptekar @CunySLU @Professor_Fu @KutztownU @ucsc @PHEWnetwork @PSC_CUNY ""STEM faculty who don't tend to be the most active voices on campus"" 😆🤣"
3,Mon Oct 26 05:16:50 +0000 2020,"@brant_robertson @ucsc It's a bit obvious that it is in the past!  People who are still being harmed rarely tweet about it, with the important exception of people who have a huge twitter following because of their wide-flung &amp; effective outreach efforts."
4,Mon Oct 26 05:11:17 +0000 2020,"@rittenhousewest @ucsc Thanks, it’s in the past now. I appreciate the reply, though."
5,Mon Oct 26 04:56:10 +0000 2020,@brant_robertson @ucsc I never ever would have guessed. I'm glad you wrote this &amp; very sorry it happened to you.  I know bullying is awful for everyone but especially being a father to 3 little ones it makes me angry that it happened to you.  (I'm involved in a SkypeAScientist with 8th grade triplets!)
6,Mon Oct 26 04:16:56 +0000 2020,@brant_robertson @HarmitMalik @ucsc Academic bullies are the worst. I’m glad you found a better place.
7,Sun Oct 25 22:54:33 +0000 2020,"@zursch @pattonoswalt @ucsc Crown would work better—Rutherford, Galileo, Galen, and so on."
8,Sun Oct 25 22:44:16 +0000 2020,"@dougom @pattonoswalt @ucsc Right? ""Casa Primera"" at Stevenson wouldn't be a great Republican name."
9,Sun Oct 25 22:39:27 +0000 2020,"@pattonoswalt The dorms at Merrill College at @ucsc are lettered; A, B, C, and D."
10,Sun Oct 25 05:18:35 +0000 2020,"Game Results from Today👀👀

League of Legends Team A 2-0 vs @UWyoEsports B

League of Legends Team B 2-0 vs @umanitoba Esports A

Valorant Team 1-2 vs @ucsc Esports
Game 1: 13-6 (W)
Game 213-15 (L)
Game 3:10-13 (L)

RL Team 0-3 vs @umontana Silver

GGWP All❗️❗️"
11,Sun Oct 25 02:07:31 +0000 2020,"@BCDreyer @ucsc I realize it’s not theater per se, but it was a truly remarkable experience. A performer wove his spell, and the audience was ensorcelled. I’ve never forgotten, not 35 years later, that dead silence, those seconds of total awe, so much more impressive than immediate applause."
12,Sun Oct 25 02:04:46 +0000 2020,"@BCDreyer A senior recital at @ucsc. One performer was a classical guitarist who played a Bach piece. It started slow &amp; moved into a fast, intricate part that, well, totally rocked. He ended &amp; there were 5 or so seconds of dead silence before the audience *exploded*. It was remarkable."
13,Sat Oct 24 14:00:01 +0000 2020,"Actions in RL &amp; Valorant❗️❗️

Our RL Team is playing in @CollegiateRL Star League against @umontana Silver

Our RL Green is playing in @CollegiateRL Open League against @WWU Gray

Our Valorant team is playing in @CollegeVALORANT against @ucsc Esports

All matches start at 1PM MST"
14,Sat Oct 24 13:50:05 +0000 2020,@nature_org @ucsc @AXA_XL Love this 👌🏻
15,Fri Oct 23 23:02:16 +0000 2020,@rklogan @GrettaPecl @evsatterthwaite @ucsc @NOAA I'm not sure actually - let me ask and get back to you.
16,Fri Oct 23 20:51:22 +0000 2020,@GrettaPecl @evsatterthwaite @DrStephBrodie @ucsc @NOAA Seconded!
17,Fri Oct 23 19:54:34 +0000 2020,@secanno @ucsc Awesome! I love banana slugs and #SciArt !
18,Fri Oct 23 19:26:34 +0000 2020,@science_barbie we're also both former banana slugs (we did our undergrads @ucsc together)!
19,Fri Oct 23 18:16:18 +0000 2020,@ijuanathesaurus @urbaninstitute @MPI @CenterPovIneq @ucsc @UCSC_GradDiv @SociologyatUCSC @zra_research @IRP_UW Awesome! Congratulations @ijuanathesaurus
20,Fri Oct 23 13:01:14 +0000 2020,"@JennyMcGPhD @ucsc @AXA_XL Thanks for the heads up, @JennyMcGPhD—we've fixed that link!"
21,Fri Oct 23 08:28:26 +0000 2020,"@cihangxie @ucsc @UCSC_BSOE Hi Cihang, can you please folow back so i can send you a DM?"
