,created_at,full_text
0,Mon Oct 26 18:15:35 +0000 2020,@_patriciamou @UCSanDiego The paper is proving to be a tough read - did you come across any simpler resources?
1,Mon Oct 26 18:00:30 +0000 2020,RT @_patriciamou: Wisdom is an ancient concept that has gained interest among researchers as a trait critical to well-being and healthy agi…
2,Mon Oct 26 17:58:37 +0000 2020,"Wisdom is an ancient concept that has gained interest among researchers as a trait critical to well-being and healthy aging 🧠

In 2019, @UCSanDiego created the ""Wisdom Scale"" with, for the 1st time, neurobiological underpinnings.

 7 “domains” to gauge one’s level of wisdom 👇"
3,Mon Oct 26 16:07:00 +0000 2020,@TanjaMittag @Gronenborn_lab @BustamanteLab @OhioState @UCSanDiego @unibt @BiophysicalSoc @ucatolica 😍 congratulations to you too! PS: I’m in love with your research 🥰
4,Mon Oct 26 16:00:21 +0000 2020,@cxarramirez @Gronenborn_lab @BustamanteLab @OhioState @UCSanDiego @unibt @BiophysicalSoc @ucatolica Congratulations!
5,Mon Oct 26 08:37:09 +0000 2020,RT @starree: @nvfirecams @RobMayeda @AlertWildfire @unevadareno @UCSanDiego @uoregon Uh oh.
6,Mon Oct 26 06:41:27 +0000 2020,@nvfirecams @RobMayeda @AlertWildfire @unevadareno @UCSanDiego @uoregon Uh oh.
7,Mon Oct 26 04:22:28 +0000 2020,"@shaymitchnyc @UCSanDiego @UCSDalumni shucks, thank you! 💕"
8,Mon Oct 26 03:43:46 +0000 2020,@UCSanDiego @UnitedHealthGrp How about helping students living on campus by reconnecting the Ethernet!!! #ucsdethernetnow
9,Sun Oct 25 18:56:44 +0000 2020,"did for your rights. I have gotten off on a long tangent, but I am thankful that in the absence of support at @UCSanDiego to really engage these questions about preparing for graduate school with disabilities. To everyone has engaged with my wildly inquisitive nature, thank 5/"
10,Sun Oct 25 01:36:23 +0000 2020,@DanielleAMelman @UCSanDiego @UCSDalumni With the best Jr Triton around!
11,Sat Oct 24 18:08:05 +0000 2020,"@BrainEvol @AllenInstitute @JBJohnstonClub @EmoryMedicine @yerkesnews Thanks for amplifying! 📢

We're getting close to #CARTA2020CompAnth start time (12 PM Pacific) and the tension is palpable in the (physically distanced and masked) @CARTAUCSD office at @UCSanDiego! #Anthropogeny #evolution"
12,Sat Oct 24 13:42:33 +0000 2020,"Also, since her experience with me has been 100% virtual, if there are any labs at @UCSanDiego looking for a motivated undergraduate student, she’s the one!"
13,Sat Oct 24 13:02:22 +0000 2020,@jacquelinemosko @gudetamatweets @UCSanDiego Lol i bought 2 of those when I was interviewing there hahah
14,Sat Oct 24 11:16:07 +0000 2020,@aminaahmad @UCSanDiego @UCSDalumni Whoa this is amazing!!
15,Sat Oct 24 03:10:50 +0000 2020,@jphysiol_eic @UCSanDiego Wow! Well done UCSD. Impressive showing from several European Departments as well.
16,Sat Oct 24 02:20:04 +0000 2020,"@UCSDJacobs @ilkayaltintas @SDSC_UCSD @UCSanDiego @QI_UCSD Fabulous! Now let’s have the university support those kids who are living in campus, taking all classes on Zoom, and encountering wifi issues!! CONNECT THE ETHERNET!!! #ucsdethernetnow"
17,Sat Oct 24 02:03:29 +0000 2020,@UCSDJacobs @UCSDnews @UCSanDiego @NIHDirector Awesome news. Now please do something about the terrible wifi on campus for the kids living there!! Reconnect the ETHERNET!! Easy fix! Sheesh! #ucsdethernetnow
18,Sat Oct 24 02:01:46 +0000 2020,@UCSDnews @Scripps_Ocean @UCSanDiego Maybe some funding could go to the kids residing on campus. They are having wifi issues. PLEASE HOOK UP THE ETHERNET!!! How in the world did it make sense to disconnect it? #ucsdethernetnow
19,Sat Oct 24 01:58:50 +0000 2020,@UCSDnews @UCSanDiego #ucsdethernetnow. PLEASE HOOK UP THE ETHERNET FOR KIDS LIVING ON CAMPUS!
20,Sat Oct 24 01:57:54 +0000 2020,@UCSDnews @UCSanDiego How about focusing on the students on campus and their internet issues? PLEASE HOOK UP THE ETHERNET!!!!#ucsdethernetnow
21,Sat Oct 24 00:31:45 +0000 2020,"@Scripps_Ocean @UCSanDiego @UCSDrec @SurfgrassP All lives matter, pandering to blacks ? Who's racist now?"
22,Fri Oct 23 18:37:58 +0000 2020,@Dr_LarsBode @ISMEJournal @GutBugs2 @Stanford @UCSanDiego @GRTCnews Cool story! Congrats🎉
23,Fri Oct 23 18:34:24 +0000 2020,"RT @udhumanrights: Up next is Yến Lê Espiritu of @UCSanDiego, speaking on memorials of the Vietnam War created by the Vietnamese community…"
24,Fri Oct 23 18:32:23 +0000 2020,"Up next is Yến Lê Espiritu of @UCSanDiego, speaking on memorials of the Vietnam War created by the Vietnamese community in the United States."
25,Fri Oct 23 17:40:58 +0000 2020,"@NSF @UCSanDiego @LAFD =
Changing legislation in favor of the poor.
Dismantling big companies.
Taxes of the rich and the elite.
Supporting the working class.
The seizure and renewal of power.
Development of self and human development.
Seminars.  Conferences.  The lectures.  Communication.  ...
Balanced"
26,Fri Oct 23 05:40:03 +0000 2020,"@ME_McCullough @UCSanDiego Sounds like a great way to go into massive crippling debt that can't be repayed or forgiven.  A debt that serves to enable corrupt, greedy, toxic people and systems.  Correct me if I'm wrong."
27,Fri Oct 23 04:16:53 +0000 2020,"@SraMYaguchi @UCSDJacobs @UCSanDiego @NANO_UCSD @LESC_Public @YingShirleyMen1 @ConversationUS @UCSDnews Yes, totally agree. That's the challenge and we aim to change it but lots of work to do, from the community from everyone who uses batteries."
